3.0974,4.3118
1.7138,-1.0589
3.0974,1.9714
1.7138,1.0589
6.5243,4.859
5.5627,0.45826
10.83,4.6219
1.7726,2.0641
6.5243,1.4242
5.5627,5.8249
10.83,1.6613
1.7726,4.2191
3.7915,-1.0061
2.0521,2.7292
4.2836,3.974
11.208,0.13353
2.5307,4.2814
7.2323,0.48018
3.2472,4.5201
3.6786,1.7172
4.1522,4.4468
5.7844,1.8193
3.7915,1.0061
2.0521,3.554
4.2836,2.3091
11.208,6.1497
2.5307,2.0018
7.2323,5.803
3.2472,1.7631
3.6786,4.566
4.1522,1.8363
5.7844,4.4639
10.915,4.868
7.1403,0.5906
9.8931,4.9052
2.2506,4.5853
3.2956,0.61907
7.9988,0.041729
10.915,1.4151
7.1403,5.6926
9.8931,1.378
2.2506,1.6979
3.2956,5.6641
7.9988,6.2415
5.3073,-1.4601
5.2777,1.485
7.3834,-0.42925
4.9936,-1.544
5.3073,1.4601
5.2777,4.7982
7.3834,0.42925
4.9936,1.544
4.0372,0.92979
5.6468,0.54194
10.368,0.26752
5.3761,5.0588
12.073,0.10158
4.7697,5.9837
9.4166,0.55467
4.0372,5.3534
5.6468,5.7412
10.368,6.0157
5.3761,1.2244
12.073,6.1816
4.7697,0.29953
9.4166,5.7285
3.5122,4.6503
3.102,-1.1531
3.5074,1.6043
1.2621,0.86073
7.1637,0.11452
3.0913,-1.1096
4.7378,-1.0771
5.423,0.85313
3.1047,4.4163
3.5122,1.6329
3.102,1.1531
3.5074,4.6789
1.2621,5.4225
7.1637,6.1687
3.0913,1.1096
4.7378,1.0771
5.423,5.4301
3.1047,1.8669
3.1807,4.7916
4.5115,5.6375
5.8583,5.9605
3.1807,1.4916
4.5115,0.64573
5.8583,0.32265
6.1828,-1.5139
5.8459,4.5745
4.4809,4.66
6.1828,1.5139
5.8459,1.7086
4.4809,1.6232
