strategy, trial, beta, ecc, phi, n, x, y 
stochastic, 1, 1.600, 100, 0, 1, 513, 513
stochastic, 1, 1.600, 100, 0, 2, 612, 512
optimal, 1, 1.600, 100, 0, 1, 513, 513
optimal, 1, 1.600, 100, 0, 2, 612, 512
stochastic, 2, 1.650, 100, 0, 1, 512, 513
stochastic, 2, 1.650, 100, 0, 2, 603, 833
stochastic, 2, 1.650, 100, 0, 3, 711, 796
stochastic, 2, 1.650, 100, 0, 4, 263, 930
stochastic, 2, 1.650, 100, 0, 5, 165, 227
stochastic, 2, 1.650, 100, 0, 6, 681, 436
stochastic, 2, 1.650, 100, 0, 7, 746, 287
stochastic, 2, 1.650, 100, 0, 8, 157, 70
stochastic, 2, 1.650, 100, 0, 9, 354, 127
stochastic, 2, 1.650, 100, 0, 10, 40, 167
stochastic, 2, 1.650, 100, 0, 11, 402, 204
stochastic, 2, 1.650, 100, 0, 12, 760, 395
stochastic, 2, 1.650, 100, 0, 13, 669, 241
stochastic, 2, 1.650, 100, 0, 14, 654, 217
stochastic, 2, 1.650, 100, 0, 15, 848, 138
stochastic, 2, 1.650, 100, 0, 16, 623, 764
stochastic, 2, 1.650, 100, 0, 17, 612, 512
optimal, 2, 1.650, 100, 0, 1, 512, 513
optimal, 2, 1.650, 100, 0, 2, 612, 512
stochastic, 3, 1.700, 100, 0, 1, 513, 512
stochastic, 3, 1.700, 100, 0, 2, 698, 440
stochastic, 3, 1.700, 100, 0, 3, 612, 512
optimal, 3, 1.700, 100, 0, 1, 512, 512
optimal, 3, 1.700, 100, 0, 2, 630, 776
optimal, 3, 1.700, 100, 0, 3, 351, 223
optimal, 3, 1.700, 100, 0, 4, 805, 252
optimal, 3, 1.700, 100, 0, 5, 187, 759
optimal, 3, 1.700, 100, 0, 6, 830, 773
optimal, 3, 1.700, 100, 0, 7, 193, 223
optimal, 3, 1.700, 100, 0, 8, 773, 215
optimal, 3, 1.700, 100, 0, 9, 194, 797
optimal, 3, 1.700, 100, 0, 10, 806, 779
optimal, 3, 1.700, 100, 0, 11, 612, 512
stochastic, 4, 1.600, 100, 45, 1, 512, 513
stochastic, 4, 1.600, 100, 45, 2, 764, 782
stochastic, 4, 1.600, 100, 45, 3, 950, 155
stochastic, 4, 1.600, 100, 45, 4, 848, 155
stochastic, 4, 1.600, 100, 45, 5, 1004, 106
stochastic, 4, 1.600, 100, 45, 6, 414, 217
stochastic, 4, 1.600, 100, 45, 7, 486, 111
stochastic, 4, 1.600, 100, 45, 8, 466, 61
stochastic, 4, 1.600, 100, 45, 9, 136, 6
stochastic, 4, 1.600, 100, 45, 10, 52, 56
stochastic, 4, 1.600, 100, 45, 11, 675, 155
stochastic, 4, 1.600, 100, 45, 12, 572, 69
stochastic, 4, 1.600, 100, 45, 13, 572, 197
stochastic, 4, 1.600, 100, 45, 14, 400, 212
stochastic, 4, 1.600, 100, 45, 15, 669, 155
stochastic, 4, 1.600, 100, 45, 16, 735, 164
stochastic, 4, 1.600, 100, 45, 17, 401, 246
stochastic, 4, 1.600, 100, 45, 18, 189, 232
stochastic, 4, 1.600, 100, 45, 19, 756, 157
stochastic, 4, 1.600, 100, 45, 20, 226, 686
stochastic, 4, 1.600, 100, 45, 21, 565, 598
optimal, 4, 1.600, 100, 45, 1, 512, 512
optimal, 4, 1.600, 100, 45, 2, 626, 749
optimal, 4, 1.600, 100, 45, 3, 565, 598
stochastic, 5, 1.650, 100, 45, 1, 512, 512
stochastic, 5, 1.650, 100, 45, 2, 332, 626
stochastic, 5, 1.650, 100, 45, 3, 265, 538
stochastic, 5, 1.650, 100, 45, 4, 277, 332
stochastic, 5, 1.650, 100, 45, 5, 451, 104
stochastic, 5, 1.650, 100, 45, 6, 498, 183
stochastic, 5, 1.650, 100, 45, 7, 678, 231
stochastic, 5, 1.650, 100, 45, 8, 391, 239
stochastic, 5, 1.650, 100, 45, 9, 324, 687
stochastic, 5, 1.650, 100, 45, 10, 218, 727
stochastic, 5, 1.650, 100, 45, 11, 293, 538
stochastic, 5, 1.650, 100, 45, 12, 565, 598
optimal, 5, 1.650, 100, 45, 1, 512, 512
optimal, 5, 1.650, 100, 45, 2, 565, 598
stochastic, 6, 1.700, 100, 45, 1, 512, 513
stochastic, 6, 1.700, 100, 45, 2, 565, 598
optimal, 6, 1.700, 100, 45, 1, 512, 513
optimal, 6, 1.700, 100, 45, 2, 630, 776
optimal, 6, 1.700, 100, 45, 3, 565, 598
stochastic, 7, 1.600, 100, 90, 1, 512, 512
stochastic, 7, 1.600, 100, 90, 2, 312, 557
stochastic, 7, 1.600, 100, 90, 3, 221, 407
stochastic, 7, 1.600, 100, 90, 4, 368, 382
stochastic, 7, 1.600, 100, 90, 5, 256, 579
stochastic, 7, 1.600, 100, 90, 6, 334, 601
stochastic, 7, 1.600, 100, 90, 7, 911, 880
stochastic, 7, 1.600, 100, 90, 8, 461, 779
stochastic, 7, 1.600, 100, 90, 9, 609, 703
stochastic, 7, 1.600, 100, 90, 10, 935, 893
stochastic, 7, 1.600, 100, 90, 11, 587, 700
stochastic, 7, 1.600, 100, 90, 12, 396, 433
stochastic, 7, 1.600, 100, 90, 13, 580, 548
stochastic, 7, 1.600, 100, 90, 14, 506, 672
stochastic, 7, 1.600, 100, 90, 15, 209, 644
stochastic, 7, 1.600, 100, 90, 16, 69, 711
stochastic, 7, 1.600, 100, 90, 17, 249, 388
stochastic, 7, 1.600, 100, 90, 18, 468, 602
optimal, 7, 1.600, 100, 90, 1, 512, 512
optimal, 7, 1.600, 100, 90, 2, 626, 749
optimal, 7, 1.600, 100, 90, 3, 616, 258
optimal, 7, 1.600, 100, 90, 4, 270, 710
optimal, 7, 1.600, 100, 90, 5, 283, 253
optimal, 7, 1.600, 100, 90, 6, 741, 734
optimal, 7, 1.600, 100, 90, 7, 765, 253
optimal, 7, 1.600, 100, 90, 8, 259, 780
optimal, 7, 1.600, 100, 90, 9, 468, 602
stochastic, 8, 1.650, 100, 90, 1, 513, 512
stochastic, 8, 1.650, 100, 90, 2, 617, 668
stochastic, 8, 1.650, 100, 90, 3, 769, 652
stochastic, 8, 1.650, 100, 90, 4, 947, 614
stochastic, 8, 1.650, 100, 90, 5, 731, 404
stochastic, 8, 1.650, 100, 90, 6, 447, 596
stochastic, 8, 1.650, 100, 90, 7, 468, 602
optimal, 8, 1.650, 100, 90, 1, 512, 513
optimal, 8, 1.650, 100, 90, 2, 628, 784
optimal, 8, 1.650, 100, 90, 3, 468, 602
stochastic, 9, 1.700, 100, 90, 1, 512, 512
stochastic, 9, 1.700, 100, 90, 2, 317, 341
stochastic, 9, 1.700, 100, 90, 3, 468, 602
optimal, 9, 1.700, 100, 90, 1, 512, 512
optimal, 9, 1.700, 100, 90, 2, 630, 776
optimal, 9, 1.700, 100, 90, 3, 351, 223
optimal, 9, 1.700, 100, 90, 4, 468, 602
stochastic, 10, 1.600, 100, 135, 1, 513, 512
stochastic, 10, 1.600, 100, 135, 2, 482, 531
stochastic, 10, 1.600, 100, 135, 3, 714, 427
stochastic, 10, 1.600, 100, 135, 4, 331, 571
stochastic, 10, 1.600, 100, 135, 5, 413, 521
optimal, 10, 1.600, 100, 135, 1, 513, 512
optimal, 10, 1.600, 100, 135, 2, 413, 521
stochastic, 11, 1.650, 100, 135, 1, 513, 513
stochastic, 11, 1.650, 100, 135, 2, 693, 370
stochastic, 11, 1.650, 100, 135, 3, 421, 204
stochastic, 11, 1.650, 100, 135, 4, 211, 145
stochastic, 11, 1.650, 100, 135, 5, 153, 276
stochastic, 11, 1.650, 100, 135, 6, 503, 173
stochastic, 11, 1.650, 100, 135, 7, 481, 489
stochastic, 11, 1.650, 100, 135, 8, 413, 521
optimal, 11, 1.650, 100, 135, 1, 513, 512
optimal, 11, 1.650, 100, 135, 2, 628, 784
optimal, 11, 1.650, 100, 135, 3, 590, 231
optimal, 11, 1.650, 100, 135, 4, 257, 747
optimal, 11, 1.650, 100, 135, 5, 250, 238
optimal, 11, 1.650, 100, 135, 6, 804, 314
optimal, 11, 1.650, 100, 135, 7, 413, 521
stochastic, 12, 1.700, 100, 135, 1, 512, 512
stochastic, 12, 1.700, 100, 135, 2, 413, 521
optimal, 12, 1.700, 100, 135, 1, 512, 512
optimal, 12, 1.700, 100, 135, 2, 413, 521
stochastic, 13, 1.600, 100, 180, 1, 513, 512
stochastic, 13, 1.600, 100, 180, 2, 556, 607
stochastic, 13, 1.600, 100, 180, 3, 453, 432
optimal, 13, 1.600, 100, 180, 1, 512, 513
optimal, 13, 1.600, 100, 180, 2, 626, 749
optimal, 13, 1.600, 100, 180, 3, 616, 258
optimal, 13, 1.600, 100, 180, 4, 270, 710
optimal, 13, 1.600, 100, 180, 5, 283, 253
optimal, 13, 1.600, 100, 180, 6, 741, 734
optimal, 13, 1.600, 100, 180, 7, 765, 253
optimal, 13, 1.600, 100, 180, 8, 259, 780
optimal, 13, 1.600, 100, 180, 9, 243, 253
optimal, 13, 1.600, 100, 180, 10, 777, 755
optimal, 13, 1.600, 100, 180, 11, 777, 241
optimal, 13, 1.600, 100, 180, 12, 234, 715
optimal, 13, 1.600, 100, 180, 13, 259, 256
optimal, 13, 1.600, 100, 180, 14, 769, 782
optimal, 13, 1.600, 100, 180, 15, 773, 265
optimal, 13, 1.600, 100, 180, 16, 269, 803
optimal, 13, 1.600, 100, 180, 17, 244, 236
optimal, 13, 1.600, 100, 180, 18, 785, 760
optimal, 13, 1.600, 100, 180, 19, 768, 231
optimal, 13, 1.600, 100, 180, 20, 213, 797
optimal, 13, 1.600, 100, 180, 21, 221, 243
optimal, 13, 1.600, 100, 180, 22, 791, 789
optimal, 13, 1.600, 100, 180, 23, 792, 221
optimal, 13, 1.600, 100, 180, 24, 187, 512
optimal, 13, 1.600, 100, 180, 25, 253, 862
optimal, 13, 1.600, 100, 180, 26, 838, 516
optimal, 13, 1.600, 100, 180, 27, 299, 150
optimal, 13, 1.600, 100, 180, 28, 738, 876
optimal, 13, 1.600, 100, 180, 29, 762, 141
optimal, 13, 1.600, 100, 180, 30, 205, 812
optimal, 13, 1.600, 100, 180, 31, 205, 180
optimal, 13, 1.600, 100, 180, 32, 832, 496
optimal, 13, 1.600, 100, 180, 33, 771, 903
optimal, 13, 1.600, 100, 180, 34, 204, 504
optimal, 13, 1.600, 100, 180, 35, 790, 125
optimal, 13, 1.600, 100, 180, 36, 238, 869
optimal, 13, 1.600, 100, 180, 37, 231, 152
optimal, 13, 1.600, 100, 180, 38, 453, 432
stochastic, 14, 1.650, 100, 180, 1, 513, 512
stochastic, 14, 1.650, 100, 180, 2, 562, 19
stochastic, 14, 1.650, 100, 180, 3, 822, 327
stochastic, 14, 1.650, 100, 180, 4, 955, 41
stochastic, 14, 1.650, 100, 180, 5, 278, 77
stochastic, 14, 1.650, 100, 180, 6, 665, 323
stochastic, 14, 1.650, 100, 180, 7, 453, 432
optimal, 14, 1.650, 100, 180, 1, 513, 512
optimal, 14, 1.650, 100, 180, 2, 453, 432
stochastic, 15, 1.700, 100, 180, 1, 512, 513
stochastic, 15, 1.700, 100, 180, 2, 453, 432
optimal, 15, 1.700, 100, 180, 1, 513, 512
optimal, 15, 1.700, 100, 180, 2, 453, 432
stochastic, 16, 1.600, 100, 225, 1, 513, 513
stochastic, 16, 1.600, 100, 225, 2, 506, 810
stochastic, 16, 1.600, 100, 225, 3, 781, 498
stochastic, 16, 1.600, 100, 225, 4, 424, 597
stochastic, 16, 1.600, 100, 225, 5, 358, 550
stochastic, 16, 1.600, 100, 225, 6, 302, 623
stochastic, 16, 1.600, 100, 225, 7, 470, 509
stochastic, 16, 1.600, 100, 225, 8, 881, 556
stochastic, 16, 1.600, 100, 225, 9, 367, 649
stochastic, 16, 1.600, 100, 225, 10, 634, 989
stochastic, 16, 1.600, 100, 225, 11, 276, 402
stochastic, 16, 1.600, 100, 225, 12, 716, 552
stochastic, 16, 1.600, 100, 225, 13, 570, 924
stochastic, 16, 1.600, 100, 225, 14, 464, 464
stochastic, 16, 1.600, 100, 225, 15, 628, 459
stochastic, 16, 1.600, 100, 225, 16, 533, 508
stochastic, 16, 1.600, 100, 225, 17, 447, 392
stochastic, 16, 1.600, 100, 225, 18, 549, 419
optimal, 16, 1.600, 100, 225, 1, 512, 513
optimal, 16, 1.600, 100, 225, 2, 626, 749
optimal, 16, 1.600, 100, 225, 3, 616, 258
optimal, 16, 1.600, 100, 225, 4, 270, 710
optimal, 16, 1.600, 100, 225, 5, 283, 253
optimal, 16, 1.600, 100, 225, 6, 741, 734
optimal, 16, 1.600, 100, 225, 7, 765, 253
optimal, 16, 1.600, 100, 225, 8, 549, 419
stochastic, 17, 1.650, 100, 225, 1, 512, 512
stochastic, 17, 1.650, 100, 225, 2, 549, 419
optimal, 17, 1.650, 100, 225, 1, 512, 513
optimal, 17, 1.650, 100, 225, 2, 549, 419
stochastic, 18, 1.700, 100, 225, 1, 513, 512
stochastic, 18, 1.700, 100, 225, 2, 549, 419
optimal, 18, 1.700, 100, 225, 1, 512, 513
optimal, 18, 1.700, 100, 225, 2, 549, 419
stochastic, 19, 1.600, 100, 270, 1, 512, 512
stochastic, 19, 1.600, 100, 270, 2, 342, 811
stochastic, 19, 1.600, 100, 270, 3, 232, 923
stochastic, 19, 1.600, 100, 270, 4, 496, 996
stochastic, 19, 1.600, 100, 270, 5, 826, 595
stochastic, 19, 1.600, 100, 270, 6, 295, 790
stochastic, 19, 1.600, 100, 270, 7, 477, 348
stochastic, 19, 1.600, 100, 270, 8, 858, 337
stochastic, 19, 1.600, 100, 270, 9, 805, 79
stochastic, 19, 1.600, 100, 270, 10, 718, 262
stochastic, 19, 1.600, 100, 270, 11, 640, 837
stochastic, 19, 1.600, 100, 270, 12, 656, 1009
stochastic, 19, 1.600, 100, 270, 13, 849, 644
stochastic, 19, 1.600, 100, 270, 14, 457, 846
stochastic, 19, 1.600, 100, 270, 15, 126, 876
stochastic, 19, 1.600, 100, 270, 16, 292, 865
stochastic, 19, 1.600, 100, 270, 17, 227, 846
stochastic, 19, 1.600, 100, 270, 18, 645, 401
stochastic, 19, 1.600, 100, 270, 19, 559, 268
stochastic, 19, 1.600, 100, 270, 20, 611, 495
optimal, 19, 1.600, 100, 270, 1, 513, 512
optimal, 19, 1.600, 100, 270, 2, 611, 495
stochastic, 20, 1.650, 100, 270, 1, 512, 512
stochastic, 20, 1.650, 100, 270, 2, 611, 495
optimal, 20, 1.650, 100, 270, 1, 512, 512
optimal, 20, 1.650, 100, 270, 2, 611, 495
stochastic, 21, 1.700, 100, 270, 1, 512, 513
stochastic, 21, 1.700, 100, 270, 2, 611, 495
optimal, 21, 1.700, 100, 270, 1, 513, 513
optimal, 21, 1.700, 100, 270, 2, 611, 495
stochastic, 22, 1.600, 100, 315, 1, 513, 512
stochastic, 22, 1.600, 100, 315, 2, 579, 587
optimal, 22, 1.600, 100, 315, 1, 512, 513
optimal, 22, 1.600, 100, 315, 2, 626, 749
optimal, 22, 1.600, 100, 315, 3, 616, 258
optimal, 22, 1.600, 100, 315, 4, 270, 710
optimal, 22, 1.600, 100, 315, 5, 283, 253
optimal, 22, 1.600, 100, 315, 6, 741, 734
optimal, 22, 1.600, 100, 315, 7, 765, 253
optimal, 22, 1.600, 100, 315, 8, 259, 780
optimal, 22, 1.600, 100, 315, 9, 243, 253
optimal, 22, 1.600, 100, 315, 10, 777, 755
optimal, 22, 1.600, 100, 315, 11, 579, 587
stochastic, 23, 1.650, 100, 315, 1, 512, 512
stochastic, 23, 1.650, 100, 315, 2, 703, 515
stochastic, 23, 1.650, 100, 315, 3, 766, 645
stochastic, 23, 1.650, 100, 315, 4, 421, 967
stochastic, 23, 1.650, 100, 315, 5, 372, 636
stochastic, 23, 1.650, 100, 315, 6, 579, 587
optimal, 23, 1.650, 100, 315, 1, 513, 512
optimal, 23, 1.650, 100, 315, 2, 579, 587
stochastic, 24, 1.700, 100, 315, 1, 512, 512
stochastic, 24, 1.700, 100, 315, 2, 579, 587
optimal, 24, 1.700, 100, 315, 1, 512, 513
optimal, 24, 1.700, 100, 315, 2, 579, 587
stochastic, 25, 1.600, 225, 0, 1, 513, 512
stochastic, 25, 1.600, 225, 0, 2, 795, 171
stochastic, 25, 1.600, 225, 0, 3, 733, 545
stochastic, 25, 1.600, 225, 0, 4, 961, 663
stochastic, 25, 1.600, 225, 0, 5, 680, 646
stochastic, 25, 1.600, 225, 0, 6, 737, 512
optimal, 25, 1.600, 225, 0, 1, 512, 512
optimal, 25, 1.600, 225, 0, 2, 737, 512
stochastic, 26, 1.650, 225, 0, 1, 513, 512
stochastic, 26, 1.650, 225, 0, 2, 737, 512
optimal, 26, 1.650, 225, 0, 1, 512, 513
optimal, 26, 1.650, 225, 0, 2, 628, 784
optimal, 26, 1.650, 225, 0, 3, 590, 231
optimal, 26, 1.650, 225, 0, 4, 257, 747
optimal, 26, 1.650, 225, 0, 5, 250, 238
optimal, 26, 1.650, 225, 0, 6, 804, 314
optimal, 26, 1.650, 225, 0, 7, 775, 790
optimal, 26, 1.650, 225, 0, 8, 228, 750
optimal, 26, 1.650, 225, 0, 9, 252, 217
optimal, 26, 1.650, 225, 0, 10, 788, 210
optimal, 26, 1.650, 225, 0, 11, 807, 783
optimal, 26, 1.650, 225, 0, 12, 737, 512
stochastic, 27, 1.700, 225, 0, 1, 512, 513
stochastic, 27, 1.700, 225, 0, 2, 737, 512
optimal, 27, 1.700, 225, 0, 1, 512, 512
optimal, 27, 1.700, 225, 0, 2, 737, 512
stochastic, 28, 1.600, 225, 45, 1, 512, 513
stochastic, 28, 1.600, 225, 45, 2, 631, 704
optimal, 28, 1.600, 225, 45, 1, 512, 512
optimal, 28, 1.600, 225, 45, 2, 626, 749
optimal, 28, 1.600, 225, 45, 3, 631, 704
stochastic, 29, 1.650, 225, 45, 1, 513, 512
stochastic, 29, 1.650, 225, 45, 2, 631, 704
optimal, 29, 1.650, 225, 45, 1, 512, 512
optimal, 29, 1.650, 225, 45, 2, 631, 704
stochastic, 30, 1.700, 225, 45, 1, 513, 513
stochastic, 30, 1.700, 225, 45, 2, 510, 264
stochastic, 30, 1.700, 225, 45, 3, 765, 294
stochastic, 30, 1.700, 225, 45, 4, 585, 256
stochastic, 30, 1.700, 225, 45, 5, 493, 368
stochastic, 30, 1.700, 225, 45, 6, 487, 503
stochastic, 30, 1.700, 225, 45, 7, 564, 543
stochastic, 30, 1.700, 225, 45, 8, 557, 457
stochastic, 30, 1.700, 225, 45, 9, 631, 704
optimal, 30, 1.700, 225, 45, 1, 512, 513
optimal, 30, 1.700, 225, 45, 2, 631, 704
stochastic, 31, 1.600, 225, 90, 1, 513, 513
stochastic, 31, 1.600, 225, 90, 2, 478, 222
stochastic, 31, 1.600, 225, 90, 3, 779, 700
stochastic, 31, 1.600, 225, 90, 4, 413, 396
stochastic, 31, 1.600, 225, 90, 5, 521, 494
stochastic, 31, 1.600, 225, 90, 6, 713, 353
stochastic, 31, 1.600, 225, 90, 7, 373, 149
stochastic, 31, 1.600, 225, 90, 8, 231, 277
stochastic, 31, 1.600, 225, 90, 9, 552, 90
stochastic, 31, 1.600, 225, 90, 10, 601, 204
stochastic, 31, 1.600, 225, 90, 11, 519, 125
stochastic, 31, 1.600, 225, 90, 12, 368, 126
stochastic, 31, 1.600, 225, 90, 13, 733, 39
stochastic, 31, 1.600, 225, 90, 14, 322, 211
stochastic, 31, 1.600, 225, 90, 15, 211, 428
stochastic, 31, 1.600, 225, 90, 16, 539, 760
stochastic, 31, 1.600, 225, 90, 17, 584, 724
stochastic, 31, 1.600, 225, 90, 18, 587, 275
stochastic, 31, 1.600, 225, 90, 19, 895, 342
stochastic, 31, 1.600, 225, 90, 20, 1020, 476
stochastic, 31, 1.600, 225, 90, 21, 851, 44
stochastic, 31, 1.600, 225, 90, 22, 701, 172
stochastic, 31, 1.600, 225, 90, 23, 733, 92
stochastic, 31, 1.600, 225, 90, 24, 502, 86
stochastic, 31, 1.600, 225, 90, 25, 132, 106
stochastic, 31, 1.600, 225, 90, 26, 314, 94
stochastic, 31, 1.600, 225, 90, 27, 431, 310
stochastic, 31, 1.600, 225, 90, 28, 193, 411
stochastic, 31, 1.600, 225, 90, 29, 190, 363
stochastic, 31, 1.600, 225, 90, 30, 532, 845
stochastic, 31, 1.600, 225, 90, 31, 412, 714
optimal, 31, 1.600, 225, 90, 1, 512, 512
optimal, 31, 1.600, 225, 90, 2, 626, 749
optimal, 31, 1.600, 225, 90, 3, 616, 258
optimal, 31, 1.600, 225, 90, 4, 270, 710
optimal, 31, 1.600, 225, 90, 5, 283, 253
optimal, 31, 1.600, 225, 90, 6, 741, 734
optimal, 31, 1.600, 225, 90, 7, 765, 253
optimal, 31, 1.600, 225, 90, 8, 259, 780
optimal, 31, 1.600, 225, 90, 9, 243, 253
optimal, 31, 1.600, 225, 90, 10, 777, 755
optimal, 31, 1.600, 225, 90, 11, 777, 241
optimal, 31, 1.600, 225, 90, 12, 234, 715
optimal, 31, 1.600, 225, 90, 13, 259, 256
optimal, 31, 1.600, 225, 90, 14, 769, 782
optimal, 31, 1.600, 225, 90, 15, 773, 265
optimal, 31, 1.600, 225, 90, 16, 269, 803
optimal, 31, 1.600, 225, 90, 17, 244, 236
optimal, 31, 1.600, 225, 90, 18, 785, 760
optimal, 31, 1.600, 225, 90, 19, 768, 231
optimal, 31, 1.600, 225, 90, 20, 213, 797
optimal, 31, 1.600, 225, 90, 21, 221, 243
optimal, 31, 1.600, 225, 90, 22, 791, 789
optimal, 31, 1.600, 225, 90, 23, 792, 221
optimal, 31, 1.600, 225, 90, 24, 187, 512
optimal, 31, 1.600, 225, 90, 25, 253, 862
optimal, 31, 1.600, 225, 90, 26, 838, 516
optimal, 31, 1.600, 225, 90, 27, 299, 150
optimal, 31, 1.600, 225, 90, 28, 738, 876
optimal, 31, 1.600, 225, 90, 29, 762, 141
optimal, 31, 1.600, 225, 90, 30, 205, 812
optimal, 31, 1.600, 225, 90, 31, 205, 180
optimal, 31, 1.600, 225, 90, 32, 832, 496
optimal, 31, 1.600, 225, 90, 33, 771, 903
optimal, 31, 1.600, 225, 90, 34, 204, 504
optimal, 31, 1.600, 225, 90, 35, 790, 125
optimal, 31, 1.600, 225, 90, 36, 238, 869
optimal, 31, 1.600, 225, 90, 37, 231, 152
optimal, 31, 1.600, 225, 90, 38, 820, 854
optimal, 31, 1.600, 225, 90, 39, 786, 192
optimal, 31, 1.600, 225, 90, 40, 204, 488
optimal, 31, 1.600, 225, 90, 41, 815, 538
optimal, 31, 1.600, 225, 90, 42, 213, 895
optimal, 31, 1.600, 225, 90, 43, 229, 129
optimal, 31, 1.600, 225, 90, 44, 793, 883
optimal, 31, 1.600, 225, 90, 45, 799, 162
optimal, 31, 1.600, 225, 90, 46, 223, 843
optimal, 31, 1.600, 225, 90, 47, 195, 183
optimal, 31, 1.600, 225, 90, 48, 821, 502
optimal, 31, 1.600, 225, 90, 49, 211, 520
optimal, 31, 1.600, 225, 90, 50, 797, 906
optimal, 31, 1.600, 225, 90, 51, NaN, NaN
stochastic, 32, 1.650, 225, 90, 1, 513, 512
stochastic, 32, 1.650, 225, 90, 2, 531, 475
stochastic, 32, 1.650, 225, 90, 3, 259, 108
stochastic, 32, 1.650, 225, 90, 4, 515, 71
stochastic, 32, 1.650, 225, 90, 5, 152, 168
stochastic, 32, 1.650, 225, 90, 6, 200, 43
stochastic, 32, 1.650, 225, 90, 7, 147, 276
stochastic, 32, 1.650, 225, 90, 8, 518, 199
stochastic, 32, 1.650, 225, 90, 9, 428, 258
stochastic, 32, 1.650, 225, 90, 10, 453, 76
stochastic, 32, 1.650, 225, 90, 11, 665, 940
stochastic, 32, 1.650, 225, 90, 12, 668, 800
stochastic, 32, 1.650, 225, 90, 13, 649, 565
stochastic, 32, 1.650, 225, 90, 14, 558, 699
stochastic, 32, 1.650, 225, 90, 15, 675, 569
stochastic, 32, 1.650, 225, 90, 16, 716, 315
stochastic, 32, 1.650, 225, 90, 17, 725, 427
stochastic, 32, 1.650, 225, 90, 18, 992, 483
stochastic, 32, 1.650, 225, 90, 19, 934, 628
stochastic, 32, 1.650, 225, 90, 20, 464, 696
stochastic, 32, 1.650, 225, 90, 21, 412, 714
optimal, 32, 1.650, 225, 90, 1, 512, 512
optimal, 32, 1.650, 225, 90, 2, 628, 784
optimal, 32, 1.650, 225, 90, 3, 590, 231
optimal, 32, 1.650, 225, 90, 4, 257, 747
optimal, 32, 1.650, 225, 90, 5, 412, 714
stochastic, 33, 1.700, 225, 90, 1, 512, 513
stochastic, 33, 1.700, 225, 90, 2, 322, 256
stochastic, 33, 1.700, 225, 90, 3, 367, 452
stochastic, 33, 1.700, 225, 90, 4, 604, 538
stochastic, 33, 1.700, 225, 90, 5, 412, 714
optimal, 33, 1.700, 225, 90, 1, 512, 512
optimal, 33, 1.700, 225, 90, 2, 630, 776
optimal, 33, 1.700, 225, 90, 3, 351, 223
optimal, 33, 1.700, 225, 90, 4, 805, 252
optimal, 33, 1.700, 225, 90, 5, 187, 759
optimal, 33, 1.700, 225, 90, 6, 830, 773
optimal, 33, 1.700, 225, 90, 7, 193, 223
optimal, 33, 1.700, 225, 90, 8, 773, 215
optimal, 33, 1.700, 225, 90, 9, 194, 797
optimal, 33, 1.700, 225, 90, 10, 806, 779
optimal, 33, 1.700, 225, 90, 11, 176, 236
optimal, 33, 1.700, 225, 90, 12, 809, 203
optimal, 33, 1.700, 225, 90, 13, 245, 786
optimal, 33, 1.700, 225, 90, 14, 412, 714
stochastic, 34, 1.600, 225, 135, 1, 513, 513
stochastic, 34, 1.600, 225, 135, 2, 808, 558
stochastic, 34, 1.600, 225, 135, 3, 848, 606
stochastic, 34, 1.600, 225, 135, 4, 1013, 961
stochastic, 34, 1.600, 225, 135, 5, 82, 979
stochastic, 34, 1.600, 225, 135, 6, 183, 393
stochastic, 34, 1.600, 225, 135, 7, 288, 486
stochastic, 34, 1.600, 225, 135, 8, 223, 660
stochastic, 34, 1.600, 225, 135, 9, 377, 760
stochastic, 34, 1.600, 225, 135, 10, 301, 729
stochastic, 34, 1.600, 225, 135, 11, 288, 532
optimal, 34, 1.600, 225, 135, 1, 513, 513
optimal, 34, 1.600, 225, 135, 2, 626, 749
optimal, 34, 1.600, 225, 135, 3, 616, 258
optimal, 34, 1.600, 225, 135, 4, 270, 710
optimal, 34, 1.600, 225, 135, 5, 288, 532
stochastic, 35, 1.650, 225, 135, 1, 512, 512
stochastic, 35, 1.650, 225, 135, 2, 735, 239
stochastic, 35, 1.650, 225, 135, 3, 507, 214
stochastic, 35, 1.650, 225, 135, 4, 419, 268
stochastic, 35, 1.650, 225, 135, 5, 288, 532
optimal, 35, 1.650, 225, 135, 1, 512, 512
optimal, 35, 1.650, 225, 135, 2, 628, 784
optimal, 35, 1.650, 225, 135, 3, 590, 231
optimal, 35, 1.650, 225, 135, 4, 257, 747
optimal, 35, 1.650, 225, 135, 5, 250, 238
optimal, 35, 1.650, 225, 135, 6, 804, 314
optimal, 35, 1.650, 225, 135, 7, 775, 790
optimal, 35, 1.650, 225, 135, 8, 228, 750
optimal, 35, 1.650, 225, 135, 9, 252, 217
optimal, 35, 1.650, 225, 135, 10, 788, 210
optimal, 35, 1.650, 225, 135, 11, 807, 783
optimal, 35, 1.650, 225, 135, 12, 191, 775
optimal, 35, 1.650, 225, 135, 13, 200, 271
optimal, 35, 1.650, 225, 135, 14, 802, 190
optimal, 35, 1.650, 225, 135, 15, 789, 764
optimal, 35, 1.650, 225, 135, 16, 212, 799
optimal, 35, 1.650, 225, 135, 17, 207, 187
optimal, 35, 1.650, 225, 135, 18, 843, 344
optimal, 35, 1.650, 225, 135, 19, 754, 859
optimal, 35, 1.650, 225, 135, 20, 181, 496
