strat, beta, ecc, phi, nfix
stochastic, 1.700000, 350.000000, 180.000000, 2
optimal, 1.700000, 350.000000, 180.000000, 4
stochastic, 1.600000, 350.000000, 225.000000, 30
optimal, 1.600000, 350.000000, 225.000000, 12
stochastic, 1.650000, 350.000000, 225.000000, 13
optimal, 1.650000, 350.000000, 225.000000, 4
stochastic, 1.700000, 350.000000, 225.000000, 16
optimal, 1.700000, 350.000000, 225.000000, 4
stochastic, 1.600000, 350.000000, 270.000000, 26
optimal, 1.600000, 350.000000, 270.000000, 4
stochastic, 1.650000, 350.000000, 270.000000, 4
optimal, 1.650000, 350.000000, 270.000000, 16
stochastic, 1.700000, 350.000000, 270.000000, 10
optimal, 1.700000, 350.000000, 270.000000, 3
stochastic, 1.600000, 350.000000, 315.000000, 51
optimal, 1.600000, 350.000000, 315.000000, 15
stochastic, 1.650000, 350.000000, 315.000000, 10
optimal, 1.650000, 350.000000, 315.000000, 25
stochastic, 1.700000, 350.000000, 315.000000, 4
optimal, 1.700000, 350.000000, 315.000000, 3
stochastic, 1.600000, 100.000000, 0.000000, 2
optimal, 1.600000, 100.000000, 0.000000, 8
stochastic, 1.650000, 100.000000, 0.000000, 2
optimal, 1.650000, 100.000000, 0.000000, 2
stochastic, 1.700000, 100.000000, 0.000000, 2
optimal, 1.700000, 100.000000, 0.000000, 2
stochastic, 1.600000, 100.000000, 45.000000, 3
optimal, 1.600000, 100.000000, 45.000000, 2
stochastic, 1.650000, 100.000000, 45.000000, 2
optimal, 1.650000, 100.000000, 45.000000, 25
stochastic, 1.700000, 100.000000, 45.000000, 2
optimal, 1.700000, 100.000000, 45.000000, 2
stochastic, 1.600000, 100.000000, 90.000000, 7
optimal, 1.600000, 100.000000, 90.000000, 26
stochastic, 1.650000, 100.000000, 90.000000, 2
optimal, 1.650000, 100.000000, 90.000000, 2
stochastic, 1.700000, 100.000000, 90.000000, 3
optimal, 1.700000, 100.000000, 90.000000, 2
stochastic, 1.600000, 100.000000, 135.000000, 4
optimal, 1.600000, 100.000000, 135.000000, 4
stochastic, 1.650000, 100.000000, 135.000000, 2
optimal, 1.650000, 100.000000, 135.000000, 6
stochastic, 1.700000, 100.000000, 135.000000, 2
optimal, 1.700000, 100.000000, 135.000000, 2
stochastic, 1.600000, 100.000000, 180.000000, 3
optimal, 1.600000, 100.000000, 180.000000, 14
