person,trial,beta,numFix
2,119,1.65,1
4,122,1.65,2
5,123,1.65,2
5,125,1.65,1
4,127,1.65,5
2,128,1.65,3
4,128,1.65,4
4,129,1.65,3
2,130,1.65,2
4,130,1.65,1
4,132,1.65,4
5,132,1.65,7
2,133,1.65,34
5,134,1.65,2
2,135,1.65,4
4,136,1.65,6
4,138,1.65,1
5,138,1.65,5
5,139,1.65,1
4,140,1.65,4
2,141,1.65,3
4,142,1.65,1
2,144,1.65,10
4,144,1.65,2
5,145,1.65,1
2,149,1.65,2
2,152,1.65,5
4,152,1.65,3
4,153,1.65,1
2,154,1.65,2
2,155,1.65,4
4,156,1.65,1
4,157,1.65,3
5,160,1.65,1
2,161,1.65,3
4,162,1.65,3
5,164,1.65,4
2,166,1.65,2
5,166,1.65,3
4,167,1.65,3
2,170,1.65,3
4,170,1.65,1
4,172,1.65,2
5,174,1.65,1
4,175,1.65,4
5,175,1.65,1
4,176,1.65,2
4,178,1.65,2
5,178,1.65,2
2,179,1.65,2
4,179,1.65,3
5,179,1.65,2
2,180,1.65,2
2,181,1.65,2
4,182,1.65,1
5,182,1.65,5
4,183,1.65,1
5,184,1.65,6
5,186,1.65,1
2,187,1.65,2
2,190,1.65,3
5,191,1.65,7
4,193,1.65,8
5,193,1.65,4
2,196,1.65,3
4,196,1.65,3
2,198,1.65,2
2,199,1.65,3
5,201,1.65,1
2,202,1.65,2
5,202,1.65,1
2,203,1.65,1
5,203,1.65,2
2,205,1.65,3
4,206,1.65,9
5,207,1.65,10
2,208,1.65,3
4,209,1.65,5
5,209,1.65,1
5,211,1.65,2
4,213,1.65,7
4,214,1.65,1
2,216,1.65,4
5,216,1.65,2
4,218,1.65,1
5,221,1.65,1
2,225,1.65,7
5,225,1.65,1
2,229,1.65,2
4,229,1.65,1
5,229,1.65,2
2,230,1.65,2
2,232,1.65,6
5,233,1.65,1
2,234,1.65,3
2,238,1.65,5
2,243,1.65,2
5,243,1.65,1
5,244,1.65,4
2,246,1.65,4
2,248,1.65,2
5,249,1.65,4
2,250,1.65,4
5,250,1.65,2
2,253,1.65,3
4,253,1.65,9
4,254,1.65,2
5,255,1.65,4
4,256,1.65,5
5,256,1.65,3
4,259,1.65,1
5,259,1.65,14
4,260,1.65,2
2,23,1.7,1
4,24,1.7,2
2,27,1.7,3
4,32,1.7,2
2,33,1.7,4
4,35,1.7,1
2,36,1.7,1
5,38,1.7,1
2,39,1.7,2
5,41,1.7,3
4,42,1.7,1
4,43,1.7,1
4,44,1.7,1
5,47,1.7,1
4,49,1.7,2
5,50,1.7,2
2,52,1.7,4
2,54,1.7,3
2,56,1.7,3
2,57,1.7,2
2,58,1.7,9
2,59,1.7,1
2,60,1.7,1
2,62,1.7,1
2,63,1.7,1
2,64,1.7,6
2,65,1.7,9
4,68,1.7,1
4,70,1.7,1
4,71,1.7,2
4,73,1.7,1
5,73,1.7,2
4,75,1.7,1
5,76,1.7,1
2,77,1.7,1
2,78,1.7,1
5,78,1.7,1
5,79,1.7,1
5,80,1.7,1
2,82,1.7,2
4,82,1.7,2
4,84,1.7,2
5,85,1.7,1
4,86,1.7,2
5,86,1.7,1
5,89,1.7,2
4,91,1.7,2
5,91,1.7,2
5,92,1.7,1
4,93,1.7,1
5,93,1.7,3
4,96,1.7,1
5,97,1.7,1
2,103,1.7,1
2,104,1.7,3
4,106,1.7,2
2,110,1.7,2
5,110,1.7,1
5,111,1.7,1
2,114,1.7,1
2,116,1.7,1
2,117,1.7,1
5,117,1.7,1
5,119,1.7,2
2,120,1.7,3
4,120,1.7,1
2,121,1.7,3
5,121,1.7,2
2,122,1.7,2
2,123,1.7,1
2,124,1.7,3
2,125,1.7,2
2,126,1.7,1
5,128,1.7,2
5,129,1.7,3
5,133,1.7,3
5,135,1.7,2
2,136,1.7,2
2,139,1.7,3
2,140,1.7,2
5,140,1.7,1
4,141,1.7,1
5,141,1.7,1
2,142,1.7,2
2,145,1.7,2
2,146,1.7,1
4,148,1.7,3
5,149,1.7,1
5,151,1.7,2
4,154,1.7,1
5,155,1.7,2
5,156,1.7,2
2,157,1.7,2
5,157,1.7,2
2,158,1.7,3
5,158,1.7,2
4,159,1.7,1
2,160,1.7,2
5,161,1.7,2
2,163,1.7,2
5,163,1.7,1
2,164,1.7,4
4,164,1.7,6
2,165,1.7,2
5,165,1.7,1
2,168,1.7,3
4,168,1.7,1
5,168,1.7,4
4,169,1.7,1
5,170,1.7,2
2,172,1.7,3
5,172,1.7,1
4,174,1.7,1
2,176,1.7,4
4,177,1.7,1
2,182,1.7,2
5,185,1.7,2
4,186,1.7,5
4,187,1.7,1
5,187,1.7,1
4,188,1.7,2
5,190,1.7,2
4,191,1.7,2
5,192,1.7,1
5,194,1.7,2
2,195,1.7,1
4,195,1.7,1
5,195,1.7,1
5,196,1.7,1
2,197,1.7,3
4,197,1.7,3
4,199,1.7,2
2,200,1.7,1
2,201,1.7,2
4,205,1.7,1
4,210,1.7,1
2,211,1.7,2
4,211,1.7,1
4,212,1.7,2
5,213,1.7,1
4,215,1.7,1
4,217,1.7,2
5,217,1.7,1
2,218,1.7,3
5,219,1.7,1
2,220,1.7,3
5,220,1.7,1
2,221,1.7,7
4,221,1.7,1
2,222,1.7,2
5,222,1.7,2
2,223,1.7,3
2,226,1.7,3
4,226,1.7,2
2,228,1.7,2
2,231,1.7,1
4,231,1.7,1
4,233,1.7,1
2,236,1.7,2
2,237,1.7,4
5,237,1.7,1
2,240,1.7,1
4,240,1.7,1
5,240,1.7,3
2,241,1.7,2
5,241,1.7,1
4,243,1.7,1
4,245,1.7,5
5,247,1.7,2
4,248,1.7,1
5,248,1.7,1
4,249,1.7,1
2,252,1.7,3
4,252,1.7,2
2,255,1.7,3
4,255,1.7,2
2,257,1.7,2
5,260,1.7,1
