person,x,y
2,702.9,552.3
2,472.3,708.1
2,420.6,728.3
2,434.4,811.8
2,668.9,689.8
2,761.3,599.2
2,614,427.5
2,628.3,553.4
2,444.5,637.2
2,378.1,190.9
2,353.8,147.4
2,557.7,58.7
2,607,19.5
2,158.8,426.8
2,252.6,336.9
2,295.3,242.1
2,294.4,209.7
2,453.6,355.2
2,438.7,222.1
2,456.4,249
2,490.6,404.6
2,458.8,373.9
2,790.4,451.9
2,193.2,644.4
2,184.4,591.5
2,452.9,868.6
2,438,907.5
2,492.4,473.3
2,572.5,599.9
2,526.3,476.2
2,416.2,505.1
2,260.4,438.5
2,507.6,460.3
2,600.5,653.8
2,283.5,291.3
2,183.9,426.6
2,372.6,470.7
2,135.5,617.4
2,262.4,572.6
2,615.8,580.9
2,559.2,520.6
2,234.7,677.1
2,468.1,499
2,372.5,457.2
2,171.4,659.8
2,157.8,630.4
2,539.8,444.1
2,309.4,726
2,296,637.1
2,533.2,302.5
2,700.9,253.1
2,267,535.5
2,554.7,488.9
2,707.9,539.1
2,730.3,260
2,673.8,290.6
2,241,592.5
2,446.6,481.6
2,548.8,848.6
2,504.3,733.6
2,544,848.1
2,421.5,130.7
2,396.2,109.1
2,428,105.6
2,398.9,186.5
2,508.4,410.1
2,497.7,377
2,594.3,309.6
2,878.8,425.9
2,519.6,412.7
2,296.3,723.1
2,322.4,803.7
2,392.9,654
2,452.9,482.5
2,515.6,169
2,251,287.6
2,118.5,316.9
2,375.4,410.9
2,462.4,417.3
2,434.9,409.5
2,464.1,440.7
2,658.1,472.2
2,589.1,465.6
2,434.4,479.9
2,799.1,564.3
2,595,738.8
2,418.5,540.5
2,610,153
2,822,191.3
2,575.3,410.2
2,815.4,203.7
2,574.1,371
2,272.2,592.6
2,345.6,552.5
2,601.1,790.5
2,651.2,685.7
2,643.3,636.7
2,548.1,549.5
2,482.4,424.7
2,275.4,675.4
2,761,780.1
2,376,337.4
2,664.7,249.1
2,545.5,427.7
2,450.7,348.8
2,828.4,421.1
2,893.6,413.3
2,561.5,703.3
2,571.8,614.5
2,184.4,772.2
2,307.1,660.8
2,484.9,202.2
2,540.7,415
2,798,695.1
2,789.5,603.9
2,352.8,833.6
2,299.7,655.9
2,183.5,674.4
2,777.1,669.7
2,489.5,431.2
2,545.8,762.5
2,507.1,655.8
2,541.2,630.1
2,508.4,759.6
2,594,215.3
2,675.4,164.3
2,529.6,373
2,588,617.9
2,532.1,349.9
2,511.5,414.8
2,389.7,637.1
2,682,183.3
2,658.9,205.1
2,759.3,306.6
2,379.6,716.8
2,562.1,452.2
2,580,655.1
2,937.5,617.6
2,521.8,529.7
2,863,404.2
2,531.2,498.4
2,217.2,647.6
2,570.8,800.4
2,710.6,665.5
2,581.9,564.5
2,611.9,490.1
2,722,415.8
