Obs, RMS, beta, ecc, nFix
1, 0.900, 1.600, 100.000, 1.000 
1, 0.900, 1.600, 100.000, 3.000 
1, 0.900, 1.600, 100.000, 3.000 
1, 0.900, 1.600, 100.000, 39.000 
1, 0.900, 1.600, 100.000, 3.000 
1, 0.900, 1.600, 100.000, 4.000 
1, 0.900, 1.600, 100.000, 1.000 
1, 0.900, 1.600, 100.000, 2.000 
1, 0.900, 1.600, 100.000, 2.000 
1, 0.900, 1.600, 100.000, 2.000 
1, 0.900, 1.600, 100.000, 2.000 
1, 0.900, 1.600, 100.000, 3.000 
1, 0.900, 1.600, 100.000, 1.000 
1, 0.900, 1.600, 100.000, 1.000 
1, 0.900, 1.600, 100.000, 1.000 
1, 0.900, 1.600, 100.000, 4.000 
1, 0.900, 1.600, 100.000, 1.000 
1, 0.900, 1.600, 100.000, 11.000 
1, 0.900, 1.600, 100.000, 1.000 
1, 0.900, 1.600, 100.000, 1.000 
1, 0.900, 1.600, 225.000, 22.000 
1, 0.900, 1.600, 225.000, 2.000 
1, 0.900, 1.600, 225.000, 2.000 
1, 0.900, 1.600, 225.000, 4.000 
1, 0.900, 1.600, 225.000, 1.000 
1, 0.900, 1.600, 225.000, 41.000 
1, 0.900, 1.600, 225.000, 1.000 
1, 0.900, 1.600, 225.000, 3.000 
1, 0.900, 1.600, 225.000, 2.000 
1, 0.900, 1.600, 225.000, 2.000 
1, 0.900, 1.600, 225.000, 5.000 
1, 0.900, 1.600, 225.000, 1.000 
1, 0.900, 1.600, 225.000, 7.000 
1, 0.900, 1.600, 225.000, 4.000 
1, 0.900, 1.600, 225.000, 3.000 
1, 0.900, 1.600, 225.000, 9.000 
1, 0.900, 1.600, 225.000, 3.000 
1, 0.900, 1.600, 225.000, 1.000 
1, 0.900, 1.600, 225.000, 1.000 
1, 0.900, 1.600, 225.000, 3.000 
1, 0.900, 1.600, 350.000, 2.000 
1, 0.900, 1.600, 350.000, 29.000 
1, 0.900, 1.600, 350.000, 2.000 
1, 0.900, 1.600, 350.000, 3.000 
1, 0.900, 1.600, 350.000, 6.000 
1, 0.900, 1.600, 350.000, 2.000 
1, 0.900, 1.600, 350.000, 6.000 
1, 0.900, 1.600, 350.000, 5.000 
1, 0.900, 1.600, 350.000, 6.000 
1, 0.900, 1.600, 350.000, 2.000 
1, 0.900, 1.600, 350.000, 13.000 
1, 0.900, 1.600, 350.000, 26.000 
1, 0.900, 1.600, 350.000, 26.000 
1, 0.900, 1.600, 350.000, 23.000 
1, 0.900, 1.600, 350.000, 2.000 
1, 0.900, 1.600, 350.000, 3.000 
1, 0.900, 1.600, 350.000, 5.000 
1, 0.900, 1.600, 350.000, 30.000 
1, 0.900, 1.600, 350.000, 37.000 
1, 0.900, 1.600, 350.000, 12.000 
1, 1.100, 1.600, 100.000, 69.000 
1, 1.100, 1.600, 100.000, 50.000 
1, 1.100, 1.600, 100.000, 1.000 
1, 1.100, 1.600, 100.000, 2.000 
1, 1.100, 1.600, 100.000, 6.000 
1, 1.100, 1.600, 100.000, 2.000 
1, 1.100, 1.600, 100.000, 33.000 
1, 1.100, 1.600, 100.000, 2.000 
1, 1.100, 1.600, 100.000, 1.000 
1, 1.100, 1.600, 100.000, 1.000 
1, 1.100, 1.600, 100.000, 3.000 
1, 1.100, 1.600, 100.000, 15.000 
1, 1.100, 1.600, 100.000, 1.000 
1, 1.100, 1.600, 100.000, 22.000 
1, 1.100, 1.600, 100.000, 10.000 
1, 1.100, 1.600, 100.000, 4.000 
1, 1.100, 1.600, 100.000, 7.000 
1, 1.100, 1.600, 100.000, 3.000 
1, 1.100, 1.600, 100.000, 2.000 
1, 1.100, 1.600, 100.000, 2.000 
1, 1.100, 1.600, 225.000, 47.000 
1, 1.100, 1.600, 225.000, 6.000 
1, 1.100, 1.600, 225.000, 43.000 
1, 1.100, 1.600, 225.000, 11.000 
1, 1.100, 1.600, 225.000, 6.000 
1, 1.100, 1.600, 225.000, 3.000 
1, 1.100, 1.600, 225.000, 5.000 
1, 1.100, 1.600, 225.000, 2.000 
1, 1.100, 1.600, 225.000, 3.000 
1, 1.100, 1.600, 225.000, 14.000 
1, 1.100, 1.600, 225.000, 9.000 
1, 1.100, 1.600, 225.000, 5.000 
1, 1.100, 1.600, 225.000, 319.000 
1, 1.100, 1.600, 225.000, 4.000 
1, 1.100, 1.600, 225.000, 22.000 
1, 1.100, 1.600, 225.000, 5.000 
1, 1.100, 1.600, 225.000, 34.000 
1, 1.100, 1.600, 225.000, 2.000 
1, 1.100, 1.600, 225.000, 15.000 
1, 1.100, 1.600, 225.000, 4.000 
1, 1.100, 1.600, 350.000, 12.000 
1, 1.100, 1.600, 350.000, 36.000 
1, 1.100, 1.600, 350.000, 99.000 
