participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
4, 1, 0, 1.7, 232, NaN, NaN, -1.000
4, 2, 1, 1.7, 162, 322, 623, 0.987
4, 3, 0, 1.65, 152, NaN, NaN, -1.000
4, 4, 0, 1.65, 160, NaN, NaN, -1.000
4, 5, 1, 1.65, 135, 550, 61, 1.495
4, 6, 1, 1.6, 50, 451, 956, -1.000
4, 7, 1, 1.6, 65, 280, 261, 17.496
4, 8, 1, 1.7, 230, 235, 883, 1.602
4, 9, 1, 1.7, 216, 470, 721, 0.927
4, 10, 1, 1.6, 11, 279, 204, 6.840
4, 11, 1, 1.7, 206, 676, 220, 0.892
4, 12, 1, 1.65, 97, 641, 751, 4.267
4, 13, 1, 1.65, 112, 734, 524, 5.665
4, 14, 1, 1.7, 195, 789, 385, 1.888
4, 15, 1, 1.65, 132, 811, 835, 3.083
4, 16, 1, 1.6, 4, 631, 811, 2.338
4, 17, 1, 1.7, 187, 719, 869, 1.226
4, 18, 1, 1.7, 225, 773, 680, 0.956
4, 19, 0, 1.7, 236, NaN, NaN, -1.000
4, 20, 1, 1.7, 223, 126, 781, 0.880
4, 21, 1, 1.6, 37, 306, 678, 1.565
4, 22, 1, 1.6, 7, 958, 939, 4.932
4, 23, 1, 1.7, 209, 652, 175, 1.097
4, 24, 1, 1.7, 169, 314, 115, 1.528
4, 25, 1, 1.7, 183, 461, 177, 0.739
4, 26, 1, 1.6, 27, 351, 297, 0.819
4, 27, 1, 1.7, 191, 384, 889, 0.883
4, 28, 1, 1.6, 40, 444, 232, 2.832
4, 29, 1, 1.6, 61, 158, 692, 1.467
4, 30, 1, 1.7, 222, 931, 161, 0.929
4, 31, 1, 1.6, 53, 137, 213, 5.909
4, 32, 1, 1.65, 138, 931, 611, 2.017
4, 33, 0, 1.65, 151, NaN, NaN, -1.000
4, 34, 1, 1.6, 47, 220, 659, 2.174
4, 35, 1, 1.6, 12, 456, 955, 11.381
4, 36, 1, 1.65, 143, 436, 385, 2.053
4, 37, 1, 1.65, 130, 632, 117, 1.998
4, 38, 1, 1.6, 68, 238, 246, 1.701
