participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
3, 1, 0, 1.65, 134, NaN, NaN, 0
3, 2, 1, 1.6, 3, 300, 315, 0
3, 3, 1, 1.65, 18, 400, 90, 0
3, 4, 1, 1.6, 6, 200, 135, 0
3, 5, 1, 1.7, 25, 250, 315, 1
3, 6, 1, 1.6, 4, 350, 225, 0
3, 7, 1, 1.6, 3, 350, 180, 0
3, 8, 1, 1.7, 26, 200, 45, 0
3, 9, 1, 1.6, 8, 250, 180, 0
3, 10, 1, 1.6, 8, 200, 0, 0
3, 11, 0, 1.65, 160, NaN, NaN, 0
3, 12, 0, 1.6, 60, NaN, NaN, 0
3, 13, 0, 1.6, 54, NaN, NaN, 0
3, 14, 1, 1.6, 8, 400, 90, 0
3, 15, 1, 1.6, 6, 50, 0, 0
3, 16, 1, 1.65, 12, 150, 90, 1
3, 17, 1, 1.7, 21, 100, 315, 1
3, 18, 0, 1.7, 262, NaN, NaN, 0
3, 19, 1, 1.6, 9, 250, 270, 1
3, 20, 1, 1.6, 3, 400, 315, 0
3, 21, 1, 1.65, 16, 400, 225, 0
3, 22, 1, 1.6, 9, 150, 225, 0
3, 23, 1, 1.7, 27, 150, 45, 1
3, 24, 1, 1.6, 9, 200, 90, 0
3, 25, 1, 1.6, 7, 200, 135, 0
3, 26, 0, 1.7, 285, NaN, NaN, 0
3, 27, 1, 1.7, 19, 50, 135, 1
3, 28, 1, 1.65, 14, 50, 135, 1
3, 29, 1, 1.65, 15, 200, 315, 0
3, 30, 0, 1.7, 238, NaN, NaN, 0
3, 31, 1, 1.65, 14, 400, 225, 0
3, 32, 1, 1.65, 18, 150, 135, 1
3, 33, 1, 1.65, 14, 50, 180, 1
3, 34, 1, 1.6, 8, 100, 45, 0
3, 35, 1, 1.6, 3, 200, 315, 1
3, 36, 1, 1.7, 19, 100, 135, 1
3, 37, 1, 1.65, 10, 150, 225, 0
3, 38, 1, 1.65, 16, 400, 135, 0
3, 39, 1, 1.65, 12, 100, 90, 1
3, 40, 0, 1.7, 270, NaN, NaN, 0
3, 41, 1, 1.6, 1, 50, 270, 1
3, 42, 1, 1.6, 4, 200, 225, 0
3, 43, 1, 1.7, 20, 400, 315, 0
3, 44, 1, 1.7, 20, 200, 135, 1
3, 45, 1, 1.7, 26, 350, 225, 0
