participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
5, 1, 1, 1.6, 5, 250, 315, 0
5, 2, 1, 1.6, 5, 350, 315, 0
5, 3, 1, 1.65, 12, 250, 45, 0
5, 4, 1, 1.65, 12, 150, 45, 1
5, 5, 1, 1.6, 5, 350, 0, 0
5, 6, 1, 1.65, 13, 300, 225, 1
5, 7, 1, 1.7, 22, 300, 315, 1
5, 8, 1, 1.7, 21, 100, 315, 1
5, 9, 1, 1.6, 3, 250, 135, 0
5, 10, 1, 1.65, 13, 350, 45, -1
5, 11, 1, 1.65, 11, 400, 315, 1
5, 12, 1, 1.65, 13, 200, 225, 0
5, 13, 1, 1.7, 19, 100, 90, 1
5, 14, 1, 1.7, 25, 350, 135, 1
5, 15, 1, 1.6, 5, 350, 225, 0
5, 16, 1, 1.7, 26, 250, 270, 1
5, 17, 1, 1.65, 11, 250, 135, 1
5, 18, 1, 1.7, 22, 150, 225, 1
5, 19, 1, 1.6, 2, 250, 45, 0
5, 20, 1, 1.65, 13, 400, 225, 0
5, 21, 1, 1.6, 6, 100, 315, 0
5, 22, 1, 1.6, 3, 350, 315, 0
5, 23, 1, 1.7, 24, 200, 90, 1
5, 24, 1, 1.65, 14, 400, 180, 0
5, 25, 1, 1.65, 13, 350, 225, 0
5, 26, 1, 1.65, 15, 150, 135, 1
5, 27, 1, 1.6, 3, 200, 315, 0
5, 28, 1, 1.7, 19, 50, 225, 1
5, 29, 1, 1.65, 15, 400, 0, 0
5, 30, 1, 1.7, 25, 250, 90, 1
5, 31, 1, 1.6, 1, 100, 135, 0
5, 32, 1, 1.7, 21, 50, 270, 1
5, 33, 1, 1.7, 22, 400, 225, 0
5, 34, 1, 1.65, 16, 200, 315, 1
5, 35, 1, 1.7, 21, 350, 270, 0
5, 36, 1, 1.7, 22, 250, 225, 1
5, 37, 1, 1.6, 4, 50, 45, 0
5, 38, 1, 1.6, 6, 100, 135, 0
5, 39, 1, 1.6, 4, 400, 225, 0
5, 40, 1, 1.6, 7, 200, 90, 0
5, 41, 0, 1.65, 180, NaN, NaN, 0
5, 42, 0, 1.6, 78, NaN, NaN, 0
5, 43, 1, 1.65, 13, 50, 90, 1
5, 44, 1, 1.65, 10, 100, 315, 1
5, 45, 1, 1.6, 4, 400, 315, 1
5, 46, 1, 1.7, 23, 200, 45, 1
5, 47, 1, 1.6, 9, 150, 45, 1
5, 48, 1, 1.7, 21, 50, 180, 1
5, 49, 1, 1.65, 18, 100, 180, 1
5, 50, 1, 1.65, 14, 400, 270, 1
5, 51, 1, 1.7, 19, 50, 90, 1
5, 52, 1, 1.7, 26, 400, 45, 0
5, 53, 1, 1.6, 9, 300, 180, 0
5, 54, 1, 1.6, 8, 150, 315, 1
5, 55, 0, 1.7, 263, NaN, NaN, 0
5, 56, 0, 1.6, 108, NaN, NaN, 0
5, 57, 1, 1.65, 10, 200, 225, 1
5, 58, 1, 1.6, 6, 300, 0, 0
5, 59, 0, 1.7, 235, NaN, NaN, 1
5, 60, 1, 1.65, 15, 300, 180, 0
5, 61, 1, 1.7, 21, 50, 135, 1
5, 62, 1, 1.6, 6, 300, 45, 0
5, 63, 1, 1.6, 5, 100, 135, 0
5, 64, 1, 1.7, 19, 350, 45, 1
5, 65, 1, 1.65, 11, 350, 90, 0
5, 66, 1, 1.7, 26, 300, 225, 1
5, 67, 1, 1.65, 18, 400, 225, 0
5, 68, 1, 1.65, 12, 300, 0, 1
5, 69, 1, 1.6, 4, 350, 270, 0
5, 70, 1, 1.65, 10, 200, 180, 1
5, 71, 0, 1.6, 44, NaN, NaN, 0
5, 72, 1, 1.6, 8, 200, 45, 0
5, 73, 1, 1.6, 5, 50, 135, 1
5, 74, 1, 1.65, 14, 150, 315, 1
5, 75, 1, 1.7, 25, 250, 0, 1
5, 76, 1, 1.65, 17, 150, 0, 1
5, 77, 1, 1.7, 25, 300, 135, 1
5, 78, 1, 1.6, 2, 350, 0, 1
5, 79, 1, 1.6, 4, 100, 0, 0
5, 80, 1, 1.7, 23, 400, 45, 1
5, 81, 1, 1.7, 26, 200, 135, 1
5, 82, 1, 1.65, 13, 250, 0, 1
5, 83, 0, 1.6, 106, NaN, NaN, 0
5, 84, 1, 1.65, 13, 400, 315, 0
5, 85, 1, 1.6, 9, 150, 270, 0
5, 86, 0, 1.7, 276, NaN, NaN, 0
5, 87, 1, 1.65, 10, 200, 135, 1
5, 88, 1, 1.7, 21, 400, 135, 1
5, 89, 1, 1.7, 25, 100, 270, 0
5, 90, 1, 1.6, 8, 300, 90, 0
5, 91, 1, 1.65, 17, 150, 45, 1
5, 92, 1, 1.7, 22, 300, 270, 1
5, 93, 1, 1.6, 3, 250, 180, 1
5, 94, 1, 1.65, 14, 350, 270, 1
5, 95, 1, 1.65, 15, 150, 225, 1
5, 96, 1, 1.65, 14, 200, 90, 1
5, 97, 1, 1.7, 21, 200, 270, 0
5, 98, 0, 1.65, 187, NaN, NaN, 1
5, 99, 1, 1.7, 23, 350, 90, 0
5, 100, 1, 1.7, 23, 100, 225, 1
5, 101, 1, 1.65, 12, 150, 270, 1
5, 102, 1, 1.6, 6, 300, 180, 0
5, 103, 1, 1.65, 16, 250, 0, 1
5, 104, 1, 1.6, 1, 300, 180, 0
5, 105, 1, 1.6, 6, 400, 315, 0
5, 106, 1, 1.7, 21, 250, 270, 1
5, 107, 1, 1.65, 15, 250, 315, 1
5, 108, 0, 1.7, 222, NaN, NaN, 0
5, 109, 1, 1.65, 11, 250, 45, 1
5, 110, 1, 1.7, 20, 200, 270, 1
5, 111, 1, 1.6, 7, 400, 0, 0
5, 112, 1, 1.65, 15, 350, 225, 1
5, 113, 1, 1.6, 5, 300, 90, 0
5, 114, 1, 1.65, 18, 100, 135, 1
5, 115, 1, 1.7, 21, 300, 0, 1
5, 116, 0, 1.7, 275, NaN, NaN, 0
5, 117, 1, 1.7, 24, 150, 315, 1
5, 118, 1, 1.7, 19, 50, 45, 1
5, 119, 1, 1.6, 1, 100, 315, 1
5, 120, 0, 1.65, 168, NaN, NaN, 0
5, 121, 1, 1.7, 23, 50, 270, 1
5, 122, 1, 1.7, 26, 50, 315, 1
5, 123, 1, 1.65, 18, 100, 90, 1
5, 124, 1, 1.6, 6, 350, 270, 0
5, 125, 1, 1.7, 27, 350, 90, 1
5, 126, 1, 1.65, 18, 50, 180, 1
5, 127, 1, 1.7, 23, 400, 225, 0
5, 128, 1, 1.7, 27, 150, 90, 1
5, 129, 1, 1.6, 3, 100, 315, 0
5, 130, 1, 1.6, 1, 200, 90, 0
5, 131, 1, 1.65, 17, 200, 225, 0
5, 132, 1, 1.65, 15, 100, 45, 1
5, 133, 1, 1.65, 16, 100, 45, 1
5, 134, 1, 1.7, 25, 150, 270, 1
5, 135, 1, 1.6, 3, 200, 135, 0
5, 136, 1, 1.65, 10, 400, 180, 1
5, 137, 1, 1.7, 20, 250, 90, 1
5, 138, 1, 1.6, 7, 100, 45, 0
5, 139, 1, 1.65, 15, 50, 45, 1
5, 140, 0, 1.65, 158, NaN, NaN, 0
5, 141, 1, 1.7, 26, 200, 45, 1
5, 142, 1, 1.65, 10, 300, 270, 1
5, 143, 1, 1.6, 3, 350, 225, 0
5, 144, 1, 1.65, 14, 300, 135, 1
5, 145, 1, 1.7, 24, 300, 90, 1
5, 146, 1, 1.65, 14, 200, 135, 0
5, 147, 0, 1.65, 120, NaN, NaN, 0
5, 148, 0, 1.6, 86, NaN, NaN, 0
5, 149, 0, 1.65, 141, NaN, NaN, 0
5, 150, 1, 1.6, 9, 200, 315, 0
5, 151, 1, 1.65, 16, 400, 315, 1
5, 152, 0, 1.6, 79, NaN, NaN, 0
5, 153, 1, 1.6, 8, 300, 270, 0
5, 154, 1, 1.7, 27, 50, 0, 1
5, 155, 1, 1.65, 15, 150, 270, 1
5, 156, 1, 1.6, 8, 300, 45, 0
5, 157, 1, 1.6, 5, 350, 45, 0
5, 158, 1, 1.65, 12, 100, 135, 0
5, 159, 1, 1.6, 7, 400, 90, 0
5, 160, 1, 1.6, 4, 400, 180, 0
5, 161, 1, 1.7, 25, 50, 90, 1
5, 162, 0, 1.6, 46, NaN, NaN, 0
5, 163, 1, 1.7, 24, 250, 45, 1
5, 164, 1, 1.6, 8, 250, 135, 0
5, 165, 0, 1.6, 60, NaN, NaN, 0
5, 166, 0, 1.6, 97, NaN, NaN, 0
5, 167, 1, 1.7, 22, 350, 45, 0
5, 168, 1, 1.7, 23, 200, 135, 1
5, 169, 1, 1.65, 12, 250, 90, 0
5, 170, 1, 1.7, 23, 300, 135, 1
5, 171, 1, 1.6, 5, 250, 45, 1
5, 172, 1, 1.65, 11, 50, 270, 1
5, 173, 1, 1.65, 15, 400, 225, 1
5, 174, 1, 1.6, 2, 100, 90, 1
5, 175, 1, 1.65, 17, 250, 315, 1
5, 176, 1, 1.65, 12, 350, 315, 1
5, 177, 1, 1.6, 6, 50, 45, 1
5, 178, 1, 1.65, 18, 300, 225, 1
5, 179, 0, 1.6, 40, NaN, NaN, 0
5, 180, 1, 1.7, 23, 100, 270, 1
5, 181, 1, 1.65, 11, 350, 270, 1
5, 182, 0, 1.6, 36, NaN, NaN, 0
5, 183, 1, 1.7, 22, 150, 0, 1
5, 184, 0, 1.6, 77, NaN, NaN, 0
5, 185, 1, 1.7, 23, 100, 180, 1
5, 186, 1, 1.7, 27, 300, 45, 1
5, 187, 1, 1.6, 7, 250, 45, 0
5, 188, 1, 1.65, 12, 250, 270, 1
5, 189, 1, 1.65, 11, 400, 135, 1
