participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
0, 1, 1, 1.65, 11, 100, 135, 1
0, 2, 0, 1.6, 49, NaN, NaN, 0
0, 3, 1, 1.7, 21, 350, 135, 1
0, 4, 1, 1.6, 6, 250, 45, 0
0, 5, 1, 1.7, 21, 150, 180, 1
0, 6, 1, 1.6, 7, 50, 0, 0
0, 7, 1, 1.6, 4, 350, 225, 1
0, 8, 1, 1.65, 15, 150, 225, 1
0, 9, 1, 1.65, 15, 300, 225, -1
0, 10, 1, 1.6, 3, 300, 135, 0
0, 11, 1, 1.65, 13, 200, 225, 1
0, 12, 1, 1.6, 8, 400, 315, 0
0, 13, 1, 1.7, 24, 400, 90, 1
0, 14, 1, 1.65, 12, 350, 90, 0
0, 15, 1, 1.6, 5, 300, 0, 1
0, 16, 1, 1.65, 16, 400, 45, 1
0, 17, 1, 1.65, 15, 150, 0, -1
0, 18, 1, 1.6, 8, 250, 90, 0
0, 19, 1, 1.65, 17, 300, 90, 1
0, 20, 0, 1.7, 207, NaN, NaN, 0
0, 21, 0, 1.65, 170, NaN, NaN, 0
0, 22, 0, 1.6, 29, NaN, NaN, 0
0, 23, 1, 1.7, 21, 150, 135, 1
0, 24, 0, 1.65, 155, NaN, NaN, 0
0, 25, 1, 1.6, 1, 150, 315, 1
0, 26, 1, 1.65, 14, 350, 90, 0
0, 27, 1, 1.7, 27, 100, 0, 1
0, 28, 1, 1.7, 22, 200, 0, 1
0, 29, 1, 1.65, 11, 50, 135, 1
0, 30, 1, 1.6, 1, 150, 225, 1
0, 31, 1, 1.6, 7, 350, 225, 0
0, 32, 1, 1.7, 22, 400, 225, 1
0, 33, 1, 1.7, 23, 250, 135, 1
0, 34, 0, 1.6, 64, NaN, NaN, 0
0, 35, 0, 1.65, 158, NaN, NaN, 1
0, 36, 0, 1.7, 229, NaN, NaN, 0
0, 37, 1, 1.65, 11, 100, 90, 1
0, 38, 1, 1.65, 15, 300, 270, 1
0, 39, 1, 1.65, 13, 50, 270, 1
0, 40, 1, 1.65, 17, 150, 270, 1
0, 41, 1, 1.7, 23, 100, 270, 1
0, 42, 1, 1.7, 21, 250, 315, 1
0, 43, 1, 1.7, 26, 150, 90, 1
0, 44, 1, 1.6, 3, 200, 90, 1
0, 45, 1, 1.6, 5, 100, 225, 0
0, 46, 1, 1.7, 22, 300, 315, 1
0, 47, 1, 1.6, 5, 400, 90, 0
0, 48, 1, 1.7, 24, 50, 180, 1
0, 49, 1, 1.6, 1, 300, 0, 0
0, 50, 1, 1.65, 13, 350, 45, 0
0, 51, 1, 1.7, 25, 200, 45, 1
0, 52, 1, 1.6, 7, 200, 315, 0
0, 53, 1, 1.65, 15, 50, 135, 1
0, 54, 1, 1.7, 27, 200, 90, 1
0, 55, 0, 1.7, 278, NaN, NaN, 1
0, 56, 1, 1.7, 26, 400, 0, 0
0, 57, 1, 1.6, 3, 200, 225, 0
0, 58, 1, 1.6, 2, 300, 225, 0
0, 59, 1, 1.7, 21, 50, 315, 1
0, 60, 1, 1.6, 1, 300, 45, 1
0, 61, 1, 1.6, 1, 200, 315, 0
0, 62, 0, 1.65, 144, NaN, NaN, 0
0, 63, 0, 1.6, 44, NaN, NaN, 1
0, 64, 1, 1.7, 27, 400, 90, 1
0, 65, 1, 1.6, 9, 50, 270, 1
0, 66, 1, 1.6, 8, 100, 270, 0
0, 67, 1, 1.65, 16, 50, 315, 1
0, 68, 1, 1.6, 4, 50, 90, 1
0, 69, 1, 1.7, 27, 100, 180, 1
0, 70, 0, 1.7, 275, NaN, NaN, 1
0, 71, 1, 1.65, 14, 100, 225, 1
0, 72, 1, 1.6, 8, 250, 0, 1
0, 73, 1, 1.65, 15, 400, 0, 1
0, 74, 1, 1.7, 19, 250, 180, 1
0, 75, 1, 1.6, 8, 400, 135, 1
0, 76, 0, 1.7, 257, NaN, NaN, 0
0, 77, 0, 1.65, 161, NaN, NaN, 1
0, 78, 1, 1.6, 8, 100, 315, 0
0, 79, 1, 1.65, 18, 150, 225, 1
0, 80, 0, 1.65, 183, NaN, NaN, 1
0, 81, 1, 1.7, 19, 200, 135, 1
0, 82, 1, 1.7, 22, 150, 45, 1
0, 83, 1, 1.7, 19, 250, 270, 1
0, 84, 0, 1.65, 191, NaN, NaN, 0
0, 85, 1, 1.6, 2, 250, 225, 0
0, 86, 1, 1.6, 7, 150, 45, 0
0, 87, 0, 1.7, 242, NaN, NaN, 0
0, 88, 1, 1.6, 2, 200, 315, 1
0, 89, 1, 1.65, 15, 350, 315, 1
0, 90, 1, 1.6, 8, 300, 135, 0
0, 91, 1, 1.7, 22, 150, 180, 1
0, 92, 1, 1.6, 5, 300, 135, 1
0, 93, 1, 1.7, 20, 300, 270, 1
0, 94, 1, 1.6, 3, 300, 270, 1
0, 95, 0, 1.65, 147, NaN, NaN, 0
0, 96, 1, 1.7, 21, 150, 225, 1
0, 97, 1, 1.6, 2, 400, 90, 0
0, 98, 1, 1.65, 10, 250, 315, 1
0, 99, 1, 1.6, 3, 100, 45, 1
0, 100, 1, 1.7, 22, 50, 0, 1
0, 101, 1, 1.6, 3, 350, 315, 1
0, 102, 1, 1.6, 5, 250, 90, 0
0, 103, 1, 1.6, 2, 200, 225, 1
0, 104, 1, 1.7, 25, 100, 225, 1
0, 105, 0, 1.7, 237, NaN, NaN, 0
0, 106, 1, 1.7, 22, 150, 135, 1
0, 107, 0, 1.65, 139, NaN, NaN, 0
0, 108, 1, 1.7, 21, 300, 225, 1
0, 109, 1, 1.6, 2, 250, 270, 0
0, 110, 1, 1.65, 15, 50, 180, 1
0, 111, 1, 1.6, 1, 50, 90, 1
0, 112, 1, 1.65, 10, 100, 225, 1
0, 113, 0, 1.7, 267, NaN, NaN, 0
0, 114, 1, 1.7, 23, 200, 45, 1
0, 115, 1, 1.65, 16, 150, 0, 1
0, 116, 0, 1.65, 124, NaN, NaN, 0
0, 117, 1, 1.7, 25, 250, 135, 1
0, 118, 1, 1.7, 26, 200, 270, 1
0, 119, 1, 1.7, 23, 350, 315, 0
0, 120, 0, 1.6, 80, NaN, NaN, 0
0, 121, 1, 1.6, 2, 150, 90, 0
0, 122, 1, 1.65, 12, 150, 225, 1
0, 123, 0, 1.6, 95, NaN, NaN, 1
0, 124, 1, 1.65, 10, 300, 315, 0
0, 125, 1, 1.7, 24, 200, 180, 1
0, 126, 0, 1.7, 206, NaN, NaN, 0
0, 127, 1, 1.6, 6, 250, 135, 1
0, 128, 1, 1.65, 17, 50, 45, 1
0, 129, 0, 1.6, 110, NaN, NaN, 0
0, 130, 1, 1.65, 15, 200, 90, 0
0, 131, 1, 1.65, 18, 400, 270, 1
0, 132, 1, 1.6, 4, 100, 45, 1
0, 133, 1, 1.7, 22, 50, 45, 1
0, 134, 1, 1.6, 5, 400, 0, 0
0, 135, 1, 1.65, 10, 250, 45, -1
0, 136, 1, 1.6, 2, 50, 45, 1
0, 137, 1, 1.7, 19, 100, 270, 1
0, 138, 1, 1.6, 5, 50, 270, 1
0, 139, 0, 1.7, 231, NaN, NaN, 1
0, 140, 1, 1.65, 17, 50, 225, -1
0, 141, 1, 1.65, 15, 250, 45, 1
0, 142, 1, 1.65, 15, 150, 270, 1
0, 143, 1, 1.7, 26, 250, 90, -1
0, 144, 1, 1.65, 13, 150, 225, 1
0, 145, 1, 1.6, 1, 300, 225, 1
0, 146, 0, 1.7, 235, NaN, NaN, 1
0, 147, 1, 1.65, 10, 50, 270, 1
0, 148, 1, 1.6, 6, 250, 315, 1
0, 149, 1, 1.65, 12, 200, 180, 0
0, 150, 1, 1.7, 20, 350, 225, 1
0, 151, 1, 1.7, 20, 150, 270, 1
