participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
3, 1, 1, 1.65, 122, 443, 650, 0.584
3, 2, 1, 1.6, 42, 543, 656, 1.109
3, 3, 1, 1.6, 4, 631, 811, 18.045
3, 4, 1, 1.7, 212, 318, 798, 1.369
3, 5, 1, 1.7, 223, 126, 781, 0.895
3, 6, 1, 1.6, 2, 913, 781, 3.746
3, 7, 0, 1.7, 236, NaN, NaN, -1.000
3, 8, 1, 1.7, 182, 731, 234, 1.793
3, 9, 0, 1.7, 233, NaN, NaN, -1.000
3, 10, 0, 1.65, 159, NaN, NaN, -1.000
3, 11, 1, 1.7, 226, 905, 279, 2.571
3, 12, 0, 1.6, 73, NaN, NaN, -1.000
3, 13, 0, 1.65, 153, NaN, NaN, -1.000
3, 14, 0, 1.7, 238, NaN, NaN, -1.000
3, 15, 1, 1.65, 148, 254, 362, 6.655
3, 16, 1, 1.65, 110, 381, 436, 0.633
3, 17, 1, 1.7, 179, 873, 778, 2.005
3, 18, 1, 1.6, 52, 860, 644, 3.683
3, 19, 1, 1.65, 137, 419, 486, 0.701
3, 20, 1, 1.7, 227, 430, 219, 0.611
3, 21, 1, 1.6, 18, 312, 195, 4.155
3, 22, 1, 1.7, 180, 228, 721, 1.084
3, 23, 1, 1.6, 36, 916, 204, 2.186
3, 24, 1, 1.65, 138, 931, 611, 2.799
3, 25, 1, 1.7, 217, 77, 198, 2.572
3, 26, 1, 1.65, 86, 165, 894, 1.421
3, 27, 0, 1.65, 160, NaN, NaN, -1.000
3, 28, 1, 1.6, 34, 278, 259, 4.802
3, 29, 1, 1.6, 26, 838, 677, 2.537
3, 30, 1, 1.6, 38, 292, 481, 4.931
3, 31, 1, 1.7, 200, 511, 298, 0.845
3, 32, 0, 1.6, 76, NaN, NaN, -1.000
3, 33, 1, 1.7, 178, 376, 310, 0.728
3, 34, 1, 1.7, 198, 240, 956, 0.630
3, 35, 1, 1.6, 48, 745, 422, 18.690
3, 36, 0, 1.7, 240, NaN, NaN, -1.000
3, 37, 1, 1.65, 145, 859, 463, 2.524
3, 38, 1, 1.6, 41, 594, 779, 1.566
3, 39, 1, 1.7, 196, 296, 911, 0.657
3, 40, 1, 1.6, 20, 311, 555, 2.547
3, 41, 1, 1.6, 65, 280, 261, 35.653
3, 42, 0, 1.65, 157, NaN, NaN, -1.000
3, 43, 0, 1.6, 80, NaN, NaN, -1.000
3, 44, 1, 1.7, 215, 233, 529, 0.692
3, 45, 1, 1.65, 118, 581, 843, 0.692
3, 46, 1, 1.65, 128, 879, 344, 2.084
3, 47, 1, 1.6, 22, 388, 881, 0.977
3, 48, 1, 1.65, 115, 721, 497, 0.971
3, 49, 1, 1.7, 161, 626, 73, 0.907
3, 50, 1, 1.7, 169, 314, 115, 1.170
3, 51, 1, 1.65, 96, 410, 204, 0.859
3, 52, 1, 1.65, 117, 375, 144, 0.944
3, 53, 1, 1.65, 125, 895, 526, 1.723
3, 54, 1, 1.6, 70, 865, 179, 2.425
3, 55, 1, 1.7, 207, 617, 620, 0.682
3, 56, 1, 1.6, 10, 204, 619, 0.720
