participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
9, 1, 0, 1.6, 80, NaN, NaN, -1.000
9, 2, 1, 1.6, 65, 280, 261, 35.562
9, 3, 1, 1.6, 16, 852, 515, 1.652
9, 4, 0, 1.6, 71, NaN, NaN, 0.932
9, 5, 1, 1.7, 186, 135, 964, 1.087
9, 6, 1, 1.65, 123, 823, 86, 1.969
9, 7, 1, 1.7, 179, 873, 778, 1.461
9, 8, 1, 1.7, 200, 511, 298, 0.791
9, 9, 1, 1.7, 169, 314, 115, 0.727
9, 10, 1, 1.6, 39, 528, 342, 0.655
9, 11, 1, 1.6, 58, 735, 710, 2.013
9, 12, 1, 1.6, 18, 312, 195, 0.647
9, 13, 1, 1.7, 178, 376, 310, 0.587
9, 14, 1, 1.6, 70, 865, 179, 0.610
9, 15, 1, 1.7, 220, 848, 940, 1.216
9, 16, 1, 1.6, 60, 453, 362, 4.942
9, 17, 1, 1.6, 55, 380, 589, 0.670
9, 18, 1, 1.6, 38, 292, 481, 3.952
9, 19, 1, 1.65, 93, 433, 877, 1.326
9, 20, 1, 1.65, 108, 407, 424, 0.668
9, 21, 1, 1.6, 69, 657, 196, 28.058
9, 22, 1, 1.7, 170, 742, 289, 0.772
9, 23, 1, 1.65, 95, 710, 666, 1.471
9, 24, 1, 1.7, 209, 652, 175, 0.572
9, 25, 1, 1.65, 143, 436, 385, 6.811
9, 26, 0, 1.65, 151, NaN, NaN, -1.000
9, 27, 1, 1.6, 35, 897, 756, 6.041
9, 28, 1, 1.6, 13, 867, 538, 24.403
9, 29, 1, 1.7, 216, 470, 721, 0.771
9, 30, 1, 1.7, 161, 626, 73, 0.787
9, 31, 1, 1.7, 223, 126, 781, 0.774
9, 32, 1, 1.65, 106, 672, 402, 11.115
9, 33, 1, 1.7, 180, 228, 721, 1.120
9, 34, 1, 1.7, 219, 790, 322, 0.806
9, 35, 0, 1.7, 234, NaN, NaN, -1.000
9, 36, 1, 1.7, 167, 293, 404, 0.619
9, 37, 1, 1.6, 64, 734, 915, 23.227
9, 38, 1, 1.6, 31, 380, 720, 0.962
9, 39, 0, 1.65, 158, NaN, NaN, -1.000
9, 40, 1, 1.6, 23, 875, 608, 5.012
9, 41, 1, 1.65, 104, 241, 562, 4.111
9, 42, 0, 1.7, 233, NaN, NaN, -1.000
9, 43, 1, 1.7, 191, 384, 889, 0.569
9, 44, 1, 1.65, 101, 636, 749, 0.678
9, 45, 1, 1.7, 208, 676, 188, 0.655
9, 46, 1, 1.65, 100, 865, 377, 22.160
9, 47, 0, 1.7, 232, NaN, NaN, -1.000
9, 48, 1, 1.6, 21, 155, 715, 12.780
9, 49, 1, 1.65, 122, 443, 650, 0.606
9, 50, 1, 1.65, 84, 470, 891, 3.880
9, 51, 1, 1.6, 9, 143, 208, 2.881
9, 52, 0, 1.65, 153, NaN, NaN, -1.000
9, 53, 1, 1.65, 145, 859, 463, 1.466
9, 54, 1, 1.6, 15, 698, 389, 10.992
9, 55, 1, 1.7, 165, 350, 412, 0.608
9, 56, 1, 1.7, 206, 676, 220, 0.517
9, 57, 1, 1.7, 187, 719, 869, 0.899
9, 58, 1, 1.7, 213, 315, 949, 0.620
9, 59, 1, 1.65, 90, 753, 704, 3.296
9, 60, 1, 1.7, 168, 516, 740, 0.657
9, 61, 1, 1.7, 173, 462, 824, 1.624
9, 62, 1, 1.6, 41, 594, 779, 0.673
9, 63, 1, 1.6, 63, 124, 462, 1.232
9, 64, 1, 1.65, 141, 832, 625, 1.508
9, 65, 1, 1.6, 7, 958, 939, 11.385
9, 66, 0, 1.7, 235, NaN, NaN, -1.000
9, 67, 1, 1.7, 215, 233, 529, 0.528
9, 68, 1, 1.6, 46, 426, 313, 0.612
9, 69, 1, 1.7, 174, 849, 171, 1.027
9, 70, 1, 1.6, 62, 716, 745, 3.660
9, 71, 1, 1.6, 27, 351, 297, 4.268
9, 72, 0, 1.6, 74, NaN, NaN, -1.000
9, 73, 1, 1.7, 210, 553, 639, 0.562
9, 74, 1, 1.65, 107, 643, 716, 0.512
9, 75, 1, 1.6, 68, 238, 246, 0.912
9, 76, 1, 1.7, 217, 77, 198, 1.448
9, 77, 0, 1.65, 155, NaN, NaN, -1.000
9, 78, 0, 1.7, 236, NaN, NaN, -1.000
9, 79, 0, 1.7, 238, NaN, NaN, -1.000
9, 80, 1, 1.7, 196, 296, 911, 0.701
9, 81, 1, 1.65, 91, 355, 171, 5.872
9, 82, 1, 1.7, 166, 316, 422, 0.445
9, 83, 1, 1.6, 25, 842, 661, 9.031
9, 84, 1, 1.7, 227, 430, 219, 0.606
9, 85, 1, 1.65, 138, 931, 611, 0.829
9, 86, 1, 1.65, 124, 617, 260, 0.786
9, 87, 1, 1.6, 36, 916, 204, 1.328
9, 88, 1, 1.65, 97, 641, 751, 2.312
9, 89, 1, 1.7, 181, 535, 956, 0.647
9, 90, 1, 1.65, 137, 419, 486, 0.489
9, 91, 1, 1.6, 59, 87, 466, 3.045
9, 92, 1, 1.7, 172, 485, 925, 0.756
9, 93, 1, 1.7, 177, 90, 455, 0.549
9, 94, 1, 1.7, 205, 270, 772, 0.919
9, 95, 1, 1.7, 198, 240, 956, 0.608
9, 96, 1, 1.6, 29, 745, 317, 1.174
9, 97, 0, 1.65, 160, NaN, NaN, -1.000
9, 98, 1, 1.7, 226, 905, 279, 0.981
9, 99, 1, 1.6, 34, 278, 259, 14.439
9, 100, 1, 1.7, 195, 789, 385, 0.797
9, 101, 1, 1.65, 82, 322, 374, 1.184
9, 102, 1, 1.7, 162, 322, 623, 0.587
9, 103, 1, 1.7, 221, 116, 832, 0.653
9, 104, 1, 1.6, 44, 803, 698, 1.430
9, 105, 0, 1.6, 77, NaN, NaN, -1.000
9, 106, 0, 1.7, 237, NaN, NaN, 3.901
9, 107, 0, 1.7, 239, NaN, NaN, -1.000
9, 108, 1, 1.6, 51, 700, 218, 1.140
9, 109, 0, 1.6, 75, NaN, NaN, -1.000
9, 110, 1, 1.65, 148, 254, 362, 1.964
9, 111, 1, 1.6, 37, 306, 678, 2.881
9, 112, 1, 1.65, 112, 734, 524, 2.627
9, 113, 0, 1.65, 152, NaN, NaN, -1.000
9, 114, 1, 1.65, 142, 719, 95, 1.066
9, 115, 1, 1.6, 56, 700, 96, 1.282
9, 116, 1, 1.7, 171, 269, 726, 0.795
9, 117, 1, 1.65, 125, 895, 526, 0.623
9, 118, 1, 1.65, 121, 769, 758, 2.280
9, 119, 1, 1.65, 103, 583, 647, 6.092
9, 120, 1, 1.6, 17, 727, 440, 0.881
9, 121, 1, 1.7, 176, 736, 583, 0.663
9, 122, 1, 1.6, 48, 745, 422, 1.321
9, 123, 0, 1.6, 76, NaN, NaN, -1.000
9, 124, 1, 1.7, 194, 535, 120, 0.643
9, 125, 1, 1.6, 52, 860, 644, 2.376
9, 126, 1, 1.65, 115, 721, 497, 0.776
9, 127, 1, 1.65, 113, 796, 502, 0.702
9, 128, 1, 1.65, 94, 503, 836, 2.426
9, 129, 1, 1.6, 43, 215, 389, 1.049
9, 130, 1, 1.6, 5, 944, 756, 8.705
9, 131, 1, 1.65, 147, 455, 636, 0.610
9, 132, 1, 1.6, 67, 825, 931, 2.224
9, 133, 1, 1.6, 33, 536, 902, 0.874
