participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
6, 1, 0, 1.65, 134, NaN, NaN, 0
6, 2, 1, 1.6, 3, 300, 315, 0
6, 3, 1, 1.65, 18, 400, 90, 1
6, 4, 1, 1.6, 6, 200, 135, 1
6, 5, 1, 1.7, 25, 250, 315, 0
6, 6, 1, 1.6, 4, 350, 225, 0
6, 7, 1, 1.6, 3, 350, 180, 0
6, 8, 1, 1.7, 26, 200, 45, 0
6, 9, 1, 1.6, 8, 250, 180, 0
6, 10, 1, 1.6, 8, 200, 0, 0
6, 11, 0, 1.65, 160, NaN, NaN, 0
6, 12, 0, 1.6, 60, NaN, NaN, 0
6, 13, 0, 1.6, 54, NaN, NaN, 0
6, 14, 1, 1.6, 8, 400, 90, 0
6, 15, 1, 1.6, 6, 50, 0, 0
6, 16, 1, 1.65, 12, 150, 90, 1
6, 17, 1, 1.7, 21, 100, 315, 1
6, 18, 0, 1.7, 262, NaN, NaN, 0
6, 19, 1, 1.6, 9, 250, 270, 1
6, 20, 1, 1.6, 3, 400, 315, 0
6, 21, 1, 1.65, 16, 400, 225, 1
6, 22, 1, 1.6, 9, 150, 225, 0
6, 23, 1, 1.7, 27, 150, 45, 1
6, 24, 1, 1.6, 9, 200, 90, 0
6, 25, 1, 1.6, 7, 200, 135, 0
6, 26, 0, 1.7, 285, NaN, NaN, 0
6, 27, 1, 1.7, 19, 50, 135, 1
6, 28, 1, 1.65, 14, 50, 135, 0
6, 29, 1, 1.65, 15, 200, 315, 1
6, 30, 0, 1.7, 238, NaN, NaN, 0
6, 31, 1, 1.65, 14, 400, 225, 1
6, 32, 1, 1.65, 18, 150, 135, 1
6, 33, 1, 1.65, 14, 50, 180, 1
6, 34, 1, 1.6, 8, 100, 45, 0
6, 35, 1, 1.6, 3, 200, 315, 0
6, 36, 1, 1.7, 19, 100, 135, 1
6, 37, 1, 1.65, 10, 150, 225, 0
6, 38, 1, 1.65, 16, 400, 135, 1
6, 39, 1, 1.65, 12, 100, 90, 1
6, 40, 0, 1.7, 270, NaN, NaN, 0
6, 41, 1, 1.6, 1, 50, 270, 1
6, 42, 1, 1.6, 4, 200, 225, 0
6, 43, 1, 1.7, 20, 400, 315, 0
6, 44, 1, 1.7, 20, 200, 135, 1
6, 45, 1, 1.7, 26, 350, 225, 1
6, 46, 1, 1.6, 1, 350, 315, 0
6, 47, 1, 1.65, 10, 200, 315, 1
6, 48, 1, 1.7, 22, 300, 45, 1
6, 49, 1, 1.65, 13, 400, 45, 0
6, 50, 1, 1.6, 8, 250, 0, 0
6, 51, 0, 1.6, 94, NaN, NaN, 0
6, 52, 1, 1.7, 23, 300, 90, 1
6, 53, 1, 1.65, 18, 400, 225, 0
6, 54, 0, 1.7, 231, NaN, NaN, 0
6, 55, 1, 1.7, 24, 250, 45, 0
6, 56, 1, 1.6, 1, 100, 315, 0
6, 57, 1, 1.65, 16, 350, 180, 1
6, 58, 1, 1.65, 10, 50, 225, 1
6, 59, 1, 1.65, 14, 200, 90, 1
6, 60, 1, 1.7, 24, 350, 90, 1
6, 61, 1, 1.7, 24, 200, 225, 1
6, 62, 1, 1.6, 5, 350, 180, 0
6, 63, 1, 1.7, 26, 400, 45, 0
6, 64, 1, 1.7, 21, 50, 225, 1
6, 65, 1, 1.6, 1, 300, 225, 0
6, 66, 1, 1.65, 12, 300, 225, 0
6, 67, 1, 1.6, 4, 300, 270, 0
6, 68, 1, 1.7, 25, 300, 45, 1
6, 69, 1, 1.7, 24, 350, 180, 0
6, 70, 1, 1.7, 21, 200, 315, 1
6, 71, 1, 1.7, 19, 150, 45, 1
6, 72, 1, 1.65, 16, 150, 270, 1
6, 73, 1, 1.6, 8, 350, 180, 0
6, 74, 1, 1.6, 9, 250, 225, 1
6, 75, 1, 1.7, 22, 100, 90, 1
6, 76, 1, 1.65, 10, 100, 135, 1
6, 77, 1, 1.65, 14, 350, 315, 0
6, 78, 1, 1.6, 7, 250, 0, 1
6, 79, 1, 1.6, 3, 400, 225, 0
6, 80, 1, 1.65, 18, 350, 45, 0
6, 81, 1, 1.65, 18, 300, 270, 1
6, 82, 1, 1.7, 25, 150, 45, 1
6, 83, 1, 1.6, 7, 400, 135, 0
6, 84, 1, 1.7, 21, 200, 135, 0
6, 85, 1, 1.6, 1, 250, 90, 0
6, 86, 1, 1.65, 11, 300, 135, 1
6, 87, 1, 1.6, 7, 100, 315, 0
6, 88, 1, 1.7, 25, 50, 225, 1
6, 89, 1, 1.6, 4, 150, 45, 0
6, 90, 1, 1.7, 21, 250, 90, -1
6, 91, 1, 1.65, 11, 50, 135, 1
6, 92, 1, 1.7, 27, 150, 315, 1
6, 93, 1, 1.65, 12, 200, 90, 0
6, 94, 1, 1.6, 1, 350, 90, 1
6, 95, 0, 1.6, 33, NaN, NaN, 0
6, 96, 1, 1.65, 13, 250, 45, 0
6, 97, 1, 1.7, 26, 50, 315, 1
6, 98, 1, 1.65, 12, 350, 180, 0
6, 99, 1, 1.6, 8, 150, 90, 0
6, 100, 1, 1.6, 5, 250, 45, 0
6, 101, 1, 1.65, 18, 200, 135, 0
6, 102, 1, 1.7, 24, 200, 0, 1
6, 103, 1, 1.6, 1, 200, 225, 0
6, 104, 1, 1.6, 4, 50, 180, 0
6, 105, 1, 1.7, 23, 400, 270, 0
6, 106, 1, 1.6, 7, 150, 45, 0
6, 107, 1, 1.6, 4, 250, 90, 0
6, 108, 1, 1.6, 5, 150, 45, 1
6, 109, 1, 1.6, 8, 100, 180, 0
6, 110, 1, 1.6, 1, 300, 315, 0
6, 111, 1, 1.6, 4, 150, 315, 0
6, 112, 1, 1.6, 1, 200, 135, 0
6, 113, 1, 1.7, 27, 350, 0, 1
6, 114, 0, 1.6, 112, NaN, NaN, 0
6, 115, 1, 1.6, 6, 150, 270, 0
6, 116, 1, 1.65, 12, 100, 180, 1
6, 117, 0, 1.7, 226, NaN, NaN, 1
6, 118, 1, 1.65, 15, 50, 135, 1
6, 119, 1, 1.7, 23, 100, 270, 1
6, 120, 1, 1.65, 11, 300, 270, 1
6, 121, 1, 1.6, 8, 100, 270, 0
6, 122, 1, 1.7, 19, 250, 90, 1
6, 123, 0, 1.7, 204, NaN, NaN, 0
6, 124, 1, 1.65, 16, 300, 225, 1
6, 125, 1, 1.65, 12, 400, 315, 0
6, 126, 0, 1.7, 229, NaN, NaN, 0
6, 127, 1, 1.7, 25, 100, 45, 1
6, 128, 1, 1.6, 9, 150, 0, 0
6, 129, 1, 1.65, 18, 200, 0, 1
6, 130, 1, 1.7, 21, 150, 135, 1
6, 131, 1, 1.6, 8, 50, 270, 1
6, 132, 1, 1.65, 17, 100, 270, 1
6, 133, 0, 1.65, 131, NaN, NaN, 0
6, 134, 0, 1.65, 173, NaN, NaN, 0
6, 135, 1, 1.7, 23, 150, 45, 0
6, 136, 1, 1.65, 16, 50, 225, 1
6, 137, 1, 1.65, 11, 200, 180, 1
6, 138, 1, 1.65, 15, 100, 270, 0
6, 139, 1, 1.65, 12, 100, 270, 1
6, 140, 1, 1.6, 9, 300, 270, 1
6, 141, 1, 1.6, 8, 350, 225, 0
6, 142, 0, 1.6, 28, NaN, NaN, 0
6, 143, 1, 1.7, 23, 150, 180, 1
6, 144, 1, 1.7, 24, 50, 0, 1
6, 145, 0, 1.7, 218, NaN, NaN, 0
6, 146, 1, 1.6, 5, 200, 180, 0
6, 147, 1, 1.6, 5, 200, 0, 0
6, 148, 0, 1.65, 187, NaN, NaN, 0
6, 149, 1, 1.65, 15, 100, 225, 1
6, 150, 0, 1.7, 283, NaN, NaN, 0
6, 151, 0, 1.65, 141, NaN, NaN, 0
6, 152, 0, 1.7, 216, NaN, NaN, 0
6, 153, 1, 1.65, 18, 400, 270, 0
6, 154, 1, 1.6, 6, 200, 45, 0
6, 155, 1, 1.65, 14, 400, 45, 0
6, 156, 1, 1.6, 9, 300, 180, 0
6, 157, 1, 1.65, 12, 50, 90, 1
6, 158, 1, 1.6, 3, 100, 90, 0
6, 159, 1, 1.65, 11, 150, 45, 1
6, 160, 0, 1.6, 80, NaN, NaN, 0
6, 161, 1, 1.65, 11, 250, 180, 0
6, 162, 1, 1.65, 14, 150, 135, 1
6, 163, 1, 1.7, 21, 150, 270, 0
6, 164, 1, 1.65, 15, 350, 180, 0
6, 165, 1, 1.65, 10, 350, 45, 1
6, 166, 1, 1.7, 19, 350, 90, 1
6, 167, 1, 1.7, 27, 400, 180, 0
6, 168, 0, 1.65, 133, NaN, NaN, 0
6, 169, 1, 1.7, 23, 150, 0, 1
6, 170, 1, 1.7, 25, 250, 180, 0
6, 171, 1, 1.6, 8, 350, 315, 1
6, 172, 0, 1.7, 215, NaN, NaN, 1
6, 173, 1, 1.6, 2, 100, 45, 1
6, 174, 1, 1.65, 12, 350, 225, 0
6, 175, 0, 1.6, 113, NaN, NaN, 1
6, 176, 1, 1.6, 7, 150, 135, 1
6, 177, 0, 1.6, 48, NaN, NaN, 0
6, 178, 1, 1.7, 20, 150, 225, 1
6, 179, 1, 1.6, 9, 150, 270, 0
6, 180, 1, 1.6, 8, 250, 90, 0
6, 181, 1, 1.6, 6, 300, 135, 1
6, 182, 1, 1.65, 17, 350, 90, 1
6, 183, 1, 1.65, 14, 300, 270, 1
6, 184, 1, 1.6, 9, 300, 225, 0
6, 185, 1, 1.65, 12, 200, 270, 1
6, 186, 1, 1.65, 15, 250, 90, 1
6, 187, 1, 1.65, 12, 350, 270, 1
6, 188, 0, 1.65, 190, NaN, NaN, 0
6, 189, 1, 1.6, 3, 250, 135, 0
6, 190, 1, 1.65, 13, 200, 270, 1
6, 191, 1, 1.6, 2, 50, 180, 1
6, 192, 1, 1.7, 26, 50, 180, 1
6, 193, 0, 1.7, 240, NaN, NaN, 0
6, 194, 1, 1.6, 9, 150, 45, 0
6, 195, 1, 1.65, 10, 350, 270, 0
6, 196, 1, 1.6, 9, 300, 45, 0
6, 197, 1, 1.6, 8, 300, 0, 0
6, 198, 1, 1.6, 1, 50, 0, 0
6, 199, 1, 1.6, 5, 250, 135, 1
6, 200, 1, 1.7, 26, 250, 0, 1
6, 201, 1, 1.6, 1, 300, 180, 0
6, 202, 1, 1.7, 20, 300, 135, 1
6, 203, 1, 1.65, 11, 150, 135, 1
6, 204, 1, 1.6, 4, 300, 225, 1
6, 205, 0, 1.65, 129, NaN, NaN, 0
6, 206, 1, 1.6, 6, 50, 315, 0
6, 207, 1, 1.7, 25, 250, 225, 0
6, 208, 1, 1.6, 5, 100, 180, 0
6, 209, 1, 1.65, 11, 200, 225, 1
6, 210, 1, 1.6, 7, 100, 0, 0
6, 211, 1, 1.65, 15, 50, 180, 1
6, 212, 1, 1.6, 3, 250, 180, 0
6, 213, 0, 1.6, 59, NaN, NaN, 0
6, 214, 1, 1.6, 6, 400, 315, 1
6, 215, 1, 1.7, 27, 50, 90, 1
6, 216, 1, 1.7, 26, 300, 225, 0
6, 217, 1, 1.7, 19, 250, 135, 1
6, 218, 1, 1.7, 22, 350, 315, 1
6, 219, 1, 1.6, 4, 250, 180, 0
6, 220, 1, 1.65, 10, 250, 270, 1
6, 221, 1, 1.7, 24, 200, 315, 1
6, 222, 1, 1.6, 5, 400, 135, 0
6, 223, 0, 1.6, 30, NaN, NaN, 0
6, 224, 1, 1.6, 8, 300, 45, 0
6, 225, 0, 1.7, 234, NaN, NaN, 0
6, 226, 1, 1.6, 5, 150, 0, 0
6, 227, 1, 1.65, 13, 200, 90, 1
6, 228, 1, 1.6, 6, 400, 0, 0
6, 229, 1, 1.65, 17, 300, 0, 0
6, 230, 0, 1.65, 194, NaN, NaN, 1
6, 231, 0, 1.7, 236, NaN, NaN, 0
6, 232, 1, 1.7, 22, 150, 90, 1
6, 233, 1, 1.6, 4, 100, 225, 0
6, 234, 1, 1.65, 12, 150, 315, 0
6, 235, 1, 1.7, 23, 300, 270, 1
6, 236, 0, 1.7, 276, NaN, NaN, 0
6, 237, 1, 1.7, 22, 300, 225, 1
6, 238, 1, 1.65, 16, 50, 180, 1
6, 239, 1, 1.6, 2, 350, 225, 0
6, 240, 1, 1.6, 2, 100, 225, 0
6, 241, 1, 1.6, 1, 150, 0, 1
6, 242, 1, 1.6, 8, 50, 90, 1
6, 243, 1, 1.7, 27, 150, 180, 1
6, 244, 1, 1.7, 19, 300, 135, 1
6, 245, 1, 1.6, 7, 50, 180, 1
6, 246, 1, 1.7, 25, 150, 225, 1
6, 247, 1, 1.65, 12, 350, 0, 0
6, 248, 1, 1.7, 20, 150, 90, 1
6, 249, 1, 1.65, 18, 350, 0, 0
6, 250, 1, 1.7, 24, 250, 225, 1
6, 251, 0, 1.7, 200, NaN, NaN, 0
6, 252, 1, 1.65, 10, 50, 45, 1
6, 253, 1, 1.65, 13, 150, 180, 1
6, 254, 1, 1.7, 22, 200, 135, 0
6, 255, 1, 1.6, 1, 250, 45, 0
6, 256, 1, 1.65, 13, 150, 225, 1
6, 257, 1, 1.7, 19, 400, 225, 1
6, 258, 0, 1.7, 250, NaN, NaN, 0
6, 259, 0, 1.6, 62, NaN, NaN, 0
6, 260, 1, 1.65, 17, 350, 315, 0
6, 261, 1, 1.65, 14, 400, 180, 0
6, 262, 1, 1.7, 27, 250, 180, 1
6, 263, 1, 1.65, 13, 350, 90, 0
6, 264, 1, 1.6, 9, 400, 225, 0
6, 265, 1, 1.6, 5, 300, 225, 0
6, 266, 1, 1.7, 25, 300, 135, 1
6, 267, 1, 1.7, 26, 300, 270, 0
6, 268, 1, 1.7, 25, 100, 270, 1
6, 269, 1, 1.6, 1, 100, 45, 1
6, 270, 1, 1.6, 4, 100, 135, 0
6, 271, 1, 1.65, 11, 150, 180, 1
6, 272, 1, 1.7, 22, 200, 90, 1
6, 273, 1, 1.7, 21, 300, 315, 0
6, 274, 1, 1.65, 15, 300, 45, 1
6, 275, 1, 1.7, 19, 250, 45, 1
6, 276, 1, 1.7, 21, 100, 180, 1
6, 277, 1, 1.7, 22, 250, 180, 1
6, 278, 0, 1.6, 29, NaN, NaN, 1
6, 279, 1, 1.65, 11, 200, 45, 1
6, 280, 1, 1.65, 17, 350, 225, 1
6, 281, 1, 1.6, 7, 50, 270, 0
6, 282, 1, 1.7, 26, 100, 0, 1
6, 283, 1, 1.65, 16, 200, 270, 1
6, 284, 1, 1.6, 8, 400, 135, 1
6, 285, 1, 1.7, 20, 250, 0, 1
6, 286, 1, 1.6, 2, 150, 315, 1
6, 287, 1, 1.7, 21, 350, 0, 0
6, 288, 0, 1.7, 205, NaN, NaN, 0
6, 289, 1, 1.65, 13, 300, 135, 0
6, 290, 1, 1.6, 6, 100, 270, 0
6, 291, 1, 1.6, 8, 300, 180, 0
6, 292, 0, 1.6, 88, NaN, NaN, 0
6, 293, 1, 1.7, 27, 350, 135, 1
6, 294, 1, 1.6, 7, 350, 45, 1
6, 295, 1, 1.7, 27, 400, 225, 1
6, 296, 1, 1.6, 5, 100, 90, 1
6, 297, 1, 1.7, 19, 350, 180, 1
6, 298, 1, 1.7, 21, 350, 315, 0
6, 299, 1, 1.6, 9, 150, 90, 1
6, 300, 1, 1.65, 10, 150, 0, 1
6, 301, 0, 1.6, 78, NaN, NaN, 0
6, 302, 1, 1.65, 13, 100, 135, 0
6, 303, 1, 1.7, 21, 400, 90, 1
6, 304, 1, 1.6, 5, 350, 225, 0
6, 305, 1, 1.6, 1, 150, 45, 0
6, 306, 1, 1.65, 16, 300, 180, 0
6, 307, 1, 1.7, 26, 200, 180, 1
6, 308, 1, 1.6, 8, 400, 225, 0
6, 309, 1, 1.7, 21, 350, 45, 1
6, 310, 1, 1.7, 24, 350, 315, 0
6, 311, 1, 1.65, 18, 250, 90, 1
6, 312, 1, 1.65, 10, 150, 135, 1
6, 313, 1, 1.6, 3, 400, 270, 0
6, 314, 0, 1.7, 225, NaN, NaN, 0
6, 315, 0, 1.6, 67, NaN, NaN, 0
