participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
6, 1, 1, 1.7, 179, 873, 778, 1.821
6, 2, 0, 1.65, 152, NaN, NaN, 4.280
6, 3, 1, 1.7, 223, 126, 781, 1.611
6, 4, 1, 1.7, 217, 77, 198, 1.714
6, 5, 1, 1.6, 58, 735, 710, 7.809
6, 6, 0, 1.7, 235, NaN, NaN, -1.000
6, 7, 1, 1.65, 124, 617, 260, 4.302
6, 8, 1, 1.7, 168, 516, 740, 0.655
6, 9, 1, 1.6, 66, 887, 238, 32.870
6, 10, 0, 1.6, 71, NaN, NaN, -1.000
6, 11, 1, 1.65, 139, 337, 490, 0.808
6, 12, 1, 1.7, 188, 215, 467, 1.359
6, 13, 1, 1.7, 208, 676, 188, 0.920
6, 14, 1, 1.7, 164, 252, 602, 0.691
6, 15, 1, 1.6, 51, 700, 218, 2.236
6, 16, 1, 1.7, 199, 65, 271, 1.003
6, 17, 1, 1.7, 202, 135, 98, 0.893
6, 18, 0, 1.65, 158, NaN, NaN, -1.000
6, 19, 1, 1.65, 138, 931, 611, 4.274
6, 20, 1, 1.6, 46, 426, 313, 2.039
6, 21, 1, 1.7, 182, 731, 234, 0.717
6, 22, 1, 1.7, 170, 742, 289, 0.716
6, 23, 1, 1.7, 229, 478, 936, 1.677
6, 24, 1, 1.6, 69, 657, 196, -1.000
6, 25, 1, 1.6, 44, 803, 698, 22.560
6, 26, 1, 1.65, 91, 355, 171, 3.500
6, 27, 1, 1.7, 212, 318, 798, 0.621
6, 28, 1, 1.6, 23, 875, 608, 1.353
6, 29, 1, 1.65, 131, 920, 773, 2.811
6, 30, 1, 1.7, 218, 389, 284, 0.784
6, 31, 1, 1.65, 141, 832, 625, 1.492
6, 32, 1, 1.65, 144, 171, 854, 2.913
6, 33, 0, 1.6, 73, NaN, NaN, -1.000
6, 34, 1, 1.6, 16, 852, 515, 3.050
6, 35, 1, 1.6, 30, 859, 582, 6.332
6, 36, 1, 1.6, 13, 867, 538, 1.532
6, 37, 1, 1.6, 10, 204, 619, 1.300
6, 38, 1, 1.65, 121, 769, 758, 1.064
6, 39, 1, 1.65, 115, 721, 497, 0.940
6, 40, 1, 1.65, 135, 550, 61, 8.240
6, 41, 1, 1.65, 109, 671, 858, 3.052
6, 42, 0, 1.65, 155, NaN, NaN, -1.000
6, 43, 1, 1.6, 7, 958, 939, 2.553
6, 44, 1, 1.6, 42, 543, 656, 2.493
6, 45, 1, 1.7, 198, 240, 956, 0.864
6, 46, 1, 1.7, 196, 296, 911, 0.955
6, 47, 1, 1.6, 62, 716, 745, 2.234
6, 48, 1, 1.7, 177, 90, 455, 1.274
6, 49, 1, 1.65, 140, 612, 166, 1.504
6, 50, 1, 1.7, 163, 180, 636, 0.835
6, 51, 1, 1.65, 104, 241, 562, 0.956
6, 52, 1, 1.65, 123, 823, 86, 1.995
6, 53, 1, 1.65, 148, 254, 362, 0.990
6, 54, 1, 1.65, 133, 687, 206, 2.997
6, 55, 1, 1.7, 205, 270, 772, 0.878
6, 56, 0, 1.7, 233, NaN, NaN, -1.000
6, 57, 1, 1.7, 162, 322, 623, 0.646
6, 58, 1, 1.7, 215, 233, 529, 0.835
6, 59, 1, 1.6, 1, 622, 498, 1.775
6, 60, 1, 1.6, 60, 453, 362, 8.223
6, 61, 1, 1.65, 146, 891, 788, 1.619
6, 62, 1, 1.6, 33, 536, 902, 4.119
6, 63, 1, 1.6, 31, 380, 720, 1.427
6, 64, 1, 1.6, 47, 220, 659, 0.979
6, 65, 1, 1.65, 88, 141, 839, 2.234
6, 66, 1, 1.6, 2, 913, 781, 2.815
6, 67, 1, 1.65, 96, 410, 204, 7.603
6, 68, 1, 1.65, 119, 369, 562, 0.645
