participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
2, 1, 0, 1.65, 134, NaN, NaN, 0
2, 2, 1, 1.6, 3, 300, 315, 1
2, 3, 1, 1.65, 18, 400, 90, 0
2, 4, 1, 1.6, 6, 200, 135, 0
2, 5, 1, 1.7, 25, 250, 315, 1
2, 6, 1, 1.6, 4, 350, 225, 0
2, 7, 1, 1.6, 3, 350, 180, 1
2, 8, 1, 1.7, 26, 200, 45, 0
2, 9, 1, 1.6, 8, 250, 180, 1
2, 10, 1, 1.6, 8, 200, 0, 0
2, 11, 0, 1.65, 160, NaN, NaN, 0
2, 12, 0, 1.6, 60, NaN, NaN, 0
2, 13, 0, 1.6, 54, NaN, NaN, 0
2, 14, 1, 1.6, 8, 400, 90, 0
2, 15, 1, 1.6, 6, 50, 0, 1
2, 16, 1, 1.65, 12, 150, 90, 0
2, 17, 1, 1.7, 21, 100, 315, 1
2, 18, 0, 1.7, 262, NaN, NaN, 0
2, 19, 1, 1.6, 9, 250, 270, 0
2, 20, 1, 1.6, 3, 400, 315, 0
2, 21, 1, 1.65, 16, 400, 225, 0
2, 22, 1, 1.6, 9, 150, 225, 0
2, 23, 1, 1.7, 27, 150, 45, 1
2, 24, 1, 1.6, 9, 200, 90, 0
2, 25, 1, 1.6, 7, 200, 135, 0
2, 26, 0, 1.7, 285, NaN, NaN, 0
2, 27, 1, 1.7, 19, 50, 135, -1
2, 28, 1, 1.65, 14, 50, 135, 1
2, 29, 1, 1.65, 15, 200, 315, 0
2, 30, 0, 1.7, 238, NaN, NaN, 0
2, 31, 1, 1.65, 14, 400, 225, 0
2, 32, 1, 1.65, 18, 150, 135, 0
2, 33, 1, 1.65, 14, 50, 180, 1
2, 34, 1, 1.6, 8, 100, 45, 0
2, 35, 1, 1.6, 3, 200, 315, 0
2, 36, 1, 1.7, 19, 100, 135, 1
2, 37, 1, 1.65, 10, 150, 225, 1
2, 38, 1, 1.65, 16, 400, 135, 1
2, 39, 1, 1.65, 12, 100, 90, 1
2, 40, 0, 1.7, 270, NaN, NaN, 0
2, 41, 1, 1.6, 1, 50, 270, 0
2, 42, 1, 1.6, 4, 200, 225, 0
2, 43, 1, 1.7, 20, 400, 315, 0
2, 44, 1, 1.7, 20, 200, 135, 1
2, 45, 1, 1.7, 26, 350, 225, 0
2, 46, 1, 1.6, 1, 350, 315, 0
2, 47, 1, 1.65, 10, 200, 315, 0
2, 48, 1, 1.7, 22, 300, 45, 0
2, 49, 1, 1.65, 13, 400, 45, 0
2, 50, 1, 1.6, 8, 250, 0, 0
2, 51, 0, 1.6, 94, NaN, NaN, 1
2, 52, 1, 1.7, 23, 300, 90, 1
2, 53, 1, 1.65, 18, 400, 225, 0
2, 54, 0, 1.7, 231, NaN, NaN, 0
2, 55, 1, 1.7, 24, 250, 45, 0
2, 56, 1, 1.6, 1, 100, 315, 0
2, 57, 1, 1.65, 16, 350, 180, 0
2, 58, 1, 1.65, 10, 50, 225, 1
2, 59, 1, 1.65, 14, 200, 90, 1
2, 60, 1, 1.7, 24, 350, 90, 1
2, 61, 1, 1.7, 24, 200, 225, 1
2, 62, 1, 1.6, 5, 350, 180, 0
2, 63, 1, 1.7, 26, 400, 45, 0
2, 64, 1, 1.7, 21, 50, 225, 1
2, 65, 1, 1.6, 1, 300, 225, 0
2, 66, 1, 1.65, 12, 300, 225, 0
2, 67, 1, 1.6, 4, 300, 270, 0
2, 68, 1, 1.7, 25, 300, 45, 1
2, 69, 1, 1.7, 24, 350, 180, 0
2, 70, 1, 1.7, 21, 200, 315, 1
2, 71, 1, 1.7, 19, 150, 45, 1
2, 72, 1, 1.65, 16, 150, 270, 0
2, 73, 1, 1.6, 8, 350, 180, 0
2, 74, 1, 1.6, 9, 250, 225, 0
2, 75, 1, 1.7, 22, 100, 90, 1
2, 76, 1, 1.65, 10, 100, 135, 1
2, 77, 1, 1.65, 14, 350, 315, 0
2, 78, 1, 1.6, 7, 250, 0, 1
2, 79, 1, 1.6, 3, 400, 225, 0
2, 80, 1, 1.65, 18, 350, 45, 0
2, 81, 1, 1.65, 18, 300, 270, 0
2, 82, 1, 1.7, 25, 150, 45, 1
2, 83, 1, 1.6, 7, 400, 135, 0
2, 84, 1, 1.7, 21, 200, 135, 0
2, 85, 1, 1.6, 1, 250, 90, 0
2, 86, 1, 1.65, 11, 300, 135, 0
2, 87, 1, 1.6, 7, 100, 315, 0
2, 88, 1, 1.7, 25, 50, 225, 1
2, 89, 1, 1.6, 4, 150, 45, 0
2, 90, 1, 1.7, 21, 250, 90, 1
2, 91, 1, 1.65, 11, 50, 135, 1
2, 92, 1, 1.7, 27, 150, 315, 1
2, 93, 1, 1.65, 12, 200, 90, 1
2, 94, 1, 1.6, 1, 350, 90, 1
2, 95, 0, 1.6, 33, NaN, NaN, 0
2, 96, 1, 1.65, 13, 250, 45, 1
2, 97, 1, 1.7, 26, 50, 315, 1
2, 98, 1, 1.65, 12, 350, 180, 0
2, 99, 1, 1.6, 8, 150, 90, 0
