participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
2, 151, 1, 1.7, 164, 252, 602, 0.520
2, 152, 1, 1.6, 25, 842, 661, 4.477
2, 153, 0, 1.6, 14, NaN, NaN, -1.000
2, 154, 1, 1.65, 83, 403, 606, 0.758
2, 155, 1, 1.7, 169, 314, 115, 1.380
2, 156, 0, 1.6, 59, NaN, NaN, -1.000
2, 157, 0, 1.6, 11, NaN, NaN, -1.000
2, 158, 1, 1.6, 12, 456, 955, 1.836
2, 159, 1, 1.6, 33, 536, 902, 0.938
2, 160, 1, 1.7, 49, 745, 317, 0.673
2, 161, 1, 1.6, 29, 745, 317, 0.832
2, 162, 1, 1.7, 143, 687, 206, 0.589
2, 163, 1, 1.7, 142, 811, 835, 1.190
2, 164, 1, 1.7, 161, 626, 73, 0.793
2, 165, 1, 1.65, 29, 199, 699, 2.197
2, 166, 1, 1.65, 91, 355, 171, 0.421
2, 167, 1, 1.65, 26, 852, 515, 0.916
2, 168, 1, 1.7, 152, 719, 95, 0.593
2, 169, 1, 1.7, 124, 191, 718, 0.651
2, 170, 1, 1.6, 39, 528, 342, 0.010
2, 171, 1, 1.65, 70, 453, 362, 0.865
2, 172, 1, 1.7, 159, 193, 503, 0.794
2, 173, 1, 1.6, 50, 451, 956, -1.000
2, 174, 0, 1.65, 114, NaN, NaN, 3.265
2, 175, 1, 1.65, 68, 735, 710, 0.531
2, 176, 1, 1.65, 98, 430, 772, 3.362
2, 177, 1, 1.7, 149, 337, 490, 0.578
2, 178, 1, 1.65, 65, 380, 589, 0.580
2, 179, 1, 1.65, 105, 954, 344, 1.294
2, 180, 0, 1.7, 177, NaN, NaN, -1.000
2, 181, 0, 1.65, 36, NaN, NaN, -1.000
2, 182, 1, 1.6, 18, 312, 195, 2.353
2, 183, 1, 1.65, 94, 503, 836, 2.207
2, 184, 1, 1.7, 156, 891, 788, 0.818
2, 185, 1, 1.7, 127, 375, 144, 0.877
2, 186, 1, 1.65, 96, 410, 204, 0.656
2, 187, 1, 1.7, 123, 796, 502, 0.641
2, 188, 1, 1.7, 141, 920, 773, 0.962
2, 189, 1, 1.65, 75, 280, 261, 1.408
2, 190, 0, 1.6, 15, NaN, NaN, -1.000
2, 191, 0, 1.65, 33, NaN, NaN, 1.549
2, 192, 0, 1.6, 54, NaN, NaN, 0.014
2, 193, 1, 1.65, 109, 671, 858, 1.733
2, 194, 1, 1.65, 76, 887, 238, 1.034
2, 195, 0, 1.7, 53, NaN, NaN, -1.000
2, 196, 1, 1.65, 69, 87, 466, 1.824
2, 197, 1, 1.7, 162, 322, 623, 0.769
2, 198, 0, 1.7, 175, NaN, NaN, -1.000
2, 199, 0, 1.6, 18, NaN, NaN, -1.000
