participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
4, 1, 0, 1.65, 134, NaN, NaN, 1
4, 2, 1, 1.6, 3, 300, 315, 1
4, 3, 1, 1.65, 18, 400, 90, 1
4, 4, 1, 1.6, 6, 200, 135, 1
4, 5, 1, 1.7, 25, 250, 315, 0
4, 6, 1, 1.6, 4, 350, 225, 1
4, 7, 1, 1.6, 3, 350, 180, 1
4, 8, 1, 1.7, 26, 200, 45, 1
4, 9, 1, 1.6, 8, 250, 180, 1
4, 10, 1, 1.6, 8, 200, 0, 1
4, 11, 0, 1.65, 160, NaN, NaN, 1
4, 12, 0, 1.6, 60, NaN, NaN, 1
4, 13, 0, 1.6, 54, NaN, NaN, 1
4, 14, 1, 1.6, 8, 400, 90, 0
4, 15, 1, 1.6, 6, 50, 0, 1
4, 16, 1, 1.65, 12, 150, 90, 1
4, 17, 1, 1.7, 21, 100, 315, 1
4, 18, 0, 1.7, 262, NaN, NaN, 1
4, 19, 1, 1.6, 9, 250, 270, 1
4, 20, 1, 1.6, 3, 400, 315, 0
4, 21, 1, 1.65, 16, 400, 225, 1
4, 22, 1, 1.6, 9, 150, 225, 1
4, 23, 1, 1.7, 27, 150, 45, 0
4, 24, 1, 1.6, 9, 200, 90, 1
4, 25, 1, 1.6, 7, 200, 135, 1
4, 26, 0, 1.7, 285, NaN, NaN, 1
4, 27, 1, 1.7, 19, 50, 135, 0
4, 28, 1, 1.65, 14, 50, 135, 0
4, 29, 1, 1.65, 15, 200, 315, 1
4, 30, 0, 1.7, 238, NaN, NaN, 1
4, 31, 1, 1.65, 14, 400, 225, 1
4, 32, 1, 1.65, 18, 150, 135, 0
4, 33, 1, 1.65, 14, 50, 180, 0
4, 34, 1, 1.6, 8, 100, 45, 1
4, 35, 1, 1.6, 3, 200, 315, 1
4, 36, 1, 1.7, 19, 100, 135, 0
4, 37, 1, 1.65, 10, 150, 225, 1
4, 38, 1, 1.65, 16, 400, 135, 1
4, 39, 1, 1.65, 12, 100, 90, 0
4, 40, 0, 1.7, 270, NaN, NaN, 1
4, 41, 1, 1.6, 1, 50, 270, 0
4, 42, 1, 1.6, 4, 200, 225, 1
4, 43, 1, 1.7, 20, 400, 315, 1
4, 44, 1, 1.7, 20, 200, 135, 0
4, 45, 1, 1.7, 26, 350, 225, 1
4, 46, 1, 1.6, 1, 350, 315, 1
4, 47, 1, 1.65, 10, 200, 315, 0
4, 48, 1, 1.7, 22, 300, 45, 0
4, 49, 1, 1.65, 13, 400, 45, 1
4, 50, 1, 1.6, 8, 250, 0, 0
4, 51, 0, 1.6, 94, NaN, NaN, 1
4, 52, 1, 1.7, 23, 300, 90, 1
4, 53, 1, 1.65, 18, 400, 225, 1
4, 54, 0, 1.7, 231, NaN, NaN, 1
4, 55, 1, 1.7, 24, 250, 45, 1
4, 56, 1, 1.6, 1, 100, 315, 1
4, 57, 1, 1.65, 16, 350, 180, 1
4, 58, 1, 1.65, 10, 50, 225, 0
4, 59, 1, 1.65, 14, 200, 90, 0
4, 60, 1, 1.7, 24, 350, 90, 1
