participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
1, 1, 1, 1.6, 2, 150, 180, 0
1, 2, 1, 1.65, 12, 250, 135, 0
1, 3, 1, 1.65, 20, 150, 90, 0
1, 4, 1, 1.7, 26, 400, 270, 0
1, 5, 1, 1.7, 24, 300, 0, 1
1, 6, 0, 1.7, 270, NaN, NaN, 0
1, 7, 1, 1.65, 12, 300, 180, 0
1, 8, 1, 1.6, 6, 400, 45, 0
1, 9, 1, 1.7, 24, 250, 45, 0
1, 10, 1, 1.65, 12, 100, 0, 0
1, 11, 1, 1.7, 21, 50, 90, 1
1, 12, 1, 1.65, 15, 200, 180, 0
1, 13, 0, 1.65, 147, NaN, NaN, 0
1, 14, 1, 1.7, 30, 300, 270, 1
1, 15, 1, 1.6, 2, 100, 135, 0
1, 16, 1, 1.6, 2, 200, 0, 0
1, 17, 1, 1.65, 14, 200, 90, 0
1, 18, 1, 1.7, 23, 50, 225, 1
1, 19, 1, 1.7, 28, 300, 180, 1
1, 20, 0, 1.65, 174, NaN, NaN, 0
1, 21, 1, 1.65, 15, 350, 0, 0
1, 22, 1, 1.7, 21, 150, 90, 0
1, 23, 1, 1.6, 2, 400, 270, 0
1, 24, 1, 1.7, 28, 150, 90, 1
1, 25, 1, 1.7, 22, 200, 315, 1
1, 26, 0, 1.7, 272, NaN, NaN, 0
1, 27, 1, 1.7, 23, 100, 45, 1
1, 28, 1, 1.6, 2, 400, 135, 0
1, 29, 1, 1.7, 25, 400, 135, 1
1, 30, 1, 1.7, 25, 150, 180, 1
1, 31, 1, 1.7, 27, 300, 225, 0
1, 32, 1, 1.7, 26, 200, 135, 1
1, 33, 1, 1.65, 19, 350, 315, 0
1, 34, 1, 1.6, 6, 300, 180, 0
1, 35, 0, 1.6, 55, NaN, NaN, 0
1, 36, 1, 1.6, 1, 350, 225, 0
1, 37, 1, 1.6, 8, 250, 135, 0
1, 38, 1, 1.65, 13, 350, 270, 0
1, 39, 0, 1.65, 143, NaN, NaN, 0
1, 40, 1, 1.65, 17, 350, 270, 1
1, 41, 1, 1.6, 7, 150, 180, 0
1, 42, 1, 1.65, 16, 100, 135, 1
1, 43, 1, 1.6, 4, 150, 225, 0
1, 44, 1, 1.65, 12, 200, 90, 1
1, 45, 1, 1.65, 13, 100, 135, 0
1, 46, 1, 1.7, 24, 50, 45, 1
1, 47, 1, 1.7, 29, 100, 270, 1
1, 48, 1, 1.7, 24, 350, 180, 0
1, 49, 0, 1.7, 246, NaN, NaN, 0
1, 50, 1, 1.6, 9, 50, 90, 1
1, 51, 1, 1.65, 14, 100, 45, 0
1, 52, 1, 1.6, 7, 250, 45, 0
1, 53, 1, 1.7, 22, 150, 315, 1
1, 54, 1, 1.65, 12, 400, 90, 0
1, 55, 1, 1.6, 4, 350, 225, 0
1, 56, 1, 1.7, 28, 100, 0, 1
1, 57, 1, 1.65, 13, 200, 45, 0
