participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
8, 1, 0, 1.65, 134, NaN, NaN, 0
8, 2, 1, 1.6, 3, 300, 315, 1
8, 3, 1, 1.65, 18, 400, 90, 1
8, 4, 1, 1.6, 6, 200, 135, 0
8, 5, 1, 1.7, 25, 250, 315, 0
8, 6, 1, 1.6, 4, 350, 225, 0
8, 7, 1, 1.6, 3, 350, 180, 1
8, 8, 1, 1.7, 26, 200, 45, 0
8, 9, 1, 1.6, 8, 250, 180, 0
8, 10, 1, 1.6, 8, 200, 0, 1
8, 11, 0, 1.65, 160, NaN, NaN, 0
8, 12, 0, 1.6, 60, NaN, NaN, 0
8, 13, 0, 1.6, 54, NaN, NaN, 0
8, 14, 1, 1.6, 8, 400, 90, 0
8, 15, 1, 1.6, 6, 50, 0, 0
8, 16, 1, 1.65, 12, 150, 90, 0
8, 17, 1, 1.7, 21, 100, 315, 1
8, 18, 0, 1.7, 262, NaN, NaN, 0
8, 19, 1, 1.6, 9, 250, 270, -1
8, 20, 1, 1.6, 3, 400, 315, -1
8, 21, 1, 1.65, 16, 400, 225, 0
8, 22, 1, 1.6, 9, 150, 225, 0
8, 23, 1, 1.7, 27, 150, 45, -1
8, 24, 1, 1.6, 9, 200, 90, 0
8, 25, 1, 1.6, 7, 200, 135, 0
8, 26, 0, 1.7, 285, NaN, NaN, 0
8, 27, 1, 1.7, 19, 50, 135, 1
8, 28, 1, 1.65, 14, 50, 135, 0
8, 29, 1, 1.65, 15, 200, 315, 0
8, 30, 0, 1.7, 238, NaN, NaN, 0
8, 31, 1, 1.65, 14, 400, 225, 0
8, 32, 1, 1.65, 18, 150, 135, 1
8, 33, 1, 1.65, 14, 50, 180, 1
8, 34, 1, 1.6, 8, 100, 45, 0
8, 35, 1, 1.6, 3, 200, 315, 0
8, 36, 1, 1.7, 19, 100, 135, 1
8, 37, 1, 1.65, 10, 150, 225, -1
8, 38, 1, 1.65, 16, 400, 135, 0
8, 39, 1, 1.65, 12, 100, 90, 1
8, 40, 0, 1.7, 270, NaN, NaN, 0
8, 41, 1, 1.6, 1, 50, 270, 0
8, 42, 1, 1.6, 4, 200, 225, 0
8, 43, 1, 1.7, 20, 400, 315, 1
8, 44, 1, 1.7, 20, 200, 135, 1
8, 45, 1, 1.7, 26, 350, 225, 1
8, 46, 1, 1.6, 1, 350, 315, 0
8, 47, 1, 1.65, 10, 200, 315, 0
8, 48, 1, 1.7, 22, 300, 45, 1
8, 49, 1, 1.65, 13, 400, 45, 0
8, 50, 1, 1.6, 8, 250, 0, 1
8, 51, 0, 1.6, 94, NaN, NaN, -1
8, 52, 1, 1.7, 23, 300, 90, 0
8, 53, 1, 1.65, 18, 400, 225, 0
8, 54, 0, 1.7, 231, NaN, NaN, 0
8, 55, 1, 1.7, 24, 250, 45, 1
8, 56, 1, 1.6, 1, 100, 315, 1
8, 57, 1, 1.65, 16, 350, 180, 0
8, 58, 1, 1.65, 10, 50, 225, 1
8, 59, 1, 1.65, 14, 200, 90, 1
8, 60, 1, 1.7, 24, 350, 90, 1
8, 61, 1, 1.7, 24, 200, 225, 1
8, 62, 1, 1.6, 5, 350, 180, 0
8, 63, 1, 1.7, 26, 400, 45, 0
8, 64, 1, 1.7, 21, 50, 225, 1
8, 65, 1, 1.6, 1, 300, 225, 0
8, 66, 1, 1.65, 12, 300, 225, 1
8, 67, 1, 1.6, 4, 300, 270, 0
8, 68, 1, 1.7, 25, 300, 45, 0
8, 69, 1, 1.7, 24, 350, 180, 0
8, 70, 1, 1.7, 21, 200, 315, 1
8, 71, 1, 1.7, 19, 150, 45, 1
8, 72, 1, 1.65, 16, 150, 270, 1
8, 73, 1, 1.6, 8, 350, 180, -1
8, 74, 1, 1.6, 9, 250, 225, 0
8, 75, 1, 1.7, 22, 100, 90, 1
8, 76, 1, 1.65, 10, 100, 135, 1
8, 77, 1, 1.65, 14, 350, 315, 0
8, 78, 1, 1.6, 7, 250, 0, 1
8, 79, 1, 1.6, 3, 400, 225, 1
8, 80, 1, 1.65, 18, 350, 45, 0
8, 81, 1, 1.65, 18, 300, 270, 0
8, 82, 1, 1.7, 25, 150, 45, 1
8, 83, 1, 1.6, 7, 400, 135, -1
8, 84, 1, 1.7, 21, 200, 135, 1
8, 85, 1, 1.6, 1, 250, 90, 1
8, 86, 1, 1.65, 11, 300, 135, 1
8, 87, 1, 1.6, 7, 100, 315, 0
8, 88, 1, 1.7, 25, 50, 225, 1
8, 89, 1, 1.6, 4, 150, 45, 0
8, 90, 1, 1.7, 21, 250, 90, 1
8, 91, 1, 1.65, 11, 50, 135, 1
8, 92, 1, 1.7, 27, 150, 315, 1
8, 93, 1, 1.65, 12, 200, 90, 1
8, 94, 1, 1.6, 1, 350, 90, 1
8, 95, 0, 1.6, 33, NaN, NaN, 0
8, 96, 1, 1.65, 13, 250, 45, 1
8, 97, 1, 1.7, 26, 50, 315, 1
8, 98, 1, 1.65, 12, 350, 180, 0
8, 99, 1, 1.6, 8, 150, 90, 0
8, 100, 1, 1.6, 5, 250, 45, 0
8, 101, 1, 1.65, 18, 200, 135, 0
8, 102, 1, 1.7, 24, 200, 0, 1
8, 103, 1, 1.6, 1, 200, 225, 0
8, 104, 1, 1.6, 4, 50, 180, 0
8, 105, 1, 1.7, 23, 400, 270, 1
8, 106, 1, 1.6, 7, 150, 45, 0
8, 107, 1, 1.6, 4, 250, 90, 1
8, 108, 1, 1.6, 5, 150, 45, 0
8, 109, 1, 1.6, 8, 100, 180, 0
8, 110, 1, 1.6, 1, 300, 315, 0
8, 111, 1, 1.6, 4, 150, 315, 1
8, 112, 1, 1.6, 1, 200, 135, 0
8, 113, 1, 1.7, 27, 350, 0, 0
8, 114, 0, 1.6, 112, NaN, NaN, 0
8, 115, 1, 1.6, 6, 150, 270, 0
8, 116, 1, 1.65, 12, 100, 180, 1
