Data properties:
 
Recording date: 9/24/2008
Recording time : 10:38:59:759 (corresponds to time 0)
Study: SD Experiment
Subject: MY
Recording: MY11
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Timestamp	Found	GazepointX	GazepointY
 
7	None	-1600	-1200
26	None	-1600	-1200
46	None	-1600	-1200
66	None	-1600	-1200
86	None	-1600	-1200
107	None	-1600	-1200
126	None	-1600	-1200
146	None	-1600	-1200
166	None	-1600	-1200
187	Both	877	553
206	Both	881	578
226	Both	861	569
246	Both	862	550
266	Both	865	568
286	Both	863	556
306	Both	870	559
326	Both	861	561
345	Both	859	562
365	Both	872	530
385	Both	822	591
405	Both	792	541
425	Both	805	576
445	Both	798	553
465	Both	795	542
485	Both	793	530
505	Both	777	517
525	Both	805	556
545	Both	811	584
565	Both	820	577
585	Both	822	571
605	Both	805	579
625	Both	808	564
645	Both	814	564
664	Both	826	587
684	Both	808	561
704	Both	802	558
724	Both	821	547
744	Both	811	548
764	Both	818	531
784	Both	815	536
804	Both	835	553
824	Both	836	576
844	Both	809	579
864	Both	804	582
884	Both	795	585
904	Both	791	590
924	Both	805	598
944	Both	797	618
964	Both	811	609
983	Both	803	579
1003	Both	807	576
1023	Both	811	571
1043	Both	809	586
1063	Both	802	576
1083	Both	804	587
1103	Both	816	573
1123	Both	808	592
1143	Both	801	609
1163	RightOnly	817	596
1183	Both	810	591
1203	Both	813	594
1223	Both	808	594
1243	RightOnly	812	597
1263	Both	816	618
1282	Both	802	576
1302	RightOnly	810	583
1322	Both	889	758
1342	Both	1075	1016
1362	RightOnly	1206	1278
1382	RightOnly	1226	1293
1402	RightOnly	1218	1269
1422	RightOnly	1225	1267
1442	RightOnly	1110	1138
1462	RightOnly	914	744
1482	RightOnly	764	545
1502	Both	746	587
1522	Both	724	567
1542	Both	736	543
1562	Both	745	555
1582	Both	763	578
1602	Both	768	600
1621	Both	799	583
1641	Both	783	594
1661	Both	776	597
1681	Both	787	594
1701	Both	778	573
1721	Both	783	584
1741	Both	786	576
1761	Both	791	581
1781	Both	792	576
1801	Both	790	553
1821	Both	780	549
1841	Both	780	553
1861	Both	771	559
1881	RightOnly	850	612
1901	RightOnly	850	602
1921	Both	829	610
1940	Both	836	624
1960	RightOnly	841	642
1980	Both	823	643
2000	Both	828	614
2020	Both	815	601
2040	Both	808	598
2060	Both	820	626
2080	Both	802	605
2100	Both	808	597
2120	Both	793	566
2140	Both	800	569
2160	Both	811	578
2180	Both	796	574
2200	Both	802	556
2220	RightOnly	806	562
2240	RightOnly	811	594
2259	LeftOnly	817	525
2279	None	-1600	-1200
2299	None	-1600	-1200
2319	None	-1600	-1200
2339	None	-1600	-1200
2359	None	-1600	-1200
2379	None	-1600	-1200
2399	None	-1600	-1200
2419	None	-1600	-1200
2439	None	-1600	-1200
2459	None	-1600	-1200
2479	None	-1600	-1200
2499	RightOnly	834	523
2519	RightOnly	821	517
2539	Both	819	545
2559	Both	815	542
2578	Both	816	531
2598	Both	833	556
2618	RightOnly	850	554
2638	Both	832	556
2658	Both	803	575
2678	Both	820	582
2698	RightOnly	837	548
2718	Both	827	595
2738	Both	812	584
2758	Both	816	601
2778	RightOnly	836	580
2798	Both	794	581
2818	Both	809	600
2838	Both	819	629
2858	Both	809	584
2878	Both	812	611
2897	Both	811	608
2917	Both	808	582
2937	Both	798	620
2957	Both	806	596
2977	RightOnly	819	558
2997	Both	820	589
3017	Both	827	605
3037	Both	827	578
3057	Both	807	583
3077	Both	809	589
3097	Both	802	585
3117	Both	808	566
3137	Both	809	574
3157	Both	829	588
3177	Both	821	616
3196	Both	819	588
3216	Both	813	606
3236	Both	815	599
3256	Both	811	575
3276	Both	821	604
3296	Both	828	614
3316	Both	813	599
3336	Both	832	614
3356	RightOnly	796	573
3376	Both	822	621
3396	Both	814	609
3416	RightOnly	766	592
3436	Both	791	600
3456	Both	800	598
3476	Both	797	613
3495	Both	810	608
3516	Both	810	602
3535	Both	786	586
3555	Both	776	553
3575	Both	802	583
3595	Both	778	574
3615	Both	807	568
3635	Both	808	553
3655	Both	787	561
3675	Both	794	562
3695	Both	793	586
3715	Both	800	563
3735	Both	803	548
3755	Both	820	580
3775	Both	817	552
3795	Both	801	563
3814	Both	800	556
3834	RightOnly	795	528
3854	Both	802	574
3874	Both	816	542
3894	RightOnly	808	502
3914	Both	789	596
3934	Both	781	559
3954	Both	815	563
3974	RightOnly	788	551
3994	Both	800	553
4014	Both	804	582
4034	RightOnly	793	529
4054	Both	798	577
4074	Both	805	577
4094	Both	794	558
4113	Both	824	539
4133	Both	829	569
4153	Both	811	555
4173	Both	801	556
4193	Both	799	576
4213	Both	788	544
4233	Both	787	551
4253	Both	800	541
4273	Both	802	570
4293	Both	787	542
4313	Both	784	557
4333	Both	815	576
4353	Both	798	564
4373	Both	786	576
4393	Both	779	562
4413	Both	791	578
4432	Both	802	571
4452	Both	783	578
4472	Both	794	579
4492	Both	796	589
4512	Both	796	583
4532	RightOnly	794	569
4552	Both	787	597
4572	Both	791	592
4592	Both	781	583
4612	Both	804	591
4632	Both	812	602
4652	Both	799	582
4672	Both	803	596
4692	Both	804	589
4712	RightOnly	801	554
4732	RightOnly	803	529
4751	Both	805	590
4771	Both	797	562
4791	Both	808	573
4811	Both	798	569
4831	Both	806	550
4851	RightOnly	791	502
4871	Both	801	580
4891	Both	790	560
4911	Both	809	572
4931	Both	797	587
4951	RightOnly	817	548
4971	Both	794	585
4991	Both	814	582
5011	Both	803	577
5031	Both	808	590
5051	Both	801	596
5070	RightOnly	794	483
5090	RightOnly	792	510
5110	RightOnly	793	547
5130	LeftOnly	858	411
5150	None	-1600	-1200
5170	None	-1600	-1200
5190	None	-1600	-1200
5210	None	-1600	-1200
5230	None	-1600	-1200
5250	None	-1600	-1200
5270	None	-1600	-1200
5290	None	-1600	-1200
5310	Both	804	441
5330	RightOnly	827	441
5350	RightOnly	827	475
5369	Both	827	558
5389	Both	823	534
5409	Both	814	558
5429	Both	822	543
5449	Both	836	538
5469	Both	836	550
5489	Both	842	524
5509	Both	818	521
5529	Both	809	585
5549	Both	818	566
5569	Both	817	564
5589	Both	801	567
5609	Both	825	572
5629	Both	826	577
5649	Both	812	578
5669	Both	806	564
5689	Both	832	568
5708	Both	811	555
5728	Both	820	580
5748	Both	815	535
5768	Both	816	510
5788	RightOnly	793	461
