Data properties:
 
Recording date: 9/10/2008
Recording time : 14:59:50:358 (corresponds to time 0)
Study: Alasdair SD
Subject: AlasdairClarke
Recording: AC12
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Data: 
  
Timestamp	Number	GazepointX (L)	GazepointY (L)	CamX (L)	CamY (L)	Distance (L)	Pupil (L)	Validity (L)	GazepointX (R)	GazepointY (R)	CamX (R)	CamY (R)	Distance (R)	Pupil (R)	Validity (R)
  
17	1	-1600	-1200	0.710	0.442	-1.000	-1.000	4	-1600	-1200	0.390	0.426	-1.000	-1.000	4
37	2	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4
57	3	-1600	-1200	0.710	0.446	-1.000	-1.000	4	-1600	-1200	0.390	0.431	-1.000	-1.000	4
77	4	868	666	0.710	0.448	560.211	4.750	0	816	756	0.390	0.433	559.227	4.391	0
97	5	901	667	0.710	0.450	560.498	4.804	0	810	767	0.390	0.435	559.283	4.375	0
117	6	907	723	0.710	0.452	560.246	4.772	0	831	681	0.390	0.437	559.759	4.333	0
137	7	888	664	0.709	0.454	560.499	4.852	0	813	782	0.389	0.440	559.873	4.444	0
157	8	869	673	0.708	0.456	560.816	4.776	0	816	657	0.387	0.443	560.195	4.384	0
176	9	874	629	0.706	0.457	561.019	4.857	0	801	653	0.386	0.445	559.878	4.228	0
196	10	878	651	0.705	0.456	560.793	4.920	0	911	704	0.385	0.445	559.570	4.482	0
216	11	894	672	0.705	0.455	560.914	4.792	0	904	628	0.385	0.445	559.567	4.512	0
236	12	859	671	0.706	0.453	561.308	4.813	0	866	620	0.385	0.443	560.098	4.533	0
256	13	833	650	0.707	0.451	561.983	4.759	0	818	622	0.386	0.441	559.698	4.519	0
276	14	786	633	0.708	0.450	561.312	4.891	0	823	632	0.387	0.440	558.998	4.481	0
296	15	838	596	0.708	0.449	561.072	4.728	0	828	567	0.388	0.439	558.786	4.569	0
316	16	796	609	0.709	0.448	561.014	4.799	0	804	571	0.388	0.438	558.251	4.478	0
336	17	792	640	0.709	0.447	561.340	4.739	0	808	619	0.389	0.437	557.977	4.374	0
356	18	848	597	0.710	0.447	561.335	4.679	0	816	671	0.389	0.435	557.954	4.369	0
376	19	802	621	0.710	0.446	560.640	4.665	0	792	581	0.389	0.434	557.643	4.378	0
396	20	778	611	0.710	0.446	559.647	4.571	0	729	624	0.390	0.433	557.400	4.183	0
416	21	791	590	0.710	0.446	559.369	4.662	0	752	635	0.389	0.433	557.529	4.163	0
436	22	820	593	0.709	0.447	559.456	4.462	0	765	657	0.389	0.434	557.541	4.142	0
456	23	783	594	0.709	0.449	559.464	4.584	0	775	638	0.389	0.435	557.626	4.119	0
476	24	805	580	0.709	0.450	559.473	4.457	0	769	582	0.388	0.436	557.691	4.241	0
495	25	772	609	0.708	0.450	559.364	4.628	0	768	641	0.388	0.437	557.693	4.204	0
515	26	798	624	0.708	0.450	559.281	4.619	0	781	600	0.388	0.437	558.207	4.218	0
535	27	808	666	0.709	0.450	559.013	4.466	0	786	616	0.388	0.437	558.613	4.167	0
555	28	830	562	0.709	0.451	559.579	4.533	0	737	627	0.388	0.437	559.891	4.147	0
575	29	799	564	0.709	0.452	559.006	4.510	0	804	555	0.389	0.437	559.859	4.230	0
595	30	798	604	0.709	0.452	558.307	4.623	0	774	632	0.389	0.438	558.830	4.233	0
615	31	818	611	0.709	0.453	557.914	4.444	0	770	663	0.389	0.439	558.830	4.142	0
635	32	810	597	0.709	0.454	557.707	4.497	0	753	644	0.389	0.439	558.706	4.183	0
655	33	813	621	0.709	0.453	557.730	4.554	0	742	630	0.389	0.439	558.775	4.139	0
675	34	785	619	0.709	0.453	557.571	4.566	0	773	604	0.389	0.440	558.689	4.156	0
695	35	813	584	0.709	0.454	557.572	4.566	0	757	641	0.389	0.440	558.573	4.153	0
715	36	797	594	0.709	0.454	557.953	4.621	0	751	613	0.389	0.441	558.515	4.194	0
735	37	824	620	0.709	0.455	558.435	4.606	0	726	605	0.389	0.442	558.554	4.209	0
755	38	810	598	0.710	0.457	558.790	4.588	0	753	662	0.389	0.444	558.553	4.213	0
775	39	827	634	0.710	0.457	558.811	4.576	0	762	601	0.389	0.445	558.553	4.241	0
795	40	802	557	0.710	0.458	558.680	4.658	0	751	603	0.389	0.445	558.420	4.259	0
814	41	805	598	0.710	0.456	558.680	4.636	0	787	578	0.389	0.444	558.308	4.377	0
834	42	772	619	0.710	0.456	558.807	4.721	0	751	580	0.390	0.444	558.336	4.332	0
854	43	823	602	0.710	0.456	559.045	4.723	0	776	575	0.390	0.444	558.247	4.428	0
874	44	787	577	0.710	0.457	559.315	4.698	0	788	579	0.390	0.446	557.974	4.281	0
894	45	814	588	0.710	0.457	558.874	4.659	0	816	589	0.390	0.446	557.980	4.517	0
914	46	764	648	0.710	0.456	559.082	4.635	0	819	559	0.390	0.446	557.979	4.367	0
934	47	794	599	0.710	0.456	559.412	4.690	0	843	560	0.390	0.446	558.239	4.503	0
954	48	762	582	0.710	0.456	560.868	4.766	0	827	611	0.390	0.447	558.412	4.428	0
974	49	796	569	0.711	0.458	560.887	4.761	0	806	604	0.390	0.448	558.727	4.458	0
994	50	807	580	0.710	0.458	559.674	4.783	0	801	626	0.390	0.449	558.956	4.540	0
1014	51	807	595	0.710	0.457	559.654	4.802	0	797	626	0.390	0.448	558.960	4.485	0
1034	52	822	596	0.711	0.457	560.188	4.809	0	806	563	0.390	0.447	558.886	4.586	0
1054	53	794	620	0.711	0.457	560.189	4.725	0	812	559	0.391	0.447	559.260	4.488	0
1074	54	805	575	0.712	0.457	559.649	4.713	0	798	588	0.392	0.447	559.257	4.486	0
1094	55	797	576	0.712	0.458	559.364	4.725	0	836	559	0.392	0.447	558.871	4.591	0
1114	56	786	547	0.713	0.458	559.363	4.819	0	823	573	0.392	0.447	558.752	4.592	0
1133	57	780	605	0.713	0.457	559.595	4.814	0	821	649	0.393	0.446	558.612	4.571	0
1153	58	797	572	0.713	0.455	559.259	4.764	0	852	576	0.393	0.444	559.311	4.537	0
1173	59	781	588	0.713	0.454	558.838	4.920	0	803	627	0.393	0.442	559.282	4.569	0
1193	60	778	622	0.712	0.453	558.782	4.953	0	802	608	0.392	0.442	559.283	4.453	0
1213	61	774	556	0.712	0.453	559.254	4.965	0	824	566	0.391	0.441	558.742	4.625	0
1233	62	798	579	0.711	0.452	560.789	4.994	0	809	620	0.390	0.441	559.285	4.598	0
1253	63	825	605	0.710	0.451	559.604	4.891	0	818	595	0.389	0.441	559.108	4.585	0
1273	64	810	589	0.710	0.450	559.161	4.994	0	831	608	0.389	0.440	559.071	4.561	0
1293	65	793	601	0.710	0.449	559.072	5.015	0	789	599	0.389	0.439	558.680	4.608	0
1313	66	814	580	0.711	0.450	559.285	4.990	0	827	572	0.390	0.440	558.822	4.662	0
1333	67	803	585	0.711	0.450	559.345	4.932	0	831	623	0.391	0.439	558.674	4.622	0
1353	68	810	624	0.712	0.449	558.975	4.961	0	809	625	0.392	0.438	558.758	4.651	0
1373	69	814	620	0.713	0.449	558.804	4.879	0	810	586	0.392	0.438	558.759	4.521	0
1393	70	817	556	0.714	0.450	558.805	5.053	0	795	679	0.393	0.439	558.880	4.727	0
1413	71	820	600	0.714	0.451	558.966	4.983	0	805	587	0.394	0.440	559.234	4.676	0
1433	72	794	609	0.714	0.451	558.963	4.923	0	782	620	0.394	0.441	559.238	4.655	0
1452	73	828	609	0.714	0.450	559.619	4.949	0	798	658	0.394	0.441	559.133	4.782	0
1472	74	815	589	0.714	0.450	559.875	4.865	0	770	716	0.394	0.442	559.208	4.733	0
1492	75	824	597	0.715	0.450	559.888	4.981	0	773	622	0.395	0.442	559.418	4.710	0
1512	76	856	641	0.716	0.450	560.530	4.956	0	749	689	0.396	0.441	559.933	4.730	0
1532	77	835	619	0.717	0.450	559.537	4.962	0	760	655	0.397	0.441	560.384	4.686	0
1552	78	857	567	0.717	0.450	558.070	4.969	0	766	628	0.396	0.442	560.244	4.765	0
1572	79	840	629	0.716	0.450	556.756	4.935	0	756	602	0.395	0.442	560.690	4.684	0
1592	80	816	622	0.715	0.449	554.869	4.844	0	765	643	0.395	0.441	560.690	4.614	0
1612	81	817	592	0.715	0.449	554.047	4.853	0	793	638	0.394	0.440	560.689	4.744	0
1632	82	826	617	0.714	0.449	554.045	4.915	0	758	670	0.394	0.440	560.065	4.638	0
1652	83	815	642	0.714	0.449	554.041	4.835	0	796	616	0.393	0.440	560.054	4.667	0
1672	84	810	579	0.713	0.449	555.463	4.853	0	791	647	0.393	0.439	559.421	4.568	0
1692	85	782	611	0.713	0.449	557.243	4.860	0	816	631	0.392	0.439	559.018	4.503	0
1712	86	803	614	0.713	0.450	558.377	4.826	0	796	601	0.392	0.440	559.003	4.335	0
1732	87	800	641	0.712	0.449	558.727	4.693	0	811	661	0.392	0.440	559.096	4.512	0
1752	88	793	612	0.712	0.448	558.929	4.776	0	755	669	0.391	0.439	559.340	4.360	0
1771	89	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4
1791	90	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4
1811	91	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4
1831	92	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4
1851	93	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4	-1600	-1200	-1.000	-1.000	-1.000	-1.000	4
1871	94	-1600	-1200	0.715	0.447	-1.000	-1.000	4	-1600	-1200	0.393	0.434	-1.000	-1.000	4
1891	95	708	474	0.714	0.447	558.732	4.830	0	769	530	0.393	0.434	559.868	4.387	0
1911	96	770	581	0.714	0.447	558.733	4.710	0	768	499	0.392	0.434	561.260	4.261	0
1931	97	777	610	0.713	0.446	558.733	4.559	0	761	590	0.392	0.433	561.272	4.059	0
1951	98	765	566	0.713	0.446	558.855	4.619	0	728	590	0.391	0.433	561.289	4.221	0
1971	99	784	540	0.712	0.446	558.708	4.545	0	737	618	0.391	0.433	561.384	4.128	0
1991	100	808	590	0.712	0.446	559.031	4.659	0	758	617	0.391	0.433	560.762	4.131	0
2011	101	794	604	0.712	0.444	559.455	4.391	0	709	651	0.390	0.431	560.115	4.257	0
2031	102	770	547	0.712	0.442	560.073	4.565	0	732	586	0.390	0.429	558.289	4.115	0
2051	103	778	592	0.711	0.441	560.332	4.485	0	720	647	0.390	0.429	557.773	4.059	0
2070	104	807	577	0.711	0.443	560.321	4.449	0	745	519	0.390	0.430	557.425	4.062	0
2090	105	797	607	0.711	0.444	560.121	4.631	0	801	593	0.390	0.433	557.226	4.088	0
2110	106	845	592	0.711	0.445	560.121	4.468	0	815	574	0.390	0.433	557.088	4.157	0
2130	107	833	635	0.710	0.444	559.731	4.431	0	800	571	0.390	0.433	557.086	4.087	0
2150	108	802	629	0.710	0.444	559.878	4.539	0	806	644	0.390	0.433	557.085	4.062	0
2170	109	822	644	0.711	0.445	559.447	4.486	0	823	570	0.390	0.434	559.022	4.190	0
2190	110	804	623	0.711	0.446	558.608	4.421	0	778	552	0.390	0.436	561.216	4.082	0
2210	111	795	621	0.711	0.447	555.891	4.455	0	822	567	0.390	0.436	561.279	4.241	0
2230	112	784	616	0.711	0.446	556.399	4.443	0	794	581	0.391	0.436	562.989	4.226	0
2250	113	756	584	0.711	0.445	557.388	4.506	0	776	622	0.390	0.435	563.534	4.253	0
2270	114	796	574	0.711	0.445	560.293	4.510	0	763	579	0.390	0.434	563.534	4.132	0
2290	115	766	638	0.711	0.444	558.929	4.467	0	784	589	0.390	0.434	561.818	4.332	0
2310	116	778	638	0.710	0.445	558.289	4.460	0	785	577	0.390	0.435	560.863	4.231	0
2330	117	768	629	0.710	0.445	559.516	4.467	0	742	581	0.390	0.435	559.719	4.157	0
2350	118	799	624	0.710	0.444	560.684	4.395	0	753	581	0.389	0.434	560.719	4.172	0
2370	119	780	629	0.709	0.443	559.658	4.466	0	779	598	0.389	0.434	559.985	4.101	0
2390	120	776	626	0.709	0.443	558.417	4.394	0	803	615	0.388	0.434	559.744	4.138	0
2409	121	774	619	0.708	0.444	557.417	4.387	0	767	577	0.387	0.436	559.783	4.112	0
2429	122	756	654	0.708	0.445	558.437	4.493	0	796	556	0.387	0.436	559.995	4.060	0
2449	123	801	595	0.707	0.445	558.354	4.481	0	770	608	0.387	0.436	559.781	4.095	0
2469	124	796	633	0.707	0.445	557.432	4.423	0	787	630	0.386	0.436	559.779	4.020	0
2489	125	798	622	0.706	0.445	557.430	4.547	0	784	534	0.386	0.436	559.776	4.083	0
2509	126	824	624	0.706	0.445	557.427	4.417	0	798	572	0.385	0.437	559.754	4.159	0
2529	127	779	612	0.705	0.446	559.789	4.490	0	835	577	0.385	0.438	561.027	4.144	0
2549	128	799	630	0.705	0.446	561.146	4.339	0	775	530	0.384	0.438	562.336	4.079	0
2569	129	813	608	0.705	0.444	561.187	4.351	0	799	557	0.384	0.437	560.703	4.077	0
2589	130	798	614	0.704	0.443	560.853	4.354	0	794	614	0.384	0.437	562.359	4.045	0
2609	131	799	572	0.703	0.442	560.836	4.348	0	798	600	0.382	0.437	562.374	4.116	0
2629	132	783	677	0.702	0.441	559.174	4.187	0	774	552	0.381	0.438	562.331	4.069	0
2649	133	809	617	0.700	0.440	560.361	4.325	0	770	592	0.380	0.438	563.384	4.054	0
2669	134	816	588	0.699	0.438	560.351	4.296	0	788	596	0.379	0.438	562.421	4.048	0
2689	135	852	611	0.699	0.438	559.018	4.186	0	775	595	0.378	0.438	561.772	4.174	0
2708	136	823	571	0.699	0.438	556.960	4.122	0	764	548	0.378	0.439	562.710	4.012	0
2728	137	801	651	0.699	0.438	554.135	4.084	0	787	565	0.378	0.439	561.752	4.055	0
2748	138	804	641	0.699	0.439	552.860	4.139	0	801	548	0.378	0.439	563.136	3.979	0
2768	139	840	701	0.699	0.438	551.764	4.114	0	795	612	0.379	0.439	562.293	4.068	0
2788	140	832	652	0.699	0.438	551.381	4.096	0	794	627	0.379	0.438	561.087	3.921	0
2808	141	853	654	0.700	0.438	549.413	4.104	0	799	615	0.379	0.438	561.014	4.092	0
2828	142	857	719	0.700	0.438	548.317	4.142	0	813	583	0.379	0.438	561.911	4.075	0
2848	143	814	658	0.700	0.438	548.125	4.010	0	800	574	0.379	0.438	562.232	4.019	0
2868	144	831	663	0.700	0.438	549.242	4.071	0	788	557	0.379	0.438	563.286	4.057	0
2888	145	821	662	0.699	0.438	549.473	4.118	0	803	624	0.379	0.438	563.761	4.099	0
2908	146	812	644	0.699	0.438	550.106	4.190	0	761	588	0.379	0.438	565.027	3.986	0
2928	147	787	657	0.699	0.438	551.876	4.067	0	779	567	0.379	0.438	565.624	4.098	0
2948	148	808	643	0.699	0.438	554.756	4.278	0	797	574	0.379	0.438	565.630	3.957	0
2968	149	781	641	0.699	0.439	556.676	4.194	0	806	600	0.379	0.438	565.522	4.116	0
2988	150	810	631	0.700	0.439	558.680	4.142	0	808	582	0.379	0.438	565.520	4.088	0
3008	151	783	550	0.700	0.439	558.826	4.136	0	806	556	0.380	0.437	563.841	4.076	0
3027	152	829	683	0.701	0.439	560.367	4.245	0	794	554	0.380	0.437	562.221	3.989	0
3047	153	831	605	0.701	0.439	559.554	4.195	0	791	608	0.381	0.437	561.082	4.108	0
3067	154	795	623	0.702	0.439	558.006	4.151	0	800	634	0.381	0.437	561.082	4.011	0
3087	155	813	641	0.702	0.439	559.500	4.186	0	768	589	0.381	0.436	561.062	3.943	0
3107	156	797	583	0.702	0.439	558.760	4.186	0	773	585	0.381	0.436	560.831	4.032	0
3127	157	813	686	0.702	0.439	555.856	4.171	0	796	560	0.381	0.436	560.742	4.066	0
3147	158	804	602	0.702	0.439	553.767	4.184	0	799	555	0.381	0.436	560.741	4.046	0
3167	159	763	634	0.702	0.439	553.833	4.081	0	763	589	0.381	0.436	560.415	3.959	0
3187	160	823	632	0.702	0.439	554.916	4.124	0	769	552	0.381	0.436	560.040	3.945	0
3207	161	794	626	0.702	0.439	554.986	4.096	0	769	598	0.381	0.436	560.001	3.994	0
3227	162	811	599	0.702	0.439	555.025	4.133	0	781	564	0.381	0.437	560.002	4.026	0
3247	163	774	577	0.702	0.440	556.128	4.190	0	784	594	0.381	0.437	559.844	4.032	0
3267	164	790	609	0.702	0.440	556.699	4.165	0	785	605	0.381	0.437	560.005	3.958	0
3287	165	793	596	0.702	0.440	557.295	4.123	0	767	581	0.381	0.437	559.971	3.931	0
3307	166	794	609	0.702	0.440	557.833	4.170	0	791	550	0.381	0.437	560.196	4.004	0
3327	167	807	595	0.702	0.440	557.836	4.168	0	764	600	0.381	0.438	560.093	3.926	0
3346	168	795	578	0.702	0.441	557.841	4.141	0	790	599	0.381	0.438	559.866	3.932	0
3366	169	793	567	0.702	0.441	557.652	3.996	0	749	655	0.381	0.438	559.487	3.971	0
3386	170	780	584	0.702	0.441	557.614	4.142	0	781	589	0.381	0.438	559.358	3.950	0
3406	171	811	628	0.702	0.441	557.416	4.112	0	766	612	0.382	0.437	559.273	3.931	0
3427	172	764	597	0.702	0.441	557.416	4.165	0	787	575	0.382	0.437	559.273	3.970	0
3446	173	779	585	0.702	0.441	557.417	4.129	0	762	610	0.382	0.437	559.272	3.982	0
3466	174	822	584	0.703	0.441	558.025	4.202	0	778	622	0.382	0.437	559.330	4.019	0
3486	175	800	604	0.703	0.441	558.240	4.104	0	763	579	0.382	0.437	559.455	4.098	0
3506	176	770	546	0.703	0.440	558.234	4.047	0	754	473	0.383	0.436	559.806	4.036	0
3526	177	769	445	0.703	0.440	558.232	4.132	0	765	436	0.383	0.436	559.809	4.019	0
3546	178	778	437	0.703	0.440	558.230	4.078	0	762	459	0.383	0.436	559.812	4.009	0
3566	179	754	455	0.703	0.441	557.787	4.108	0	731	461	0.383	0.436	558.662	3.998	0
3586	180	748	433	0.703	0.441	556.927	4.201	0	730	459	0.383	0.436	557.401	3.923	0
3606	181	752	446	0.703	0.441	555.873	4.197	0	409	215	0.383	0.436	556.868	3.442	0
3626	182	766	490	0.703	0.441	555.038	4.191	0	759	436	0.383	0.437	556.602	3.963	0
3646	183	770	415	0.703	0.441	554.748	4.161	0	757	516	0.383	0.437	556.604	3.972	0
3665	184	750	485	0.703	0.441	554.748	4.014	0	765	455	0.383	0.437	556.366	3.911	0
3685	185	728	494	0.703	0.442	554.748	4.186	0	703	485	0.383	0.437	556.609	3.993	0
3705	186	494	807	0.706	0.444	554.814	3.998	0	445	830	0.386	0.440	556.853	4.001	0
3725	187	378	899	0.706	0.445	555.017	4.066	0	411	928	0.387	0.440	557.054	4.124	0
3745	188	371	898	0.706	0.445	555.738	4.030	0	381	943	0.387	0.440	558.563	4.104	0
3765	189	410	860	0.706	0.445	556.580	4.119	0	397	936	0.387	0.440	559.868	4.064	0
3785	190	391	875	0.707	0.445	558.399	4.023	0	393	912	0.387	0.440	561.135	4.046	0
3805	191	384	844	0.707	0.445	560.718	4.117	0	387	917	0.387	0.440	561.128	4.069	0
3825	192	357	854	0.707	0.444	561.264	4.069	0	410	922	0.387	0.440	561.127	4.021	0
3845	193	423	921	0.707	0.445	561.669	4.112	0	390	911	0.387	0.440	560.810	4.129	0
3865	194	375	852	0.707	0.445	561.672	4.052	0	419	911	0.387	0.440	560.810	4.080	0
3885	195	340	826	0.706	0.444	561.877	4.070	0	406	922	0.386	0.440	561.000	4.002	0
3905	196	661	773	0.704	0.443	561.396	4.003	0	614	708	0.384	0.439	561.093	3.836	0
3925	197	718	714	0.703	0.443	560.913	4.175	0	682	711	0.383	0.439	561.097	4.055	0
3944	198	677	728	0.703	0.443	560.332	4.098	0	645	690	0.383	0.439	560.980	3.939	0
3965	199	711	690	0.703	0.443	558.667	4.063	0	697	661	0.383	0.439	561.442	3.907	0
3984	200	714	697	0.703	0.443	558.623	4.063	0	692	713	0.383	0.439	561.445	3.917	0
4004	201	720	677	0.703	0.443	558.775	4.067	0	707	583	0.383	0.439	561.322	3.982	0
4024	202	720	736	0.703	0.443	557.188	4.009	0	672	607	0.383	0.439	561.139	3.888	0
4044	203	736	658	0.703	0.443	556.539	4.047	0	716	678	0.383	0.439	561.136	3.962	0
4064	204	703	650	0.703	0.443	556.709	4.039	0	671	683	0.383	0.439	560.757	3.837	0
4084	205	729	671	0.703	0.443	556.812	4.042	0	725	664	0.383	0.439	560.623	3.951	0
4104	206	680	674	0.703	0.443	556.939	4.006	0	720	637	0.383	0.439	560.294	4.040	0
4124	207	710	666	0.703	0.443	556.940	3.998	0	697	635	0.383	0.439	560.154	3.959	0
4144	208	709	701	0.703	0.443	556.813	3.978	0	683	678	0.383	0.439	559.989	3.881	0
4164	209	778	552	0.703	0.443	556.942	4.079	0	783	598	0.383	0.439	559.860	4.044	0
4184	210	788	613	0.703	0.443	557.046	3.997	0	763	606	0.383	0.439	559.858	3.957	0
4204	211	748	602	0.703	0.443	557.239	4.070	0	763	633	0.383	0.439	559.904	3.961	0
4224	212	748	638	0.703	0.443	557.287	4.095	0	710	616	0.383	0.439	561.533	3.840	0
4244	213	773	612	0.703	0.443	557.302	4.092	0	742	632	0.383	0.439	563.022	3.917	0
4263	214	756	621	0.703	0.443	557.208	4.057	0	745	628	0.383	0.439	564.179	3.958	0
4284	215	783	619	0.703	0.443	557.258	4.033	0	746	636	0.383	0.439	564.178	3.922	0
4303	216	785	584	0.703	0.443	557.258	4.026	0	752	593	0.383	0.439	564.177	3.990	0
4323	217	807	591	0.703	0.443	557.258	4.062	0	740	620	0.383	0.439	563.945	3.903	0
4343	218	831	562	0.703	0.443	557.195	3.935	0	788	635	0.383	0.439	562.227	3.925	0
4363	219	769	550	0.703	0.443	557.196	4.000	0	756	580	0.383	0.439	560.816	3.944	0
4383	220	805	563	0.703	0.443	557.885	3.993	0	753	600	0.382	0.439	559.627	3.879	0
4403	221	773	572	0.703	0.443	557.993	3.950	0	771	643	0.383	0.439	559.626	3.780	0
4423	222	783	592	0.703	0.443	558.021	3.972	0	715	556	0.383	0.439	559.529	3.895	0
4443	223	788	590	0.703	0.443	558.018	4.025	0	777	587	0.383	0.439	559.619	3.768	0
4463	224	800	544	0.703	0.443	558.015	3.873	0	778	647	0.383	0.439	559.528	3.865	0
4483	225	775	567	0.703	0.443	558.012	3.938	0	773	595	0.383	0.439	559.528	3.784	0
4503	226	808	570	0.703	0.444	557.312	3.919	0	788	565	0.383	0.439	559.402	3.891	0
4523	227	787	572	0.703	0.444	557.307	3.931	0	777	602	0.383	0.440	559.345	3.879	0
4543	228	823	561	0.703	0.444	557.822	3.987	0	784	552	0.383	0.439	559.343	3.828	0
4563	229	840	551	0.703	0.443	559.599	3.870	0	766	630	0.383	0.439	559.501	3.841	0
4582	230	822	543	0.703	0.444	561.146	4.007	0	751	578	0.382	0.439	559.332	3.766	0
4602	231	766	566	0.703	0.445	560.323	3.992	0	744	633	0.382	0.440	559.511	3.703	0
4622	232	814	524	0.703	0.445	562.051	3.925	0	746	601	0.382	0.440	559.823	3.769	0
4642	233	840	555	0.703	0.444	562.046	4.012	0	809	618	0.383	0.440	561.222	3.778	0
4662	234	796	546	0.703	0.444	561.060	4.018	0	768	584	0.383	0.439	561.244	3.816	0
4682	235	835	528	0.703	0.444	561.394	4.074	0	793	572	0.383	0.439	562.885	3.863	0
4702	236	796	548	0.703	0.444	559.185	3.946	0	772	616	0.383	0.439	562.547	3.735	0
4722	237	804	570	0.703	0.444	557.757	4.026	0	743	608	0.383	0.440	561.819	3.830	0
4742	238	800	551	0.703	0.444	557.892	3.939	0	779	619	0.383	0.440	560.610	3.836	0
4762	239	748	662	0.704	0.444	557.282	4.046	0	775	665	0.383	0.440	559.174	3.884	0
4782	240	800	563	0.704	0.444	557.876	4.039	0	745	628	0.383	0.439	559.055	3.869	0
4802	241	787	573	0.704	0.444	557.880	4.053	0	730	628	0.383	0.439	559.101	3.782	0
4822	242	753	593	0.703	0.444	557.885	4.104	0	747	631	0.383	0.440	559.099	3.764	0
4842	243	796	583	0.703	0.444	558.479	4.025	0	747	657	0.383	0.440	559.280	3.858	0
4862	244	839	638	0.703	0.444	558.556	4.113	0	765	601	0.383	0.440	559.431	3.857	0
4882	245	803	567	0.703	0.444	558.554	4.006	0	766	602	0.383	0.440	559.433	3.893	0
4901	246	815	532	0.703	0.444	558.552	4.145	0	748	631	0.383	0.440	559.647	3.893	0
4921	247	785	568	0.703	0.444	557.569	4.152	0	761	613	0.383	0.440	559.648	3.907	0
4941	248	808	602	0.703	0.444	556.798	4.066	0	791	540	0.383	0.440	560.455	3.965	0
4961	249	813	595	0.703	0.445	556.037	4.035	0	734	617	0.383	0.440	559.265	3.835	0
4981	250	791	592	0.703	0.444	556.035	4.090	0	782	607	0.383	0.440	559.395	3.972	0
5001	251	751	597	0.704	0.444	556.043	4.134	0	756	587	0.383	0.440	559.197	3.874	0
5021	252	767	557	0.704	0.444	556.321	4.142	0	756	570	0.383	0.440	559.284	3.937	0
5041	253	781	544	0.704	0.445	556.501	4.136	0	788	574	0.383	0.440	559.076	3.909	0
5061	254	786	601	0.704	0.444	556.861	3.939	0	787	604	0.383	0.440	559.102	3.967	0
5081	255	777	569	0.704	0.444	558.114	4.134	0	744	576	0.383	0.439	559.064	3.884	0
5101	256	804	599	0.704	0.444	559.545	4.041	0	754	638	0.383	0.439	559.101	3.935	0
5121	257	792	570	0.704	0.443	560.923	4.055	0	728	597	0.383	0.439	559.101	3.983	0
5141	258	736	529	0.704	0.444	561.867	4.291	0	781	541	0.383	0.439	559.101	3.975	0
5161	259	788	538	0.704	0.444	562.336	4.074	0	723	562	0.383	0.440	559.217	3.896	0
5181	260	801	549	0.703	0.444	563.059	4.043	0	741	571	0.383	0.439	559.358	4.016	0
5200	261	821	533	0.703	0.444	563.062	4.169	0	766	565	0.383	0.439	559.400	3.902	0
5220	262	784	534	0.703	0.444	563.065	4.078	0	784	596	0.383	0.439	559.400	3.983	0
5240	263	754	537	0.703	0.444	560.804	4.342	0	774	551	0.383	0.439	559.400	3.929	0
5260	264	827	559	0.703	0.444	559.522	4.148	0	780	533	0.383	0.440	559.400	3.954	0
5280	265	789	537	0.703	0.444	557.830	4.206	0	761	574	0.383	0.440	559.536	3.814	0
5300	266	815	588	0.703	0.444	557.204	4.152	0	748	604	0.382	0.440	559.519	3.896	0
5320	267	775	577	0.703	0.444	557.201	4.134	0	460	335	0.382	0.439	559.907	3.420	0
5340	268	809	566	0.703	0.444	557.596	4.154	0	764	611	0.382	0.439	559.621	3.975	0
5360	269	816	599	0.703	0.444	558.553	4.135	0	789	624	0.383	0.440	559.613	4.002	0
5380	270	798	591	0.703	0.445	559.330	4.206	0	761	616	0.383	0.440	559.513	3.985	0
5400	271	825	574	0.703	0.445	558.908	4.232	0	749	584	0.383	0.440	559.503	3.996	0
5420	272	809	559	0.703	0.445	558.487	4.203	0	792	583	0.383	0.440	561.203	4.024	0
5440	273	785	594	0.703	0.444	558.470	4.197	0	796	609	0.383	0.440	563.054	4.163	0
5460	274	793	624	0.703	0.444	557.681	4.144	0	768	620	0.383	0.440	562.628	4.030	0
5480	275	766	565	0.703	0.445	557.980	4.132	0	770	626	0.383	0.440	562.648	4.104	0
5500	276	788	593	0.703	0.445	557.992	4.224	0	789	558	0.382	0.440	562.671	3.986	0
5520	277	805	583	0.703	0.444	558.006	4.225	0	793	567	0.382	0.440	563.603	4.148	0
5539	278	796	561	0.703	0.444	559.405	4.230	0	785	624	0.382	0.440	563.504	4.060	0
5559	279	773	581	0.703	0.444	559.076	4.258	0	759	605	0.382	0.440	561.805	3.960	0
