Data properties:
 
Recording date: 9/11/2008
Recording time : 14:07:58:758 (corresponds to time 0)
Study: Alasdair SD
Subject: AlasdairClarke
Recording: AC15
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Timestamp	Found	GazepointX	GazepointY
 
4	None	-1600	-1200
24	None	-1600	-1200
44	None	-1600	-1200
64	None	-1600	-1200
84	Both	808	605
104	Both	840	544
123	Both	826	557
144	Both	811	564
163	Both	820	562
183	Both	846	550
203	Both	837	541
223	Both	842	544
243	Both	833	568
263	Both	842	563
283	Both	813	574
303	Both	825	559
323	Both	797	575
343	Both	830	598
363	Both	820	540
383	Both	823	570
403	Both	818	586
423	Both	812	561
442	Both	826	556
462	Both	826	523
482	Both	826	595
502	Both	829	555
522	Both	835	562
542	Both	834	509
562	Both	824	546
582	Both	835	522
602	Both	825	578
622	Both	817	533
642	Both	823	569
662	Both	831	608
682	Both	797	587
702	Both	806	541
722	Both	822	561
742	Both	795	605
761	Both	815	566
781	Both	805	557
801	Both	805	553
821	Both	816	586
841	Both	800	530
861	Both	800	556
881	Both	845	588
901	Both	828	492
921	Both	828	516
941	Both	850	617
961	Both	836	574
981	Both	864	504
1001	Both	845	583
1021	Both	828	537
1041	Both	827	610
1060	Both	861	589
1080	Both	862	555
1100	Both	812	565
1120	Both	838	515
1140	Both	835	561
1160	Both	797	577
1180	Both	829	572
1200	Both	826	569
1220	Both	799	584
1240	Both	807	561
1260	Both	816	570
1280	Both	816	575
1300	Both	828	591
1320	Both	841	572
1340	Both	782	514
1360	RightOnly	754	672
1380	LeftOnly	1440	1254
1399	None	-1600	-1200
1419	None	-1600	-1200
1439	None	-1600	-1200
1459	RightOnly	792	602
1479	Both	793	574
1499	RightOnly	848	639
1519	Both	860	616
1539	Both	848	617
1559	Both	843	632
1579	Both	832	652
1599	Both	842	617
1619	Both	829	628
1639	Both	839	636
1659	Both	827	622
1679	Both	805	558
1699	Both	831	609
1718	Both	822	591
1738	Both	823	627
1758	Both	828	606
1778	Both	817	568
1798	Both	837	637
1818	Both	817	620
1838	Both	826	573
1858	Both	822	572
1878	Both	845	598
1898	Both	843	582
1918	Both	824	596
1938	Both	823	600
1958	Both	823	627
1978	Both	816	602
1998	Both	834	605
2017	Both	842	581
2037	Both	817	574
2057	Both	839	582
2077	Both	831	575
2097	Both	861	558
2117	Both	852	589
2137	Both	831	639
2157	Both	838	613
2177	Both	830	624
2197	Both	852	565
2217	Both	838	574
2237	Both	828	607
2257	Both	832	582
2277	Both	847	581
2297	Both	843	598
2317	Both	846	625
2337	Both	842	571
2356	Both	840	538
2376	Both	842	578
2396	Both	810	546
2416	Both	854	602
2436	Both	866	576
2456	Both	834	581
2476	Both	863	554
2496	Both	860	519
2516	Both	874	606
2536	Both	849	592
2556	Both	852	576
2576	Both	846	552
2596	Both	846	583
2616	Both	848	561
2636	Both	859	559
2655	Both	859	578
2675	Both	853	548
2695	Both	859	576
2715	Both	852	600
2735	Both	856	576
2755	Both	862	576
2775	Both	800	599
2795	Both	688	476
2815	Both	826	619
2835	Both	836	563
2855	Both	841	637
2875	Both	841	620
2895	Both	832	593
2915	Both	833	565
2935	Both	858	562
2955	Both	821	607
2974	Both	821	555
2994	Both	853	564
3014	Both	837	574
3034	Both	834	608
3054	Both	840	550
3074	Both	843	555
3094	Both	846	592
3114	Both	860	583
3134	Both	840	599
3154	Both	836	566
3174	Both	859	555
3194	Both	837	583
3214	Both	835	563
3234	LeftOnly	891	595
3254	Both	815	589
3274	Both	820	579
3293	Both	796	591
3314	Both	836	570
3333	RightOnly	768	563
3353	LeftOnly	871	622
3373	Both	838	533
3393	Both	827	589
3413	Both	828	539
3433	Both	836	428
3453	Both	798	421
3473	Both	849	403
3493	Both	833	425
3513	Both	829	456
3533	Both	814	404
3553	Both	841	380
3573	Both	824	429
3593	Both	834	388
3612	Both	834	434
3632	Both	804	433
3652	Both	819	423
3672	Both	836	434
3692	Both	814	446
3712	Both	824	439
3732	LeftOnly	910	370
3752	Both	834	426
3772	Both	814	430
3792	Both	823	423
3812	Both	824	418
3832	Both	834	418
3852	LeftOnly	896	420
3872	Both	820	430
3892	Both	829	398
3912	Both	847	460
3931	Both	818	427
3951	Both	867	406
3971	Both	818	432
3991	Both	840	436
4011	Both	840	411
4031	Both	834	481
4051	Both	809	462
4071	Both	862	526
4091	Both	850	557
4111	Both	848	557
4131	Both	835	548
4151	Both	833	574
4171	Both	849	521
4191	Both	835	540
4211	Both	815	571
4231	Both	833	573
4250	Both	843	585
4270	LeftOnly	901	600
4290	Both	849	587
4310	Both	819	610
4330	Both	816	578
4350	Both	825	619
4370	Both	838	573
4390	Both	817	577
4410	Both	814	558
4430	Both	849	573
4450	Both	834	519
4470	Both	846	549
4490	Both	817	569
4510	Both	820	595
4530	Both	848	547
4550	Both	858	584
4569	Both	803	608
4589	Both	826	598
4609	Both	839	576
4629	Both	833	580
4649	Both	840	589
4669	Both	848	551
4689	Both	833	609
4709	Both	822	587
4729	Both	836	553
4749	Both	840	604
4769	Both	836	606
4789	Both	844	591
4809	Both	845	579
4829	Both	825	607
4849	Both	832	567
4868	Both	833	614
4888	Both	842	588
4908	Both	846	588
4928	LeftOnly	866	599
4948	Both	847	592
4968	Both	828	599
4988	Both	834	605
5008	Both	833	585
5028	Both	831	563
5048	Both	672	462
5068	Both	824	601
5088	Both	849	608
5108	Both	844	554
5128	Both	830	561
5148	Both	829	585
5168	Both	826	579
5188	Both	826	593
5207	Both	839	601
5227	Both	839	581
5247	Both	826	607
5267	Both	679	454
5287	Both	839	613
5307	Both	829	591
5327	Both	848	588
5347	Both	852	626
5367	Both	841	594
5387	Both	839	574
5407	Both	838	584
5427	Both	830	592
5447	Both	835	580
5467	LeftOnly	874	600
5487	Both	861	591
5506	Both	846	622
5526	Both	838	587
5546	Both	834	600
5566	Both	814	615
5586	Both	845	579
5606	Both	826	565
5626	Both	840	588
5646	Both	794	522
5666	Both	822	604
5686	Both	838	589
5706	Both	832	586
5726	Both	811	561
5746	Both	837	592
5766	Both	837	578
5786	Both	816	563
5806	Both	836	608
5825	Both	833	587
5845	Both	832	559
5865	Both	832	604
5885	Both	837	574
5905	Both	832	565
5925	Both	831	603
5945	Both	824	561
5965	Both	822	612
5985	Both	833	610
6005	Both	834	568
6025	Both	789	655
6045	Both	836	589
6065	Both	811	619
6085	Both	811	608
6105	Both	806	582
6125	Both	837	578
