Data properties:
 
Recording date: 9/11/2008
Recording time : 10:45:54:089 (corresponds to time 0)
Study: Alasdair SD
Subject: AlasdairClarke
Recording: AC14
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Timestamp	Found	GazepointX	GazepointY
 
16	None	-1600	-1200
36	None	-1600	-1200
56	None	-1600	-1200
76	Both	841	636
96	Both	820	608
116	Both	846	600
136	Both	834	624
156	Both	861	587
176	Both	858	664
196	Both	846	609
216	Both	839	603
235	Both	846	582
255	Both	852	597
275	Both	797	644
295	Both	812	619
315	Both	797	591
335	Both	816	644
355	Both	803	618
375	Both	803	614
395	Both	817	633
415	Both	811	602
435	Both	809	587
455	Both	819	612
475	Both	820	583
495	Both	810	612
515	Both	797	598
535	Both	814	581
554	Both	816	610
574	Both	823	622
594	Both	806	624
614	Both	818	568
634	Both	833	603
654	Both	820	591
674	Both	812	606
694	Both	816	584
714	Both	840	561
734	Both	827	599
754	Both	854	601
774	Both	811	586
794	Both	800	558
814	Both	818	603
834	Both	814	570
854	Both	777	593
873	Both	840	610
893	Both	805	624
913	Both	812	608
933	Both	810	582
953	Both	826	598
973	Both	815	590
993	Both	822	620
1013	Both	813	620
1033	Both	804	592
1053	Both	815	603
1073	Both	823	599
1093	Both	804	546
1113	Both	807	585
1133	Both	792	641
1153	Both	813	594
1173	Both	796	585
1192	Both	809	598
1212	Both	804	607
1232	Both	802	584
1252	Both	831	572
1272	Both	817	591
1292	Both	830	603
1312	Both	816	574
1332	Both	830	573
1352	Both	812	620
1372	Both	790	600
1392	Both	812	610
1412	Both	813	594
1432	Both	801	583
1452	Both	796	621
1472	Both	822	578
1492	Both	816	596
1512	Both	819	596
1531	Both	797	594
1551	Both	809	571
1571	Both	806	609
1591	Both	811	578
1611	Both	821	589
1631	Both	815	573
1651	Both	820	602
1671	Both	824	626
1691	Both	820	572
1711	Both	795	584
1731	Both	835	560
1751	Both	810	594
1771	Both	830	604
1791	Both	825	602
1811	Both	830	594
1830	Both	786	588
1850	Both	794	585
1870	Both	799	628
1890	Both	801	628
1910	Both	823	622
1930	Both	810	605
1950	Both	819	598
1970	Both	804	592
1990	Both	808	635
2010	Both	827	589
2030	Both	811	623
2050	Both	798	612
2070	Both	792	642
2090	Both	803	636
2110	Both	810	619
2130	Both	812	625
2149	Both	805	641
2169	Both	820	609
2189	Both	815	638
2209	Both	805	643
2229	Both	812	633
2249	Both	812	653
2269	Both	805	639
2289	Both	812	582
2309	Both	826	647
2329	Both	836	577
2349	Both	829	661
2369	Both	822	616
2389	Both	832	592
2409	Both	821	649
2429	Both	818	621
2449	Both	812	643
2468	Both	820	660
2488	Both	821	646
2508	Both	815	643
2528	Both	812	650
2548	Both	818	631
2568	Both	811	658
2588	Both	816	629
2608	Both	804	639
2628	Both	817	630
2648	Both	822	678
2668	Both	827	621
2688	Both	811	663
2708	Both	822	656
2728	Both	801	659
2748	Both	824	590
2768	Both	818	617
2787	Both	825	617
2807	Both	826	602
2827	Both	806	608
2847	Both	820	609
2867	Both	817	608
2887	Both	820	616
2907	Both	818	603
2927	Both	799	625
2947	Both	807	585
2967	Both	830	607
2987	Both	816	641
3007	Both	811	594
3027	Both	955	495
3047	Both	994	530
3067	Both	807	622
3087	Both	817	619
3106	Both	799	600
3126	Both	812	600
3146	Both	781	571
3166	Both	805	595
3186	Both	803	627
3206	Both	809	578
3226	Both	817	582
3246	Both	810	617
3266	Both	804	595
3286	Both	802	609
3306	Both	779	607
3326	Both	828	584
3346	Both	818	648
3366	Both	794	611
3386	Both	783	623
3406	Both	793	636
3425	Both	801	635
3445	Both	799	611
3465	Both	816	665
3485	Both	804	655
3505	Both	791	636
3525	Both	804	632
3545	Both	804	666
3565	Both	809	675
3585	Both	801	641
3605	Both	832	638
3625	Both	824	630
3645	Both	809	620
3665	Both	788	662
3685	Both	812	659
3705	Both	823	644
3725	Both	804	626
3744	Both	805	618
3764	Both	801	631
3784	Both	802	588
3804	Both	820	597
3824	Both	821	584
3844	Both	810	589
3864	Both	825	591
3884	Both	831	558
3904	Both	823	609
3924	Both	824	603
3944	RightOnly	1409	698
3964	None	-1600	-1200
3984	None	-1600	-1200
4004	None	-1600	-1200
