Data properties:
 
Recording date: 9/8/2008
Recording time : 14:53:59:431 (corresponds to time 0)
Study: Alasdair SD
Subject: AlasdairClarke
Recording: Part 5
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Timestamp	Found	GazepointX	GazepointY
 
3	None	-1600	-1200
23	None	-1600	-1200
43	None	-1600	-1200
63	None	-1600	-1200
83	Both	999	735
103	Both	1003	666
123	Both	1018	708
143	Both	1012	712
163	Both	1003	742
183	Both	1016	713
203	Both	981	717
222	Both	1016	729
242	Both	888	685
262	Both	841	630
282	Both	840	643
302	Both	854	600
322	Both	838	587
342	Both	822	574
362	Both	825	597
382	Both	827	593
402	Both	814	584
422	Both	831	590
442	Both	829	547
462	Both	788	589
482	Both	782	545
502	Both	772	565
522	Both	815	559
542	Both	815	597
561	Both	797	607
581	Both	796	603
601	Both	808	571
621	Both	795	586
641	Both	790	567
661	Both	807	594
681	Both	807	596
701	Both	804	580
721	Both	798	565
741	Both	790	587
761	Both	785	582
781	Both	803	549
801	Both	800	574
821	Both	792	620
841	Both	793	621
860	Both	814	613
880	RightOnly	797	841
900	None	-1600	-1200
920	None	-1600	-1200
940	None	-1600	-1200
960	None	-1600	-1200
980	RightOnly	878	666
1000	Both	857	566
1020	Both	820	653
1040	Both	813	627
1060	Both	822	611
1080	Both	797	578
1100	Both	808	557
1120	Both	808	570
1140	Both	814	559
1160	Both	810	586
1180	Both	806	584
1199	Both	823	563
1219	Both	822	561
1239	Both	764	582
1259	Both	789	557
1279	Both	798	584
1299	Both	781	597
1319	Both	776	557
1339	Both	779	555
1359	Both	796	575
1379	Both	790	579
1399	Both	1195	685
1419	Both	1442	761
1439	Both	1441	757
1459	Both	1413	803
1479	Both	1433	778
1499	Both	1415	780
1518	Both	1414	818
1538	Both	1389	791
1558	Both	1072	596
1578	Both	784	594
1598	Both	802	591
1618	Both	795	621
1638	Both	798	553
1658	Both	799	560
1678	Both	797	544
1698	Both	804	598
1718	Both	801	556
1738	Both	802	590
1758	Both	807	582
1778	Both	811	570
1798	Both	768	560
1817	Both	780	591
1837	Both	791	583
1857	Both	783	562
1877	Both	808	580
1897	Both	791	596
1917	Both	791	566
1937	Both	802	582
1957	Both	800	572
1977	Both	811	587
1997	Both	816	577
2017	Both	788	558
2037	Both	806	547
2057	Both	796	577
2077	Both	792	569
2097	Both	812	584
2117	Both	793	567
2136	Both	825	546
2156	Both	805	584
2176	Both	791	566
2196	Both	804	588
2216	Both	782	549
2236	Both	814	556
2256	Both	808	551
2276	Both	806	557
2296	Both	805	566
2316	Both	783	557
2336	Both	796	572
2356	Both	818	547
2376	Both	790	569
2396	Both	807	560
2416	Both	828	574
2436	Both	801	540
2456	Both	804	587
2475	Both	816	573
2495	Both	802	598
2515	Both	815	575
2535	Both	807	576
2555	Both	784	558
2575	Both	804	562
2595	Both	812	590
2615	Both	789	579
2635	Both	818	542
2655	Both	801	545
2675	Both	785	589
2695	Both	767	526
2715	Both	788	582
2735	Both	792	568
2755	Both	787	598
2774	Both	808	584
2794	Both	798	585
2814	Both	789	543
2834	Both	807	565
2854	Both	807	569
2874	Both	777	589
2894	Both	796	553
2914	Both	767	597
2934	Both	793	563
2954	Both	811	561
2974	Both	787	584
2994	Both	774	554
3014	Both	781	538
3034	Both	787	594
3054	Both	788	586
3074	Both	794	555
3093	Both	800	577
3113	Both	806	543
3133	Both	787	612
3153	Both	792	572
3173	Both	796	599
3193	Both	780	580
3213	Both	801	580
