Data properties:
 
Recording date: 9/10/2008
Recording time : 9:51:06:613 (corresponds to time 0)
Study: Alasdair SD
Subject: AlasdairClarke
Recording: AC8
Screen resolution: 1600 x 1200
Coordinate unit: Pixels
 
 
Timestamp	Found	GazepointX	GazepointY
 
10	None	-1600	-1200
30	None	-1600	-1200
50	None	-1600	-1200
69	Both	857	602
89	Both	841	600
109	Both	852	583
129	Both	839	597
149	Both	854	599
169	Both	860	581
189	Both	826	545
209	Both	820	601
229	Both	855	586
249	LeftOnly	833	624
269	Both	828	528
289	Both	841	578
309	Both	821	580
329	Both	820	614
349	Both	825	595
368	Both	819	601
388	Both	820	614
408	Both	808	581
428	Both	793	571
448	Both	813	582
468	Both	807	567
488	Both	792	563
508	Both	816	572
528	Both	823	576
548	Both	819	572
568	Both	812	567
588	Both	814	598
608	Both	815	612
628	Both	799	573
648	Both	818	568
668	Both	802	566
687	Both	787	621
707	Both	781	607
727	Both	814	586
747	Both	804	559
767	Both	788	561
787	Both	804	553
807	Both	791	563
827	Both	803	551
847	Both	800	560
867	Both	795	562
887	Both	798	567
907	Both	801	584
927	Both	794	571
947	Both	803	583
967	Both	813	603
987	Both	794	557
1006	Both	812	549
1026	Both	816	569
1046	Both	803	573
1066	Both	810	583
1086	Both	822	637
1106	Both	789	580
1126	Both	774	569
1146	Both	788	577
1166	Both	805	594
1186	Both	787	598
1206	Both	791	596
1226	Both	782	610
1246	Both	776	618
1266	Both	792	658
1286	Both	775	598
1306	Both	792	697
1325	Both	801	626
1345	Both	779	651
1365	Both	803	635
1385	Both	776	639
1405	Both	805	642
1425	Both	792	623
1445	Both	781	599
1465	Both	805	651
1485	Both	781	636
1505	Both	814	639
1525	Both	790	624
1545	Both	795	617
1565	Both	815	652
1585	Both	778	691
1605	Both	789	633
1625	Both	825	669
1644	Both	775	682
1664	Both	787	653
1684	Both	784	647
1704	Both	798	655
1724	Both	809	650
1744	Both	788	679
1764	Both	804	623
1784	Both	784	636
1804	Both	797	588
1824	Both	767	592
1844	Both	780	614
1864	Both	782	582
1884	Both	786	591
1904	Both	785	583
1924	Both	768	554
1944	Both	781	570
1963	Both	771	598
1983	Both	766	624
2003	Both	786	624
2023	Both	786	570
2043	Both	784	619
2063	Both	791	602
2083	Both	787	566
2103	Both	785	602
2123	Both	768	565
2143	Both	769	581
2163	Both	786	559
2183	Both	777	561
2203	Both	796	587
2223	Both	788	564
2243	Both	790	571
2262	Both	797	571
2282	Both	795	585
2302	Both	798	570
2322	Both	787	600
2342	Both	774	587
2362	Both	761	578
2382	Both	803	582
2402	Both	765	595
2422	Both	802	585
2442	Both	792	574
2462	Both	777	598
2482	Both	787	612
2502	Both	770	589
2522	Both	788	576
2542	Both	811	567
