obs, beta, r, phi, acc 
1, 1.000000, 1, 1, 0.125000 
1, 1.000000, 1, 2, 0.181818 
1, 1.000000, 1, 3, 0.800000 
1, 1.000000, 1, 4, 0.900000 
1, 1.000000, 1, 5, 0.166667 
1, 1.000000, 1, 6, 0.500000 
1, 1.000000, 1, 7, 0.625000 
1, 1.000000, 1, 8, 0.625000 
1, 1.000000, 2, 1, 0.000000 
1, 1.000000, 2, 2, 0.222222 
1, 1.000000, 2, 3, 0.000000 
1, 1.000000, 2, 4, 0.000000 
1, 1.000000, 2, 5, 0.250000 
1, 1.000000, 2, 6, 0.285714 
1, 1.000000, 2, 7, 0.333333 
1, 1.000000, 2, 8, 0.000000 
1, 1.000000, 3, 1, 0.200000 
1, 1.000000, 3, 2, 0.000000 
1, 1.000000, 3, 3, 0.363636 
1, 1.000000, 3, 4, 0.111111 
1, 1.000000, 3, 5, 0.000000 
1, 1.000000, 3, 6, 0.083333 
1, 1.000000, 3, 7, 0.222222 
1, 1.000000, 3, 8, 0.000000 
1, 1.000000, 4, 1, 0.000000 
1, 1.000000, 4, 2, 0.250000 
1, 1.000000, 4, 3, 0.000000 
1, 1.000000, 4, 4, 0.000000 
1, 1.000000, 4, 5, 0.200000 
1, 1.000000, 4, 6, 0.000000 
1, 1.000000, 4, 7, 0.300000 
1, 1.000000, 4, 8, 0.285714 
1, 1.000000, 5, 1, 0.000000 
1, 1.000000, 5, 2, 0.000000 
1, 1.000000, 5, 3, 0.100000 
1, 1.000000, 5, 4, 0.125000 
1, 1.000000, 5, 5, 0.111111 
1, 1.000000, 5, 6, 0.090909 
1, 1.000000, 5, 7, 0.000000 
1, 1.000000, 5, 8, 0.000000 
1, 1.000000, 6, 1, 0.125000 
1, 1.000000, 6, 2, 0.000000 
1, 1.000000, 6, 3, 0.100000 
1, 1.000000, 6, 4, 0.090909 
1, 1.000000, 6, 5, 0.000000 
1, 1.000000, 6, 6, 0.000000 
1, 1.000000, 6, 7, 0.125000 
1, 1.000000, 6, 8, 0.000000 
1, 1.000000, 7, 1, 0.000000 
1, 1.000000, 7, 2, 0.000000 
1, 1.000000, 7, 3, 0.111111 
1, 1.000000, 7, 4, 0.000000 
1, 1.000000, 7, 5, 0.222222 
1, 1.000000, 7, 6, 0.000000 
1, 1.000000, 7, 7, 0.000000 
1, 1.000000, 7, 8, 0.000000 
1, 1.000000, 8, 1, 0.000000 
1, 1.000000, 8, 2, 0.000000 
1, 1.000000, 8, 3, 0.100000 
1, 1.000000, 8, 4, 0.000000 
1, 1.000000, 8, 5, 0.000000 
1, 1.000000, 8, 6, 0.000000 
1, 1.000000, 8, 7, 0.111111 
1, 1.000000, 8, 8, 0.000000 
1, 1.000000, 9, 1, 0.000000 
1, 1.000000, 9, 2, 0.000000 
1, 1.000000, 9, 3, 0.083333 
1, 1.000000, 9, 4, 0.222222 
1, 1.000000, 9, 5, 0.100000 
1, 1.000000, 9, 6, 0.000000 
1, 1.000000, 9, 7, 0.000000 
1, 1.000000, 9, 8, 0.000000 
1, 2.000000, 1, 1, 0.714286 
1, 2.000000, 1, 2, 0.888889 
1, 2.000000, 1, 3, 0.666667 
1, 2.000000, 1, 4, 1.000000 
1, 2.000000, 1, 5, 0.300000 
1, 2.000000, 1, 6, 0.727273 
1, 2.000000, 1, 7, 0.666667 
1, 2.000000, 1, 8, 0.888889 
1, 2.000000, 2, 1, 0.125000 
1, 2.000000, 2, 2, 0.400000 
1, 2.000000, 2, 3, 0.222222 
1, 2.000000, 2, 4, 1.000000 
1, 2.000000, 2, 5, 0.900000 
1, 2.000000, 2, 6, 0.444444 
1, 2.000000, 2, 7, 0.444444 
1, 2.000000, 2, 8, 0.888889 
1, 2.000000, 3, 1, 0.444444 
1, 2.000000, 3, 2, 0.500000 
1, 2.000000, 3, 3, 0.888889 
1, 2.000000, 3, 4, 0.545455 
1, 2.000000, 3, 5, 0.700000 
1, 2.000000, 3, 6, 0.500000 
1, 2.000000, 3, 7, 0.600000 
1, 2.000000, 3, 8, 0.250000 
1, 2.000000, 4, 1, 0.285714 
1, 2.000000, 4, 2, 0.111111 
1, 2.000000, 4, 3, 0.800000 
1, 2.000000, 4, 4, 0.000000 
1, 2.000000, 4, 5, 0.500000 
1, 2.000000, 4, 6, 0.111111 
1, 2.000000, 4, 7, 0.625000 
1, 2.000000, 4, 8, 0.333333 
1, 2.000000, 5, 1, 0.444444 
1, 2.000000, 5, 2, 0.200000 
1, 2.000000, 5, 3, 0.700000 
1, 2.000000, 5, 4, 0.200000 
1, 2.000000, 5, 5, 0.545455 
1, 2.000000, 5, 6, 0.166667 
1, 2.000000, 5, 7, 0.400000 
1, 2.000000, 5, 8, 0.250000 
1, 2.000000, 6, 1, 0.222222 
1, 2.000000, 6, 2, 0.111111 
1, 2.000000, 6, 3, 0.600000 
1, 2.000000, 6, 4, 0.444444 
1, 2.000000, 6, 5, 0.375000 
1, 2.000000, 6, 6, 0.375000 
1, 2.000000, 6, 7, 0.444444 
1, 2.000000, 6, 8, 0.125000 
1, 2.000000, 7, 1, 0.000000 
1, 2.000000, 7, 2, 0.125000 
1, 2.000000, 7, 3, 0.222222 
1, 2.000000, 7, 4, 0.100000 
1, 2.000000, 7, 5, 0.222222 
1, 2.000000, 7, 6, 0.111111 
1, 2.000000, 7, 7, 0.285714 
1, 2.000000, 7, 8, 0.000000 
1, 2.000000, 8, 1, 0.000000 
1, 2.000000, 8, 2, 0.000000 
1, 2.000000, 8, 3, 0.000000 
1, 2.000000, 8, 4, 0.000000 
1, 2.000000, 8, 5, 0.125000 
1, 2.000000, 8, 6, 0.333333 
1, 2.000000, 8, 7, 0.125000 
1, 2.000000, 8, 8, 0.000000 
1, 2.000000, 9, 1, 0.000000 
1, 2.000000, 9, 2, 0.100000 
1, 2.000000, 9, 3, 0.142857 
1, 2.000000, 9, 4, 0.000000 
1, 2.000000, 9, 5, 0.111111 
1, 2.000000, 9, 6, 0.000000 
1, 2.000000, 9, 7, 0.000000 
1, 2.000000, 9, 8, 0.100000 
1, 3.000000, 1, 1, 1.000000 
1, 3.000000, 1, 2, 0.875000 
1, 3.000000, 1, 3, 0.714286 
1, 3.000000, 1, 4, 1.000000 
1, 3.000000, 1, 5, 0.700000 
1, 3.000000, 1, 6, 1.000000 
1, 3.000000, 1, 7, 0.900000 
1, 3.000000, 1, 8, 1.000000 
1, 3.000000, 2, 1, 0.500000 
1, 3.000000, 2, 2, 0.818182 
1, 3.000000, 2, 3, 0.875000 
1, 3.000000, 2, 4, 1.000000 
1, 3.000000, 2, 5, 1.000000 
1, 3.000000, 2, 6, 1.000000 
1, 3.000000, 2, 7, 0.700000 
1, 3.000000, 2, 8, 0.875000 
1, 3.000000, 3, 1, 0.666667 
1, 3.000000, 3, 2, 0.888889 
1, 3.000000, 3, 3, 0.666667 
1, 3.000000, 3, 4, 0.857143 
1, 3.000000, 3, 5, 0.888889 
1, 3.000000, 3, 6, 0.888889 
1, 3.000000, 3, 7, 1.000000 
1, 3.000000, 3, 8, 0.750000 
1, 3.000000, 4, 1, 0.555556 
1, 3.000000, 4, 2, 0.250000 
1, 3.000000, 4, 3, 0.900000 
1, 3.000000, 4, 4, 0.333333 
1, 3.000000, 4, 5, 0.333333 
1, 3.000000, 4, 6, 0.500000 
1, 3.000000, 4, 7, 0.666667 
1, 3.000000, 4, 8, 0.625000 
1, 3.000000, 5, 1, 0.300000 
1, 3.000000, 5, 2, 0.500000 
1, 3.000000, 5, 3, 0.750000 
1, 3.000000, 5, 4, 0.400000 
1, 3.000000, 5, 5, 0.714286 
1, 3.000000, 5, 6, 0.400000 
1, 3.000000, 5, 7, 0.250000 
1, 3.000000, 5, 8, 0.700000 
1, 3.000000, 6, 1, 0.222222 
1, 3.000000, 6, 2, 0.500000 
1, 3.000000, 6, 3, 0.700000 
1, 3.000000, 6, 4, 0.500000 
1, 3.000000, 6, 5, 0.250000 
1, 3.000000, 6, 6, 0.444444 
1, 3.000000, 6, 7, 0.636364 
1, 3.000000, 6, 8, 0.222222 
1, 3.000000, 7, 1, 0.000000 
1, 3.000000, 7, 2, 0.285714 
1, 3.000000, 7, 3, 0.500000 
1, 3.000000, 7, 4, 0.444444 
1, 3.000000, 7, 5, 0.666667 
1, 3.000000, 7, 6, 0.375000 
1, 3.000000, 7, 7, 0.300000 
1, 3.000000, 7, 8, 0.200000 
1, 3.000000, 8, 1, 0.000000 
1, 3.000000, 8, 2, 0.181818 
1, 3.000000, 8, 3, 0.333333 
1, 3.000000, 8, 4, 0.000000 
1, 3.000000, 8, 5, 0.500000 
1, 3.000000, 8, 6, 0.000000 
1, 3.000000, 8, 7, 0.100000 
1, 3.000000, 8, 8, 0.125000 
1, 3.000000, 9, 1, 0.111111 
1, 3.000000, 9, 2, 0.100000 
1, 3.000000, 9, 3, 0.111111 
1, 3.000000, 9, 4, 0.636364 
1, 3.000000, 9, 5, 0.333333 
1, 3.000000, 9, 6, 0.100000 
1, 3.000000, 9, 7, 0.142857 
1, 3.000000, 9, 8, 0.000000 
2, 1.000000, 1, 1, 0.142857 
2, 1.000000, 1, 2, 1.000000 
2, 1.000000, 1, 3, 0.285714 
2, 1.000000, 1, 4, 1.000000 
2, 1.000000, 1, 5, 0.500000 
2, 1.000000, 1, 6, 0.888889 
2, 1.000000, 1, 7, 0.333333 
2, 1.000000, 1, 8, 0.666667 
2, 1.000000, 2, 1, 0.250000 
2, 1.000000, 2, 2, 0.428571 
2, 1.000000, 2, 3, 0.142857 
2, 1.000000, 2, 4, 0.250000 
2, 1.000000, 2, 5, 0.555556 
2, 1.000000, 2, 6, 0.500000 
2, 1.000000, 2, 7, 0.300000 
2, 1.000000, 2, 8, 0.250000 
2, 1.000000, 3, 1, 0.166667 
2, 1.000000, 3, 2, 0.000000 
2, 1.000000, 3, 3, 0.333333 
2, 1.000000, 3, 4, 0.500000 
2, 1.000000, 3, 5, 0.222222 
2, 1.000000, 3, 6, 0.500000 
2, 1.000000, 3, 7, 0.285714 
2, 1.000000, 3, 8, 0.333333 
2, 1.000000, 4, 1, 0.000000 
2, 1.000000, 4, 2, 0.250000 
2, 1.000000, 4, 3, 0.083333 
2, 1.000000, 4, 4, 0.250000 
2, 1.000000, 4, 5, 0.400000 
2, 1.000000, 4, 6, 0.200000 
2, 1.000000, 4, 7, 0.375000 
2, 1.000000, 4, 8, 0.333333 
2, 1.000000, 5, 1, 0.111111 
2, 1.000000, 5, 2, 0.142857 
2, 1.000000, 5, 3, 0.181818 
2, 1.000000, 5, 4, 0.250000 
2, 1.000000, 5, 5, 0.428571 
2, 1.000000, 5, 6, 0.100000 
2, 1.000000, 5, 7, 0.333333 
2, 1.000000, 5, 8, 0.000000 
2, 1.000000, 6, 1, 0.142857 
2, 1.000000, 6, 2, 0.000000 
2, 1.000000, 6, 3, 0.100000 
2, 1.000000, 6, 4, 0.111111 
2, 1.000000, 6, 5, 0.125000 
2, 1.000000, 6, 6, 0.000000 
2, 1.000000, 6, 7, 0.000000 
2, 1.000000, 6, 8, 0.000000 
2, 1.000000, 7, 1, 0.000000 
2, 1.000000, 7, 2, 0.100000 
2, 1.000000, 7, 3, 0.000000 
2, 1.000000, 7, 4, 0.090909 
2, 1.000000, 7, 5, 0.111111 
2, 1.000000, 7, 6, 0.000000 
2, 1.000000, 7, 7, 0.000000 
2, 1.000000, 7, 8, 0.000000 
2, 1.000000, 8, 1, 0.222222 
2, 1.000000, 8, 2, 0.125000 
2, 1.000000, 8, 3, 0.000000 
2, 1.000000, 8, 4, 0.125000 
2, 1.000000, 8, 5, 0.111111 
2, 1.000000, 8, 6, 0.125000 
2, 1.000000, 8, 7, 0.000000 
2, 1.000000, 8, 8, 0.000000 
2, 1.000000, 9, 1, 0.250000 
2, 1.000000, 9, 2, 0.166667 
2, 1.000000, 9, 3, 0.000000 
2, 1.000000, 9, 4, 0.111111 
2, 1.000000, 9, 5, 0.111111 
2, 1.000000, 9, 6, 0.166667 
2, 1.000000, 9, 7, 0.333333 
2, 1.000000, 9, 8, 0.125000 
2, 2.000000, 1, 1, 0.700000 
2, 2.000000, 1, 2, 0.875000 
2, 2.000000, 1, 3, 0.777778 
2, 2.000000, 1, 4, 1.000000 
2, 2.000000, 1, 5, 0.625000 
2, 2.000000, 1, 6, 0.888889 
2, 2.000000, 1, 7, 0.600000 
2, 2.000000, 1, 8, 0.777778 
2, 2.000000, 2, 1, 0.400000 
2, 2.000000, 2, 2, 0.666667 
2, 2.000000, 2, 3, 0.400000 
2, 2.000000, 2, 4, 0.800000 
2, 2.000000, 2, 5, 0.625000 
2, 2.000000, 2, 6, 0.800000 
2, 2.000000, 2, 7, 0.857143 
2, 2.000000, 2, 8, 0.571429 
2, 2.000000, 3, 1, 0.600000 
2, 2.000000, 3, 2, 0.333333 
2, 2.000000, 3, 3, 0.571429 
2, 2.000000, 3, 4, 0.444444 
2, 2.000000, 3, 5, 0.625000 
2, 2.000000, 3, 6, 0.875000 
2, 2.000000, 3, 7, 0.777778 
2, 2.000000, 3, 8, 0.333333 
2, 2.000000, 4, 1, 0.142857 
2, 2.000000, 4, 2, 0.250000 
2, 2.000000, 4, 3, 0.666667 
2, 2.000000, 4, 4, 0.200000 
2, 2.000000, 4, 5, 0.142857 
2, 2.000000, 4, 6, 0.625000 
2, 2.000000, 4, 7, 0.750000 
2, 2.000000, 4, 8, 0.100000 
2, 2.000000, 5, 1, 0.000000 
2, 2.000000, 5, 2, 0.100000 
2, 2.000000, 5, 3, 0.333333 
2, 2.000000, 5, 4, 0.000000 
2, 2.000000, 5, 5, 0.333333 
2, 2.000000, 5, 6, 0.571429 
2, 2.000000, 5, 7, 0.125000 
2, 2.000000, 5, 8, 0.000000 
2, 2.000000, 6, 1, 0.000000 
2, 2.000000, 6, 2, 0.000000 
2, 2.000000, 6, 3, 0.333333 
2, 2.000000, 6, 4, 0.333333 
2, 2.000000, 6, 5, 0.125000 
2, 2.000000, 6, 6, 0.000000 
2, 2.000000, 6, 7, 0.000000 
2, 2.000000, 6, 8, 0.000000 
2, 2.000000, 7, 1, 0.000000 
2, 2.000000, 7, 2, 0.000000 
2, 2.000000, 7, 3, 0.000000 
2, 2.000000, 7, 4, 0.000000 
2, 2.000000, 7, 5, 0.000000 
2, 2.000000, 7, 6, 0.500000 
2, 2.000000, 7, 7, 0.333333 
2, 2.000000, 7, 8, 0.000000 
2, 2.000000, 8, 1, 0.000000 
2, 2.000000, 8, 2, 0.000000 
2, 2.000000, 8, 3, 0.000000 
2, 2.000000, 8, 4, 0.125000 
2, 2.000000, 8, 5, 0.000000 
2, 2.000000, 8, 6, 0.000000 
2, 2.000000, 8, 7, 0.200000 
2, 2.000000, 8, 8, 0.100000 
2, 2.000000, 9, 1, 0.000000 
2, 2.000000, 9, 2, 0.000000 
2, 2.000000, 9, 3, 0.222222 
2, 2.000000, 9, 4, 0.142857 
2, 2.000000, 9, 5, 0.000000 
2, 2.000000, 9, 6, 0.000000 
2, 2.000000, 9, 7, 0.111111 
2, 2.000000, 9, 8, 0.000000 
2, 3.000000, 1, 1, 0.800000 
2, 3.000000, 1, 2, 1.000000 
2, 3.000000, 1, 3, 0.800000 
2, 3.000000, 1, 4, 1.000000 
2, 3.000000, 1, 5, 0.875000 
2, 3.000000, 1, 6, 1.000000 
2, 3.000000, 1, 7, 1.000000 
2, 3.000000, 1, 8, 1.000000 
2, 3.000000, 2, 1, 0.444444 
2, 3.000000, 2, 2, 0.900000 
2, 3.000000, 2, 3, 0.666667 
2, 3.000000, 2, 4, 1.000000 
2, 3.000000, 2, 5, 1.000000 
2, 3.000000, 2, 6, 1.000000 
2, 3.000000, 2, 7, 0.777778 
2, 3.000000, 2, 8, 0.857143 
2, 3.000000, 3, 1, 0.500000 
2, 3.000000, 3, 2, 0.909091 
2, 3.000000, 3, 3, 0.888889 
2, 3.000000, 3, 4, 0.800000 
2, 3.000000, 3, 5, 1.000000 
2, 3.000000, 3, 6, 0.714286 
2, 3.000000, 3, 7, 0.750000 
2, 3.000000, 3, 8, 0.666667 
2, 3.000000, 4, 1, 0.333333 
2, 3.000000, 4, 2, 0.750000 
2, 3.000000, 4, 3, 0.875000 
2, 3.000000, 4, 4, 0.666667 
2, 3.000000, 4, 5, 0.750000 
2, 3.000000, 4, 6, 0.777778 
2, 3.000000, 4, 7, 0.625000 
2, 3.000000, 4, 8, 0.375000 
2, 3.000000, 5, 1, 0.100000 
2, 3.000000, 5, 2, 0.166667 
2, 3.000000, 5, 3, 0.571429 
2, 3.000000, 5, 4, 0.125000 
2, 3.000000, 5, 5, 0.222222 
2, 3.000000, 5, 6, 0.500000 
2, 3.000000, 5, 7, 0.600000 
2, 3.000000, 5, 8, 0.285714 
2, 3.000000, 6, 1, 0.200000 
2, 3.000000, 6, 2, 0.285714 
2, 3.000000, 6, 3, 0.428571 
2, 3.000000, 6, 4, 0.444444 
2, 3.000000, 6, 5, 0.454545 
2, 3.000000, 6, 6, 0.363636 
2, 3.000000, 6, 7, 0.444444 
2, 3.000000, 6, 8, 0.111111 
2, 3.000000, 7, 1, 0.000000 
2, 3.000000, 7, 2, 0.250000 
2, 3.000000, 7, 3, 0.200000 
2, 3.000000, 7, 4, 0.125000 
2, 3.000000, 7, 5, 0.300000 
2, 3.000000, 7, 6, 0.375000 
2, 3.000000, 7, 7, 0.000000 
2, 3.000000, 7, 8, 0.000000 
2, 3.000000, 8, 1, 0.000000 
2, 3.000000, 8, 2, 0.181818 
2, 3.000000, 8, 3, 0.100000 
2, 3.000000, 8, 4, 0.000000 
2, 3.000000, 8, 5, 0.125000 
2, 3.000000, 8, 6, 0.200000 
2, 3.000000, 8, 7, 0.250000 
2, 3.000000, 8, 8, 0.000000 
2, 3.000000, 9, 1, 0.000000 
2, 3.000000, 9, 2, 0.100000 
2, 3.000000, 9, 3, 0.125000 
2, 3.000000, 9, 4, 0.000000 
2, 3.000000, 9, 5, 0.000000 
2, 3.000000, 9, 6, 0.142857 
2, 3.000000, 9, 7, 0.250000 
2, 3.000000, 9, 8, 0.000000 
