obs, beta, r, phi, resp
1, 1.65, 100, 315, 1
1, 1.60, 400, 225, 0
1, 1.65, 400, 135, 0
1, 1.70, Inf, Inf, 0
1, 1.60, 200, 270, 1
1, 1.60, Inf, Inf, 0
1, 1.70, 400, 180, 1
1, 1.65, 200, 270, 1
1, 1.60, 150, 45, 0
1, 1.65, 450, 270, 0
1, 1.60, 100, 45, 1
1, 1.60, 450, 0, 0
1, 1.65, 450, 135, 0
1, 1.70, 200, 315, 0
1, 1.65, Inf, Inf, 0
1, 1.60, Inf, Inf, 1
1, 1.60, 400, 270, 0
1, 1.65, 250, 315, 1
1, 1.65, 200, 45, 0
1, 1.60, 250, 180, 0
1, 1.60, 100, 225, 0
1, 1.60, 400, 90, 0
1, 1.65, 250, 315, 1
1, 1.65, 350, 90, 1
1, 1.60, 250, 180, 0
1, 1.60, 50, 0, 0
1, 1.70, 400, 45, 0
1, 1.65, 50, 135, 1
1, 1.60, 250, 90, 0
1, 1.70, 100, 45, 1
1, 1.70, Inf, Inf, 0
1, 1.70, 250, 0, 1
1, 1.65, 450, 90, 1
1, 1.60, 100, 180, 1
1, 1.70, 450, 315, 0
1, 1.60, 250, 225, 1
1, 1.60, 450, 135, NaN
1, 1.70, 300, 0, 0
1, 1.65, 150, 270, 1
1, 1.65, 300, 45, 1
1, 1.70, 350, 45, 1
1, 1.70, Inf, Inf, 0
1, 1.65, Inf, Inf, 0
1, 1.70, 300, 270, 1
1, 1.70, 200, 225, 0
1, 1.60, 100, 225, 0
1, 1.70, 350, 45, 0
1, 1.65, 50, 0, 1
1, 1.70, 200, 0, 0
1, 1.70, 200, 225, 1
1, 1.70, 200, 90, 1
1, 1.60, 300, 0, 0
1, 1.70, Inf, Inf, 0
1, 1.60, 100, 90, 0
1, 1.70, 300, 315, 1
1, 1.60, 450, 225, 0
1, 1.70, 250, 90, 1
1, 1.60, 250, 225, 0
1, 1.65, 50, 270, 1
1, 1.60, 100, 0, 0
1, 1.70, 450, 225, 1
1, 1.70, 300, 270, 1
1, 1.60, 150, 270, 0
1, 1.60, 350, 45, 0
1, 1.65, Inf, Inf, 0
1, 1.60, Inf, Inf, 1
1, 1.60, 250, 270, 0
1, 1.70, 350, 135, 1
1, 1.65, Inf, Inf, 0
1, 1.65, 50, 225, 1
1, 1.65, Inf, Inf, 0
1, 1.65, 100, 0, 0
1, 1.65, 50, 180, 1
1, 1.70, Inf, Inf, 0
1, 1.70, Inf, Inf, 0
1, 1.60, 300, 270, 0
1, 1.70, 400, 135, 0
1, 1.70, 50, 0, 1
1, 1.60, 100, 315, 0
1, 1.65, 400, 0, 0
1, 1.65, 300, 225, 1
1, 1.70, 150, 135, 1
1, 1.60, 350, 90, 0
1, 1.70, 50, 180, 1
1, 1.70, 300, 180, 1
1, 1.60, 400, 45, 0
1, 1.70, 400, 180, 1
1, 1.60, 350, 225, 0
1, 1.65, 400, 270, 1
1, 1.70, 400, 180, 1
1, 1.65, 50, 45, 1
1, 1.60, Inf, Inf, 0
1, 1.60, 100, 45, 0
1, 1.60, 250, 225, 0
1, 1.70, Inf, Inf, 0
1, 1.70, 400, 90, 1
1, 1.60, 350, 90, 1
1, 1.60, 250, 0, 0
1, 1.65, 250, 0, 0
1, 1.65, 200, 45, 1
1, 1.60, 450, 90, 0
1, 1.70, 450, 180, 1
1, 1.65, 400, 270, 0
1, 1.70, Inf, Inf, 0
1, 1.65, 250, 0, 1
1, 1.60, 400, 315, 0
1, 1.70, Inf, Inf, 0
1, 1.60, 250, 0, 0
1, 1.70, 300, 135, 0
1, 1.70, 50, 45, 1
1, 1.70, 50, 225, 1
1, 1.60, Inf, Inf, 0
1, 1.65, 250, 135, 1
1, 1.65, 450, 315, 0
1, 1.70, 400, 0, 0
1, 1.70, 450, 45, 0
