participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
2, 134, 1, 1.65, 150, 535, 120, 0.662
2, 135, 1, 1.65, 125, 180, 636, 1.566
2, 136, 1, 1.6, 54, 124, 462, 5.958
2, 137, 1, 1.7, 214, 715, 473, 0.782
2, 138, 1, 1.7, 180, 430, 219, 0.557
2, 139, 1, 1.6, 63, 441, 912, 4.632
2, 140, 1, 1.7, 225, 668, 792, 0.530
2, 141, 1, 1.65, 148, 384, 889, 0.927
2, 142, 1, 1.6, 57, 657, 196, 1.239
2, 143, 1, 1.7, 161, 789, 385, 0.797
2, 144, 1, 1.7, 198, 283, 378, 1.095
2, 145, 1, 1.7, 193, 368, 293, 0.715
2, 146, 1, 1.65, 108, 366, 511, 0.699
2, 147, 1, 1.6, 3, 631, 811, 10.604
2, 148, 1, 1.7, 200, 584, 164, 0.671
2, 149, 1, 1.6, 64, 753, 704, 1.505
2, 150, 1, 1.65, 147, 576, 327, 0.698
2, 151, 1, 1.6, 10, 208, 689, 2.572
2, 152, 1, 1.7, 178, 740, 668, 0.821
2, 153, 1, 1.6, 65, 355, 171, 2.165
2, 154, 1, 1.6, 28, 712, 637, 1.455
2, 155, 1, 1.6, 20, 509, 922, 1.840
2, 156, 1, 1.7, 229, 340, 517, 1.482
2, 157, 1, 1.6, 69, 410, 204, 1.110
2, 158, 1, 1.6, 53, 716, 745, 17.236
2, 159, 1, 1.65, 90, 381, 436, 0.757
2, 160, 1, 1.65, 141, 228, 721, 0.758
2, 161, 1, 1.65, 106, 567, 299, 0.566
2, 162, 1, 1.7, 230, 579, 786, 0.540
2, 163, 1, 1.6, 16, 311, 555, 1.540
2, 164, 1, 1.6, 39, 426, 313, 0.774
2, 165, 1, 1.6, 23, 351, 297, 2.431
2, 166, 0, 1.6, 72, NaN, NaN, -1.000
2, 167, 1, 1.65, 130, 516, 740, 0.770
2, 168, 1, 1.6, 43, 451, 956, 5.385
2, 169, 1, 1.6, 44, 700, 218, 8.779
2, 170, 1, 1.65, 117, 832, 625, 0.963
2, 171, 1, 1.6, 8, 456, 955, -1.000
2, 172, 1, 1.6, 6, 204, 619, 8.939
2, 173, 0, 1.7, 233, NaN, NaN, -1.000
2, 174, 0, 1.65, 160, NaN, NaN, 4.197
2, 175, 1, 1.7, 190, 483, 153, 0.652
2, 176, 1, 1.65, 128, 316, 422, 0.664
2, 177, 1, 1.7, 226, 463, 201, 0.906
2, 178, 1, 1.65, 91, 609, 580, 0.688
2, 179, 1, 1.65, 98, 581, 843, 1.146
2, 180, 1, 1.7, 197, 752, 550, 0.665
2, 181, 1, 1.7, 203, 655, 686, 0.557
2, 182, 1, 1.65, 105, 751, 433, 0.571
2, 183, 1, 1.65, 115, 337, 490, 0.606
2, 184, 1, 1.6, 46, 622, 646, 16.440
2, 185, 1, 1.65, 82, 865, 377, 1.582
2, 186, 1, 1.6, 67, 503, 836, 1.671
2, 187, 1, 1.65, 87, 643, 716, 0.539
2, 188, 1, 1.65, 112, 280, 642, 0.888
2, 189, 1, 1.6, 38, 803, 698, 1.937
