participantNumber, trialNum, TargetPresent, beta, seed, x, y, RT
5, 1, 1, 1.6, 7, 279, 204, 3.398
5, 2, 1, 1.65, 106, 567, 299, 0.888
5, 3, 1, 1.6, 12, 852, 515, 0.945
5, 4, 1, 1.6, 18, 388, 881, 3.900
5, 5, 1, 1.65, 86, 672, 402, 0.788
5, 6, 1, 1.6, 70, 641, 751, 2.921
5, 7, 1, 1.65, 103, 617, 260, 2.206
5, 8, 1, 1.6, 47, 380, 589, 1.438
5, 9, 1, 1.6, 34, 444, 232, 0.721
5, 10, 1, 1.6, 37, 215, 389, 1.017
5, 11, 1, 1.65, 149, 581, 125, 0.827
5, 12, 1, 1.65, 143, 731, 234, 0.791
5, 13, 0, 1.6, 79, NaN, NaN, -1.000
5, 14, 1, 1.65, 147, 576, 327, 0.552
5, 15, 1, 1.6, 22, 838, 677, 0.972
5, 16, 0, 1.7, 238, NaN, NaN, -1.000
5, 17, 1, 1.7, 211, 752, 421, 0.595
5, 18, 1, 1.7, 201, 609, 340, 0.552
5, 19, 1, 1.6, 35, 594, 779, 1.165
5, 20, 1, 1.65, 121, 254, 362, 1.903
5, 21, 1, 1.7, 218, 632, 702, 1.088
5, 22, 1, 1.6, 54, 124, 462, 5.310
5, 23, 1, 1.65, 142, 535, 956, 0.726
5, 24, 0, 1.6, 75, NaN, NaN, -1.000
5, 25, 1, 1.65, 91, 609, 580, 0.649
5, 26, 0, 1.65, 152, NaN, NaN, -1.000
5, 27, 1, 1.7, 169, 676, 188, 0.669
5, 28, 0, 1.6, 78, NaN, NaN, -1.000
5, 29, 0, 1.65, 154, NaN, NaN, -1.000
5, 30, 1, 1.7, 175, 470, 721, 0.600
5, 31, 1, 1.65, 108, 366, 511, 0.746
5, 32, 1, 1.6, 27, 380, 720, 3.476
5, 33, 0, 1.7, 236, NaN, NaN, -1.000
5, 34, 1, 1.6, 16, 311, 555, 0.819
5, 35, 1, 1.65, 130, 516, 740, 1.295
5, 36, 0, 1.65, 151, NaN, NaN, -1.000
5, 37, 1, 1.7, 214, 715, 473, 0.589
5, 38, 1, 1.65, 113, 419, 486, 0.538
5, 39, 1, 1.65, 83, 636, 749, 0.611
5, 40, 1, 1.65, 90, 381, 436, 0.654
5, 41, 1, 1.6, 49, 735, 710, 1.353
5, 42, 1, 1.6, 29, 536, 902, 4.747
5, 43, 0, 1.7, 235, NaN, NaN, -1.000
5, 44, 1, 1.6, 44, 700, 218, 6.790
5, 45, 1, 1.65, 92, 734, 524, 0.596
5, 46, 1, 1.6, 8, 456, 955, 40.741
5, 47, 1, 1.6, 40, 220, 659, 40.610
5, 48, 0, 1.65, 153, NaN, NaN, -1.000
5, 49, 1, 1.7, 162, 511, 298, 0.505
5, 50, 1, 1.65, 131, 314, 115, 1.004
5, 51, 1, 1.65, 132, 742, 289, 0.696
5, 52, 1, 1.6, 66, 433, 877, 1.641
5, 53, 1, 1.7, 202, 675, 885, 0.636
5, 54, 1, 1.6, 3, 631, 811, 5.042
5, 55, 1, 1.7, 207, 418, 418, 0.498
5, 56, 1, 1.7, 222, 823, 684, 0.860
5, 57, 1, 1.6, 45, 860, 644, 4.465
5, 58, 1, 1.7, 224, 945, 575, 0.589
5, 59, 1, 1.7, 230, 579, 786, 0.659
5, 60, 1, 1.7, 179, 773, 680, 0.543
5, 61, 1, 1.65, 97, 375, 144, 1.402
5, 62, 0, 1.7, 233, NaN, NaN, -1.000
5, 63, 1, 1.65, 104, 895, 526, 0.863
5, 64, 0, 1.7, 239, NaN, NaN, -1.000
5, 65, 1, 1.7, 191, 140, 546, 0.658
5, 66, 1, 1.7, 194, 890, 642, 0.755
5, 67, 1, 1.65, 123, 420, 475, 0.539
5, 68, 1, 1.65, 125, 180, 636, 0.789
