strat, beta,  nfix
stochastic, 1.650000, 13
optimal, 1.650000, 6
stochastic, 1.650000, 4
optimal, 1.650000, 2
stochastic, 1.650000, 6
optimal, 1.650000, 5
stochastic, 1.650000, 17
optimal, 1.650000, 8
stochastic, 1.650000, 5
optimal, 1.650000, 20
stochastic, 1.650000, 4
optimal, 1.650000, 3
stochastic, 1.650000, 3
optimal, 1.650000, 13
stochastic, 1.650000, 4
optimal, 1.650000, 2
stochastic, 1.650000, 4
optimal, 1.650000, 12
stochastic, 1.650000, 3
optimal, 1.650000, 2
stochastic, 1.650000, 4
optimal, 1.650000, 16
stochastic, 1.650000, 5
optimal, 1.650000, 2
stochastic, 1.650000, 5
optimal, 1.650000, 15
stochastic, 1.650000, 26
optimal, 1.650000, 8
stochastic, 1.650000, 12
optimal, 1.650000, 8
stochastic, 1.650000, 16
optimal, 1.650000, 5
stochastic, 1.650000, 3
optimal, 1.650000, 2
stochastic, 1.650000, 11
optimal, 1.650000, 5
stochastic, 1.650000, 3
optimal, 1.650000, 4
stochastic, 1.700000, 2
optimal, 1.700000, 7
stochastic, 1.700000, 5
optimal, 1.700000, 4
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 3
optimal, 1.700000, 7
stochastic, 1.700000, 3
optimal, 1.700000, 5
stochastic, 1.700000, 12
optimal, 1.700000, 4
stochastic, 1.700000, 5
optimal, 1.700000, 4
stochastic, 1.700000, 2
optimal, 1.700000, 10
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 2
optimal, 1.700000, 7
stochastic, 1.700000, 21
optimal, 1.700000, 3
stochastic, 1.700000, 5
optimal, 1.700000, 2
stochastic, 1.700000, 3
optimal, 1.700000, 3
stochastic, 1.700000, 4
optimal, 1.700000, 2
stochastic, 1.700000, 2
optimal, 1.700000, 4
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 2
optimal, 1.700000, 13
stochastic, 1.700000, 3
optimal, 1.700000, 2
stochastic, 1.700000, 3
optimal, 1.700000, 2
stochastic, 1.700000, 3
optimal, 1.700000, 7
stochastic, 1.700000, 51
optimal, 1.700000, 14
stochastic, 1.700000, 7
optimal, 1.700000, 11
stochastic, 1.700000, 2
optimal, 1.700000, 4
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 9
optimal, 1.700000, 2
stochastic, 1.700000, 6
optimal, 1.700000, 3
stochastic, 1.700000, 2
optimal, 1.700000, 9
stochastic, 1.700000, 7
optimal, 1.700000, 9
stochastic, 1.700000, 7
optimal, 1.700000, 2
stochastic, 1.700000, 3
optimal, 1.700000, 4
stochastic, 1.700000, 2
optimal, 1.700000, 4
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 4
optimal, 1.700000, 12
stochastic, 1.700000, 2
optimal, 1.700000, 17
stochastic, 1.700000, 2
optimal, 1.700000, 8
stochastic, 1.700000, 2
optimal, 1.700000, 3
stochastic, 1.700000, 6
optimal, 1.700000, 3
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 3
optimal, 1.700000, 6
stochastic, 1.700000, 5
optimal, 1.700000, 3
stochastic, 1.700000, 5
optimal, 1.700000, 4
stochastic, 1.700000, 21
optimal, 1.700000, 5
stochastic, 1.700000, 3
optimal, 1.700000, 4
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 7
optimal, 1.700000, 3
stochastic, 1.700000, 2
optimal, 1.700000, 7
stochastic, 1.700000, 3
optimal, 1.700000, 3
stochastic, 1.700000, 4
optimal, 1.700000, 7
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 3
optimal, 1.700000, 15
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 5
optimal, 1.700000, 2
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 11
optimal, 1.700000, 2
stochastic, 1.700000, 2
optimal, 1.700000, 2
stochastic, 1.700000, 5
optimal, 1.700000, 4
