person,x,y
1,451.7,499.1
1,519.8,617.1
1,508.5,875.3
1,337.1,936
1,925.9,980
1,694.9,180.7
1,372.1,251.2
1,243.8,174.1
1,16.3,106.1
1,21.5,539.1
1,137.6,553.8
1,17.1,696.4
1,6.30000000000001,958.3
1,430.6,826
1,307.3,906.5
1,356.5,946.4
1,532.8,974.6
1,712.2,999.2
1,911.1,987.3
1,848.8,609.9
1,710.7,575.6
1,789.5,324.9
1,851.8,177.1
1,663.5,240.2
1,448.7,271.4
1,233.2,286.5
1,9.69999999999999,101.6
1,254.8,59.4
1,789.2,50.2
1,940.3,16.3
1,913.2,365.2
1,890,436.9
1,908.1,450.1
1,611.1,824.7
1,231.5,483.9
1,119.8,339.4
1,196.5,171.5
1,527.7,255.5
1,692.2,236.1
1,656.3,129.9
1,716.3,89.4
1,781.5,61.9
1,113.5,267.3
1,151.2,659.9
1,456.1,886.1
1,665.2,938.6
1,757.6,947.8
1,962,931.5
1,868.5,571.7
1,744.4,463.3
1,795.7,253.5
1,931.8,7.7
1,761.3,67.1
1,204.4,91.3
1,42,495.3
1,46.4,692.8
1,23.9,618
1,264.6,712
1,139.4,759.4
1,218.4,886
1,19.5,841.1
1,45.3,953.6
1,455.7,532.9
1,300.9,563.9
1,559,455.5
1,695.7,718.7
1,823.3,703.1
1,972.5,535
1,943.4,344.7
1,857.1,383.4
1,944.8,139.1
1,934.2,3.4
1,685.7,36.1
1,511.8,70.9
1,529.7,95.5
1,478.5,55.8
1,431.7,8.1
1,117.5,47.9
1,4.19999999999999,124.3
1,46,56.5
1,90.6,35.3
1,187.5,135.7
1,71,183.6
1,7.60000000000002,294.1
1,9.30000000000001,265.3
1,209,343.6
1,70,500
1,110.4,708.9
1,20.8,839.4
1,22.2,873.6
1,124.9,850
1,104.9,918.3
1,314.6,948.6
1,333.1,1010.2
1,744.5,958.1
1,942.8,986.7
1,820.2,708.2
1,661.1,728.4
1,462.1,535.6
1,529.5,470.4
1,709.3,366.6
1,540.8,421.1
1,522.4,382.8
1,534.4,418.4
1,374.2,351.1
1,276.5,379.8
1,356.9,490.1
1,327.6,577.9
1,244.8,641.5
1,202.7,676.9
1,526.8,670.6
1,564.4,667.9
1,495,676.7
1,552,796.8
1,905.5,801.2
1,940.5,604.5
1,888.2,466.8
1,853.1,304.8
1,843.9,271.7
1,828.7,178.8
1,757.5,237.4
1,528.6,145.3
1,375.1,52.1
1,30.1,851.7
1,423.6,102.4
1,281.5,310.3
1,96.3,383.8
1,36.7,602.9
1,450.7,503.1
1,598.8,500.1
1,584,401.8
1,630.9,359.8
1,730,287.3
1,844,476.5
1,808.7,548.8
1,829,680.7
1,836.8,751.3
1,583.7,835.4
1,809.7,950.7
1,984,961.9
1,932.8,247.4
1,913.6,109
1,841.2,65
1,534.3,98
1,377.8,246.8
1,410.8,359.8
1,306.7,459.2
1,199.2,509.5
1,165.8,522.2
1,66.6,598.9
1,14.3,627.9
1,65.8,586.2
1,231.5,717.2
1,84.6,801.8
1,182.7,961.2
1,468.9,915.7
1,516.5,789.6
1,286.8,333.6
1,167.4,173.8
1,96.7,203.6
1,46.6,205.9
1,39,337.6
1,96.6,442.5
1,182.2,338.8
1,263.4,250.6
1,313.6,270
1,375.7,202.1
1,318.7,271
1,431.3,116.1
1,442.5,96.4
1,266.8,66.6
1,118.4,117.1
1,10.7,67.2
1,53.3,49.5
1,283.7,272.2
1,278.7,296.5
1,419.9,251.4
1,636.2,188.9
1,736.1,199.7
1,687.6,326.3
1,509.9,435.8
1,400.4,492
1,400.7,532.1
1,618.8,584.8
1,644.9,665.7
1,779,469.4
1,812.2,525.5
1,822.5,399.4
1,928,399.7
1,939.3,382.5
1,960.6,369.2
1,944.9,263.3
1,955.4,129
1,945.8,43.7
1,813,43.8
1,653,50.4
1,525.9,67
1,549.3,50.6
1,469.5,103.5
1,429.9,101.5
1,727.4,133.9
1,718.7,176.8
1,694.8,146.8
1,580.1,363.8
1,406.3,629.7
1,829,810.9
1,569.8,240.6
1,365.2,317.5
1,437.2,496
1,459,660.8
1,484.3,818.5
1,496.1,802.8
1,487.4,936.6
1,86.2,280.3
1,563.1,223.8
1,641.4,287.8
1,778.4,269.7
1,952.5,241.6
1,881.5,645.4
1,652.4,657.1
1,516.4,667.5
1,768.6,867.1
1,509.8,102.9
1,529.5,45.7
1,87.7,88.2
1,88.9,238.9
1,462.3,498.8
1,441.7,553.5
1,816.1,802.7
1,149.7,817.9
1,286.1,351.7
1,481.5,439.9
1,488.4,334.8
1,430.1,290.2
1,651.5,493.7
1,762.9,586.7
1,426.6,664.5
1,341.1,569
1,160.6,707
1,326.5,286.9
1,441.6,154
1,398.3,43.5
1,842.7,610.4
1,818.3,729.7
1,293.2,782.6
1,204.5,240.5
1,161.3,384.4
1,359.9,444.1
1,212.7,691.2
1,564.5,902.2
1,262.8,797.9
1,230.1,330.7
1,184.7,190.7
1,688.3,176.7
1,844.7,253.8
1,516.1,558.2
1,397.5,619.8
1,538.6,529.2
1,389.4,621.4
1,43.1,721.2
1,434.5,579
1,273.1,465.7
1,265.8,432.8
1,751.2,447.7
1,306.7,468.4
1,345.1,419
1,469.1,209.1
1,346.6,64.3
1,123.3,612.3
1,212,464.5
1,213,939.1
1,60.1,911.4
1,633.8,790.9
1,548,895.3
1,755,595.2
1,869.4,617
1,911,644.1
1,861.1,434.6
1,769.4,332.2
1,544.7,96.9
1,376.2,175.9
1,175.6,245.6
1,28.4,184.9
1,145,518.8
1,257.5,704.9
1,154.9,929.6
1,598.1,978.8
1,835.7,707.2
1,347.7,909.3
1,454.9,610
1,846.5,538.8
1,846.5,426.1
1,880.1,239.4
1,860.1,108.2
1,678.6,66.8
1,163.4,479.5
1,264.8,878.9
1,15,633.4
1,61.4,508.3
1,193.8,468.9
1,717,398
1,667.1,329.9
1,453.2,175.9
1,219.1,119.1
1,252.4,302.8
1,783.3,205.6
1,849.2,101.4
1,799.8,608.2
1,743.1,814.2
1,336.7,861.7
1,248.2,911.6
1,528.7,869.4
1,361.2,724.4
1,214.2,462.4
1,36.8,543.6
1,128.3,474.8
1,531.9,431.2
1,560.5,577
1,743.6,586.2
1,908.3,567.1
1,905.5,445.8
1,413.2,302
1,319,382.6
1,285.7,307.6
1,103.1,470.7
1,115,826.1
1,23.8,927.5
1,473.5,883.6
1,462,975.7
1,779.9,968.8
1,763.7,889.5
1,931.5,823.1
1,822,559.5
1,742.3,586.8
1,479.3,509.3
1,411.3,566
1,271.7,611.5
1,55.2,647.7
1,26.9,694
1,237,742.6
1,623.9,822.2
1,891.3,739.6
1,744.2,435.4
1,655.7,208.8
1,283.7,151.9
1,69.1,201.8
1,43,374.4
1,284.7,451.3
1,506.6,545.3
1,210.1,770.4
1,10.7,975.3
1,411.6,966.2
1,352.7,868.1
1,245.7,840.3
1,272.1,823.3
1,663.2,921.4
1,738.7,952.4
1,799.6,920.8
1,944.2,714.9
1,840.2,420
1,844.1,226.4
1,801,96.1
1,550.3,89.3
1,330.1,111.1
1,63.4,99.7
1,36.6,320.6
1,604.9,448.2
1,436.1,453.5
1,273.9,589.6
1,279.2,636.4
1,151.7,873.3
1,220.3,815.1
1,36.9,946.9
1,719,341.6
1,826.2,380.7
1,680.8,192.2
1,519.2,203.5
1,487,183.2
1,571.3,126.7
1,294.8,117.7
1,29.9,159.9
1,108.9,274.5
1,367.4,343.3
1,537.3,430.1
1,658.2,732.8
1,683.8,898.2
1,363,976.9
1,182.1,956.1
1,169.3,971.5
1,145.4,986.1
1,277.4,771.3
1,248.1,822.4
1,276.8,766.5
1,375.3,622.3
1,12,580.3
1,210.4,862.4
1,705,695
1,882.7,638.5
1,844.2,482.2
1,728.3,328.1
1,544.5,356.6
1,395.9,399
1,491.8,211
1,620.3,224.8
1,958.7,232.7
1,890.3,261.4
1,232,197.6
1,47.9,319.9
1,91.4,326.7
1,81.6,550.7
1,395.4,507.4
1,212.3,562.6
1,233.2,886.1
1,253.9,844.4
1,257,839.4
1,820.6,884.5
1,647.6,934.9
1,848.3,496.3
1,721.2,376.9
1,794.8,317.8
1,892.5,118.9
1,537.9,131.8
1,83.7,271.3
1,739.2,317.2
1,231.6,662.6
1,17.6,911.2
1,332,358.3
1,219.4,330.5
1,225.1,556.4
1,57.8,410.6
1,735.4,279.6
1,542.3,286.4
1,294.5,119.4
1,1.89999999999998,173.1
1,11.4,116.5
1,608.1,586.8
1,560.2,703.4
1,483.4,901.3
1,455.6,283.3
1,674.6,796.5
1,193.6,829.5
1,625.5,826.9
1,327,696.6
1,262.5,740.7
1,262.5,634
1,302.5,769.6
1,264.1,709.2
1,372.9,286.9
1,685,299.4
1,894.9,239.3
1,308.9,141.8
1,48.7,275.8
1,111.9,605.7
1,122.4,770.8
1,297.2,744.3
1,594.1,782.7
1,446.2,169.8
1,422.5,253.3
1,194.3,589
1,210.9,778.5
1,573.5,773.5
1,683,917.7
1,715.5,792.8
1,839.3,797.1
1,825.5,525.8
1,853.6,338.7
1,873.7,140.7
1,837.4,46.7
1,669.1,99.4
1,608.4,110.7
1,421.9,224.1
1,99.4,283.1
1,241,599.1
1,22.6,719.5
1,82.3,745.1
1,39.9,912.4
